buy_ability_product_name,year,buy_ability_value,buy_ability_section,product_group_code,product_group_name
Говядина (кроме бескостного мяса),2017,99.8,"Продукты питания, кг в месяц",G03,"Мясо, птица, рыба и колбасные изделия"
Говядина (кроме бескостного мяса),2018,102.3,"Продукты питания, кг в месяц",G03,"Мясо, птица, рыба и колбасные изделия"
Говядина (кроме бескостного мяса),2019,104.0,"Продукты питания, кг в месяц",G03,"Мясо, птица, рыба и колбасные изделия"
Говядина (кроме бескостного мяса),2020,101.6,"Продукты питания, кг в месяц",G03,"Мясо, птица, рыба и колбасные изделия"
Говядина (кроме бескостного мяса),2021,103.0,"Продукты питания, кг в месяц",G03,"Мясо, птица, рыба и колбасные изделия"
Говядина (кроме бескостного мяса),2022,101.5,"Продукты питания, кг в месяц",G03,"Мясо, птица, рыба и колбасные изделия"
Говядина (кроме бескостного мяса),2023,107.3,"Продукты питания, кг в месяц",G03,"Мясо, птица, рыба и колбасные изделия"
Говядина (кроме бескостного мяса),2024,114.0,"Продукты питания, кг в месяц",G03,"Мясо, птица, рыба и колбасные изделия"
Говядина (кроме бескостного мяса),2025,116.1,"Продукты питания, кг в месяц",G03,"Мясо, птица, рыба и колбасные изделия"
Свинина (кроме бескостного мяса),2017,122.6,"Продукты питания, кг в месяц",G03,"Мясо, птица, рыба и колбасные изделия"
Свинина (кроме бескостного мяса),2018,126.9,"Продукты питания, кг в месяц",G03,"Мясо, птица, рыба и колбасные изделия"
Свинина (кроме бескостного мяса),2019,130.0,"Продукты питания, кг в месяц",G03,"Мясо, птица, рыба и колбасные изделия"
Свинина (кроме бескостного мяса),2020,136.1,"Продукты питания, кг в месяц",G03,"Мясо, птица, рыба и колбасные изделия"
Свинина (кроме бескостного мяса),2021,136.8,"Продукты питания, кг в месяц",G03,"Мясо, птица, рыба и колбасные изделия"
Свинина (кроме бескостного мяса),2022,152.0,"Продукты питания, кг в месяц",G03,"Мясо, птица, рыба и колбасные изделия"
Свинина (кроме бескостного мяса),2023,167.0,"Продукты питания, кг в месяц",G03,"Мясо, птица, рыба и колбасные изделия"
Свинина (кроме бескостного мяса),2024,182.5,"Продукты питания, кг в месяц",G03,"Мясо, птица, рыба и колбасные изделия"
Свинина (кроме бескостного мяса),2025,193.6,"Продукты питания, кг в месяц",G03,"Мясо, птица, рыба и колбасные изделия"
Баранина (кроме бескостного мяса),2017,92.6,"Продукты питания, кг в месяц",G03,"Мясо, птица, рыба и колбасные изделия"
