Код группы,Название группы,product_name_norm,Товар,source_sales,source_consumer_price,source_producer_price,sales_product_code,price_product_code,ppi_product_code,original_group_code,original_group_name,has_any_sales_or_price_for_model,source_description
G01,"Хлеб, крупы, мука и макаронные изделия",вермишель,"Вермишель, кг",0,1,0,,P_вермишель_кг,,G01,"Хлеб, крупы, мука и макаронные изделия",1,потребительская цена
G01,"Хлеб, крупы, мука и макаронные изделия","изделия макаронные, изготовленные из муки из твердой пшеницы для макаронных изделий","Изделия макаронные, изготовленные из муки из твердой пшеницы для макаронных изделий, кроме макаронных изделий с использованием дополнительного сырья",0,0,1,,,M_изделия_макаронные_изготовленные_из_муки_из_твердой_пшеницы_для_макаронных_изделий_кроме_макаронных_изделий_с_использова,G01,"Хлеб, крупы, мука и макаронные изделия",0,цена производителя
G01,"Хлеб, крупы, мука и макаронные изделия",крупа гречневая,Крупа гречневая,0,0,1,,,M_крупа_гречневая,G01,"Хлеб, крупы, мука и макаронные изделия",0,цена производителя
G01,"Хлеб, крупы, мука и макаронные изделия",крупа гречневая-ядрица,"Крупа гречневая-ядрица, кг",0,1,0,,P_крупа_гречневая_ядрица_кг,,G01,"Хлеб, крупы, мука и макаронные изделия",1,потребительская цена
G01,"Хлеб, крупы, мука и макаронные изделия",макаронные изделия,Макаронные изделия,1,0,0,S_макаронные_изделия,,,G01,"Хлеб, крупы, мука и макаронные изделия",1,продажи
G01,"Хлеб, крупы, мука и макаронные изделия",макаронные изделия из пшеничной муки высшего сорта,"Макаронные изделия из пшеничной муки высшего сорта, кг",0,1,0,,P_макаронные_изделия_из_пшеничной_муки_высшего_сорта_кг,,G01,"Хлеб, крупы, мука и макаронные изделия",1,потребительская цена
G01,"Хлеб, крупы, мука и макаронные изделия",мука,Мука,1,0,0,S_мука,,,G01,"Хлеб, крупы, мука и макаронные изделия",1,продажи
G01,"Хлеб, крупы, мука и макаронные изделия",мука пшеничная,Мука пшеничная,0,1,1,,P_мука_пшеничная_кг,M_мука_пшеничная,G01,"Хлеб, крупы, мука и макаронные изделия",1,потребительская цена; цена производителя
G01,"Хлеб, крупы, мука и макаронные изделия",пшено,"Пшено, кг",0,1,0,,P_пшено_кг,,G01,"Хлеб, крупы, мука и макаронные изделия",1,потребительская цена
G01,"Хлеб, крупы, мука и макаронные изделия",рис шлифованный,"Рис шлифованный, кг",0,1,0,,P_рис_шлифованный_кг,,G01,"Хлеб, крупы, мука и макаронные изделия",1,потребительская цена
G01,"Хлеб, крупы, мука и макаронные изделия",хлеб и булочные изделия из пшеничной муки 1 и 2 сортов,"Хлеб и булочные изделия из пшеничной муки 1 и 2 сортов, кг",0,1,0,,P_хлеб_и_булочные_изделия_из_пшеничной_муки_1_и_2_сортов_кг,,G01,"Хлеб, крупы, мука и макаронные изделия",1,потребительская цена
G01,"Хлеб, крупы, мука и макаронные изделия",хлеб и булочные изделия из пшеничной муки различных сортов,"Хлеб и булочные изделия из пшеничной муки различных сортов, кг",0,1,0,,P_хлеб_и_булочные_изделия_из_пшеничной_муки_различных_сортов_кг,,G01,"Хлеб, крупы, мука и макаронные изделия",1,потребительская цена
G01,"Хлеб, крупы, мука и макаронные изделия",хлеб из ржаной муки и из смеси муки ржаной и пшеничной,"Хлеб из ржаной муки и из смеси муки ржаной и пшеничной, кг",0,1,0,,P_хлеб_из_ржаной_муки_и_из_смеси_муки_ржаной_и_пшеничной_кг,,G01,"Хлеб, крупы, мука и макаронные изделия",1,потребительская цена
G02,Молочная продукция и яйца,кефир,"Кефир, кг",0,1,0,,P_кефир_кг,,G02,Молочная продукция и яйца,1,потребительская цена
G02,Молочная продукция и яйца,"консервы молочные, молочные составные сухие","Консервы молочные, молочные составные сухие, сублимированные",1,0,0,S_консервы_молочные_молочные_составные_сухие_сублимированные,,,G02,Молочная продукция и яйца,1,продажи
G02,Молочная продукция и яйца,масло сливочное,Масло сливочное,0,1,1,,P_масло_сливочное_кг,M_масло_сливочное,G02,Молочная продукция и яйца,1,потребительская цена; цена производителя
G02,Молочная продукция и яйца,молоко питьевое,Молоко питьевое,1,0,0,S_молоко_питьевое,,,G02,Молочная продукция и яйца,1,продажи
G02,Молочная продукция и яйца,молоко питьевое пастеризованное,Молоко питьевое пастеризованное,0,0,1,,,M_молоко_питьевое_пастеризованное,G02,Молочная продукция и яйца,0,цена производителя
G02,Молочная продукция и яйца,"молоко питьевое цельное пастеризованное 2,5-3,2% жирности","Молоко питьевое цельное пастеризованное 2,5-3,2% жирности, л",0,1,0,,P_молоко_питьевое_цельное_пастеризованное_2_5_3_2_жирности_л,,G02,Молочная продукция и яйца,1,потребительская цена
G02,Молочная продукция и яйца,"молоко питьевое цельное стерилизованное 2,5-3,2% жирности","Молоко питьевое цельное стерилизованное 2,5-3,2% жирности, л",0,1,0,,P_молоко_питьевое_цельное_стерилизованное_2_5_3_2_жирности_л,,G02,Молочная продукция и яйца,1,потребительская цена
G02,Молочная продукция и яйца,"молоко питьевое цельное ультрапастеризованное 2,5-3,2% жирности","Молоко питьевое цельное ультрапастеризованное 2,5-3,2% жирности, л",0,1,0,,P_молоко_питьевое_цельное_ультрапастеризованное_2_5_3_2_жирности_л,,G02,Молочная продукция и яйца,1,потребительская цена
G02,Молочная продукция и яйца,молочные напитки,Молочные напитки,1,0,0,S_молочные_напитки,,,G02,Молочная продукция и яйца,1,продажи
G02,Молочная продукция и яйца,смеси сухие молочные для детского питания,"Смеси сухие молочные для детского питания, кг",0,1,0,,P_смеси_сухие_молочные_для_детского_питания_кг,,G02,Молочная продукция и яйца,1,потребительская цена
G02,Молочная продукция и яйца,сметана,"Сметана, кг",0,1,0,,P_сметана_кг,,G02,Молочная продукция и яйца,1,потребительская цена
G02,Молочная продукция и яйца,сыры сычужные твердые и мягкие,"Сыры сычужные твердые и мягкие, кг",0,1,0,,P_сыры_сычужные_твердые_и_мягкие_кг,,G02,Молочная продукция и яйца,1,потребительская цена
G02,Молочная продукция и яйца,сыры твердые,Сыры твердые,0,0,1,,,M_сыры_твердые,G02,Молочная продукция и яйца,0,цена производителя
G02,Молочная продукция и яйца,"сыры твердые, полутвердые и мягкие","Сыры твердые, полутвердые и мягкие, кг",0,1,0,,P_сыры_твердые_полутвердые_и_мягкие_кг,,G02,Молочная продукция и яйца,1,потребительская цена
G02,Молочная продукция и яйца,творог жирный,"Творог жирный, кг",0,1,0,,P_творог_жирный_кг,,G02,Молочная продукция и яйца,1,потребительская цена
G02,Молочная продукция и яйца,творог,"Творог, кг",0,1,0,,P_творог_кг,,G02,Молочная продукция и яйца,1,потребительская цена
G02,Молочная продукция и яйца,яйца куриные,"Яйца куриные, 10 шт.",0,1,0,,P_яйца_куриные_10_шт,,G02,Молочная продукция и яйца,1,потребительская цена
G02,Молочная продукция и яйца,сыры,сыры,1,0,0,S_сыры,,,G02,Молочная продукция и яйца,1,продажи
G03,"Мясо, птица, рыба и колбасные изделия",баранина (кроме бескостного мяса),"Баранина (кроме бескостного мяса), кг",0,1,0,,P_баранина_кроме_бескостного_мяса_кг,,G03,"Мясо, птица, рыба и колбасные изделия",1,потребительская цена
G03,"Мясо, птица, рыба и колбасные изделия",говядина (кроме бескостного мяса),"Говядина (кроме бескостного мяса), кг",0,1,0,,P_говядина_кроме_бескостного_мяса_кг,,G03,"Мясо, птица, рыба и колбасные изделия",1,потребительская цена
G03,"Мясо, птица, рыба и колбасные изделия",говядина парная,"Говядина парная, остывшая или охлажденная",0,0,1,,,M_говядина_парная_остывшая_или_охлажденная,G03,"Мясо, птица, рыба и колбасные изделия",0,цена производителя
G03,"Мясо, птица, рыба и колбасные изделия",колбаса вареная,"Колбаса вареная, кг",0,1,0,,P_колбаса_вареная_кг,,G03,"Мясо, птица, рыба и колбасные изделия",1,потребительская цена
G03,"Мясо, птица, рыба и колбасные изделия",колбаса полукопченая и варено-копченая,"Колбаса полукопченая и варено-копченая, кг",0,1,0,,P_колбаса_полукопченая_и_варено_копченая_кг,,G03,"Мясо, птица, рыба и колбасные изделия",1,потребительская цена
G03,"Мясо, птица, рыба и колбасные изделия",консервы мясные,Консервы мясные,0,1,1,,P_консервы_мясные_350_г,M_консервы_мясные,G03,"Мясо, птица, рыба и колбасные изделия",1,потребительская цена; цена производителя
G03,"Мясо, птица, рыба и колбасные изделия",консервы мясные для детского питания,"Консервы мясные для детского питания, кг",0,1,0,,P_консервы_мясные_для_детского_питания_кг,,G03,"Мясо, птица, рыба и колбасные изделия",1,потребительская цена
G03,"Мясо, птица, рыба и колбасные изделия",консервы рыбные,Консервы рыбные,0,0,1,,,M_консервы_рыбные,G03,"Мясо, птица, рыба и колбасные изделия",0,цена производителя
G03,"Мясо, птица, рыба и колбасные изделия",куры охлажденные и мороженые,"Куры охлажденные и мороженые, кг",0,1,0,,P_куры_охлажденные_и_мороженые_кг,,G03,"Мясо, птица, рыба и колбасные изделия",1,потребительская цена
G03,"Мясо, птица, рыба и колбасные изделия",мясо домашней птицы,Мясо домашней птицы,1,0,0,S_мясо_домашней_птицы,,,G03,"Мясо, птица, рыба и колбасные изделия",1,продажи
G03,"Мясо, птица, рыба и колбасные изделия",мясо животных,Мясо животных,1,0,0,S_мясо_животных,,,G03,"Мясо, птица, рыба и колбасные изделия",1,продажи
G03,"Мясо, птица, рыба и колбасные изделия",мясо птицы охлажденное,"Мясо птицы охлажденное, в том числе для детского питания",0,0,1,,,M_мясо_птицы_охлажденное_в_том_числе_для_детского_питания,G03,"Мясо, птица, рыба и колбасные изделия",0,цена производителя
G03,"Мясо, птица, рыба и колбасные изделия",рыба мороженая неразделанная,"Рыба мороженая неразделанная, кг",0,1,0,,P_рыба_мороженая_неразделанная_кг,,G03,"Мясо, птица, рыба и колбасные изделия",1,потребительская цена
G03,"Мясо, птица, рыба и колбасные изделия",свинина (кроме бескостного мяса),"Свинина (кроме бескостного мяса), кг",0,1,0,,P_свинина_кроме_бескостного_мяса_кг,,G03,"Мясо, птица, рыба и колбасные изделия",1,потребительская цена
G03,"Мясо, птица, рыба и колбасные изделия",сельдь соленая или в рассоле,Сельдь соленая или в рассоле,0,0,1,,,M_сельдь_соленая_или_в_рассоле,G03,"Мясо, птица, рыба и колбасные изделия",0,цена производителя
G03,"Мясо, птица, рыба и колбасные изделия",сосиски мясные,Сосиски мясные,0,0,1,,,M_сосиски_мясные,G03,"Мясо, птица, рыба и колбасные изделия",0,цена производителя
G03,"Мясо, птица, рыба и колбасные изделия","сосиски, сардельки","Сосиски, сардельки, кг",0,1,0,,P_сосиски_сардельки_кг,,G03,"Мясо, птица, рыба и колбасные изделия",1,потребительская цена
G04,"Овощи, фрукты и картофель",бананы,"Бананы, кг",0,1,0,,P_бананы_кг,,G04,"Овощи, фрукты и картофель",1,потребительская цена
G04,"Овощи, фрукты и картофель",капуста белокочанная свежая,"Капуста белокочанная свежая, кг",0,1,0,,P_капуста_белокочанная_свежая_кг,,G04,"Овощи, фрукты и картофель",1,потребительская цена
G04,"Овощи, фрукты и картофель",картофель,"Картофель, кг",0,1,0,,P_картофель_кг,,G04,"Овощи, фрукты и картофель",1,потребительская цена
G04,"Овощи, фрукты и картофель",консервы овощные для детского питания,"Консервы овощные для детского питания, кг",0,1,0,,P_консервы_овощные_для_детского_питания_кг,,G04,"Овощи, фрукты и картофель",1,потребительская цена
G04,"Овощи, фрукты и картофель",консервы фруктово-ягодные для детского питания,"Консервы фруктово-ягодные для детского питания, кг",0,1,0,,P_консервы_фруктово_ягодные_для_детского_питания_кг,,G04,"Овощи, фрукты и картофель",1,потребительская цена
G04,"Овощи, фрукты и картофель",лук репчатый,"Лук репчатый, кг",0,1,0,,P_лук_репчатый_кг,,G04,"Овощи, фрукты и картофель",1,потребительская цена
G04,"Овощи, фрукты и картофель",морковь,"Морковь, кг",0,1,0,,P_морковь_кг,,G04,"Овощи, фрукты и картофель",1,потребительская цена
G04,"Овощи, фрукты и картофель",огурцы свежие,"Огурцы свежие, кг",0,1,0,,P_огурцы_свежие_кг,,G04,"Овощи, фрукты и картофель",1,потребительская цена
G04,"Овощи, фрукты и картофель",помидоры свежие,"Помидоры свежие, кг",0,1,0,,P_помидоры_свежие_кг,,G04,"Овощи, фрукты и картофель",1,потребительская цена
G04,"Овощи, фрукты и картофель",свежие овощи,Свежие овощи,1,0,0,S_свежие_овощи,,,G04,"Овощи, фрукты и картофель",1,продажи
G04,"Овощи, фрукты и картофель",свежие фрукты,Свежие фрукты,1,0,0,S_свежие_фрукты,,,G04,"Овощи, фрукты и картофель",1,продажи
G04,"Овощи, фрукты и картофель",свежий картофель,Свежий картофель,1,0,0,S_свежий_картофель,,,G04,"Овощи, фрукты и картофель",1,продажи
G04,"Овощи, фрукты и картофель",свекла столовая,"Свёкла столовая, кг",0,1,0,,P_свекла_столовая_кг,,G04,"Овощи, фрукты и картофель",1,потребительская цена
G04,"Овощи, фрукты и картофель",яблоки,"Яблоки, кг",0,1,0,,P_яблоки_кг,,G04,"Овощи, фрукты и картофель",1,потребительская цена
G05,"Бакалея, масло, сахар, чай, соль",карамель,"Карамель, кг",0,1,0,,P_карамель_кг,,G99,Прочее,1,потребительская цена
G05,"Бакалея, масло, сахар, чай, соль","конфеты мягкие, глазированные шоколадом","Конфеты мягкие, глазированные шоколадом, кг",0,1,0,,P_конфеты_мягкие_глазированные_шоколадом_кг,,G05,"Бакалея, масло, сахар, чай, соль",1,потребительская цена
G05,"Бакалея, масло, сахар, чай, соль",маргарин,"Маргарин, кг",0,1,0,,P_маргарин_кг,,G05,"Бакалея, масло, сахар, чай, соль",1,потребительская цена
G05,"Бакалея, масло, сахар, чай, соль",маргариновая продукция,Маргариновая продукция,1,0,0,S_маргариновая_продукция,,,G05,"Бакалея, масло, сахар, чай, соль",1,продажи
G05,"Бакалея, масло, сахар, чай, соль",масло подсолнечное и его фракции нерафинированные,Масло подсолнечное и его фракции нерафинированные,0,0,1,,,M_масло_подсолнечное_и_его_фракции_нерафинированные,G05,"Бакалея, масло, сахар, чай, соль",0,цена производителя
G05,"Бакалея, масло, сахар, чай, соль",масло подсолнечное и его фракции рафинированные,"Масло подсолнечное и его фракции рафинированные, но не подвергнутые химической модификации",0,0,1,,,M_масло_подсолнечное_и_его_фракции_рафинированные_но_не_подвергнутые_химической_модификации,G05,"Бакалея, масло, сахар, чай, соль",0,цена производителя
G05,"Бакалея, масло, сахар, чай, соль",масло подсолнечное,"Масло подсолнечное, л",0,1,0,,P_масло_подсолнечное_кг; P_масло_подсолнечное_л,,G05,"Бакалея, масло, сахар, чай, соль",1,потребительская цена
G05,"Бакалея, масло, сахар, чай, соль",печенье,"Печенье, кг",0,1,0,,P_печенье_кг,,G05,"Бакалея, масло, сахар, чай, соль",1,потребительская цена
G05,"Бакалея, масло, сахар, чай, соль",сахар белый свекловичный в твердом состоянии без вкусоароматических или красящих добавок,Сахар белый свекловичный в твердом состоянии без вкусоароматических или красящих добавок,0,0,1,,,M_сахар_белый_свекловичный_в_твердом_состоянии_без_вкусоароматических_или_красящих_добавок,G05,"Бакалея, масло, сахар, чай, соль",0,цена производителя
