Код группы,Название группы,Товар,Источник
G01,"Хлеб, крупы, мука и макаронные изделия","Вермишель, кг",0
G01,"Хлеб, крупы, мука и макаронные изделия","Изделия макаронные, изготовленные из муки из твердой пшеницы для макаронных изделий, кроме макаронных изделий с использованием дополнительного сырья",0
G01,"Хлеб, крупы, мука и макаронные изделия",Крупа гречневая,0
G01,"Хлеб, крупы, мука и макаронные изделия","Крупа гречневая-ядрица, кг",0
G01,"Хлеб, крупы, мука и макаронные изделия",Макаронные изделия,1
G01,"Хлеб, крупы, мука и макаронные изделия","Макаронные изделия из пшеничной муки высшего сорта, кг",0
G01,"Хлеб, крупы, мука и макаронные изделия",Мука,1
G01,"Хлеб, крупы, мука и макаронные изделия",Мука пшеничная,0
G01,"Хлеб, крупы, мука и макаронные изделия","Пшено, кг",0
G01,"Хлеб, крупы, мука и макаронные изделия","Рис шлифованный, кг",0
G01,"Хлеб, крупы, мука и макаронные изделия","Хлеб и булочные изделия из пшеничной муки 1 и 2 сортов, кг",0
G01,"Хлеб, крупы, мука и макаронные изделия","Хлеб и булочные изделия из пшеничной муки различных сортов, кг",0
G01,"Хлеб, крупы, мука и макаронные изделия","Хлеб из ржаной муки и из смеси муки ржаной и пшеничной, кг",0
G02,Молочная продукция и яйца,"Кефир, кг",0
G02,Молочная продукция и яйца,"Консервы молочные, молочные составные сухие, сублимированные",1
G02,Молочная продукция и яйца,Масло сливочное,0
G02,Молочная продукция и яйца,Молоко питьевое,1
G02,Молочная продукция и яйца,Молоко питьевое пастеризованное,0
G02,Молочная продукция и яйца,"Молоко питьевое цельное пастеризованное 2,5-3,2% жирности, л",0
G02,Молочная продукция и яйца,"Молоко питьевое цельное стерилизованное 2,5-3,2% жирности, л",0
G02,Молочная продукция и яйца,"Молоко питьевое цельное ультрапастеризованное 2,5-3,2% жирности, л",0
G02,Молочная продукция и яйца,Молочные напитки,1
G02,Молочная продукция и яйца,"Смеси сухие молочные для детского питания, кг",0
G02,Молочная продукция и яйца,"Сметана, кг",0
G02,Молочная продукция и яйца,"Сыры сычужные твердые и мягкие, кг",0
G02,Молочная продукция и яйца,Сыры твердые,0
G02,Молочная продукция и яйца,"Сыры твердые, полутвердые и мягкие, кг",0
G02,Молочная продукция и яйца,"Творог жирный, кг",0
G02,Молочная продукция и яйца,"Творог, кг",0
G02,Молочная продукция и яйца,"Яйца куриные, 10 шт.",0
G02,Молочная продукция и яйца,сыры,1
G03,"Мясо, птица, рыба и колбасные изделия","Баранина (кроме бескостного мяса), кг",0
G03,"Мясо, птица, рыба и колбасные изделия","Говядина (кроме бескостного мяса), кг",0
G03,"Мясо, птица, рыба и колбасные изделия","Говядина парная, остывшая или охлажденная",0
G03,"Мясо, птица, рыба и колбасные изделия","Колбаса вареная, кг",0
G03,"Мясо, птица, рыба и колбасные изделия","Колбаса полукопченая и варено-копченая, кг",0
G03,"Мясо, птица, рыба и колбасные изделия",Консервы мясные,0
G03,"Мясо, птица, рыба и колбасные изделия","Консервы мясные для детского питания, кг",0
G03,"Мясо, птица, рыба и колбасные изделия",Консервы рыбные,0
G03,"Мясо, птица, рыба и колбасные изделия","Куры охлажденные и мороженые, кг",0
G03,"Мясо, птица, рыба и колбасные изделия",Мясо домашней птицы,1
G03,"Мясо, птица, рыба и колбасные изделия",Мясо животных,1
G03,"Мясо, птица, рыба и колбасные изделия","Мясо птицы охлажденное, в том числе для детского питания",0
G03,"Мясо, птица, рыба и колбасные изделия","Рыба мороженая неразделанная, кг",0
G03,"Мясо, птица, рыба и колбасные изделия","Свинина (кроме бескостного мяса), кг",0
G03,"Мясо, птица, рыба и колбасные изделия",Сельдь соленая или в рассоле,0
G03,"Мясо, птица, рыба и колбасные изделия",Сосиски мясные,0
G03,"Мясо, птица, рыба и колбасные изделия","Сосиски, сардельки, кг",0
G04,"Овощи, фрукты и картофель","Бананы, кг",0
G04,"Овощи, фрукты и картофель","Капуста белокочанная свежая, кг",0
G04,"Овощи, фрукты и картофель","Картофель, кг",0
G04,"Овощи, фрукты и картофель","Консервы овощные для детского питания, кг",0
G04,"Овощи, фрукты и картофель","Консервы фруктово-ягодные для детского питания, кг",0
G04,"Овощи, фрукты и картофель","Лук репчатый, кг",0
G04,"Овощи, фрукты и картофель","Морковь, кг",0
G04,"Овощи, фрукты и картофель","Огурцы свежие, кг",0
G04,"Овощи, фрукты и картофель","Помидоры свежие, кг",0
G04,"Овощи, фрукты и картофель",Свежие овощи,1
G04,"Овощи, фрукты и картофель",Свежие фрукты,1
G04,"Овощи, фрукты и картофель",Свежий картофель,1
G04,"Овощи, фрукты и картофель","Свёкла столовая, кг",0
G04,"Овощи, фрукты и картофель","Яблоки, кг",0
G05,"Бакалея, масло, сахар, чай, соль","Карамель, кг",0
G05,"Бакалея, масло, сахар, чай, соль","Конфеты мягкие, глазированные шоколадом, кг",0
G05,"Бакалея, масло, сахар, чай, соль","Маргарин, кг",0
G05,"Бакалея, масло, сахар, чай, соль",Маргариновая продукция,1
G05,"Бакалея, масло, сахар, чай, соль",Масло подсолнечное и его фракции нерафинированные,0
G05,"Бакалея, масло, сахар, чай, соль","Масло подсолнечное и его фракции рафинированные, но не подвергнутые химической модификации",0
G05,"Бакалея, масло, сахар, чай, соль","Масло подсолнечное, л",0
G05,"Бакалея, масло, сахар, чай, соль","Печенье, кг",0
G05,"Бакалея, масло, сахар, чай, соль",Сахар белый свекловичный в твердом состоянии без вкусоароматических или красящих добавок,0
G05,"Бакалея, масло, сахар, чай, соль","Сахар-песок, кг",0
G05,"Бакалея, масло, сахар, чай, соль","Соль поваренная пищевая, кг",0
G05,"Бакалея, масло, сахар, чай, соль",Чай,1
G05,"Бакалея, масло, сахар, чай, соль","Чай черный байховый, кг",0
G07,"Товары для дома, гигиены и бытовая химия","Бумага туалетная, рулон",0
G07,"Товары для дома, гигиены и бытовая химия","Мыло туалетное, 100 г",0
G07,"Товары для дома, гигиены и бытовая химия","Мыло хозяйственное, 200 г",0
G07,"Товары для дома, гигиены и бытовая химия","Паста зубная, 100 г (100 мл)",0
G07,"Товары для дома, гигиены и бытовая химия","Пеленки для новорожденных, шт.",0
G07,"Товары для дома, гигиены и бытовая химия","Подгузники детские бумажные, 10 шт.",0
G07,"Товары для дома, гигиены и бытовая химия","Порошок стиральный, кг",0
G07,"Товары для дома, гигиены и бытовая химия","Прокладки женские гигиенические ежедневные, 10 шт.",0
G07,"Товары для дома, гигиены и бытовая химия","Прокладки женские гигиенические, 10 шт.",0
G07,"Товары для дома, гигиены и бытовая химия",Стиральные машины,1
G07,"Товары для дома, гигиены и бытовая химия","Шампунь, 250 мл",0
G07,"Товары для дома, гигиены и бытовая химия","Щетка зубная, шт.",0
G10,Топливо и транспортные товары,Автомобили легковые,1
G10,Топливо и транспортные товары,Бензин автомобильный,0
G10,Топливо и транспортные товары,"Бензин автомобильный марки А-76 (АИ-80), л",0
G10,Топливо и транспортные товары,"Бензин автомобильный марки АИ-92, л",0
G10,Топливо и транспортные товары,"Бензин автомобильный марки АИ-95, л",0
G10,Топливо и транспортные товары,"Бензин автомобильный марки АИ-98 и выше, л",0
G10,Топливо и транспортные товары,Бензины автомобильные,1
G10,Топливо и транспортные товары,"Газ сжиженный, м3",0
G10,Топливо и транспортные товары,Газовое моторное топливо,1
G10,Топливо и транспортные товары,Дизельное топливо,1
G10,Топливо и транспортные товары,"Лампы накаливания (включая галогенные, кроме ламп для автотранспортных средств)",1
G10,Топливо и транспортные товары,"Легковой автомобиль иностранной марки новый, шт.",0
G10,Топливо и транспортные товары,"Легковой автомобиль иностранной марки, собранный на автомобильном заводе на территории России, шт.",0
G10,Топливо и транспортные товары,"Легковой автомобиль отечественный новый, шт.",0
G10,Топливо и транспортные товары,Топливо дизельное,0
G99,Прочее,"Активированный уголь, 10 таблеток",0
G99,Прочее,"Аллохол, 50 таблеток",0
G99,Прочее,"Алмагель, суспензия, 200 мл",0
G99,Прочее,Аудиоаппаратура,1
G99,Прочее,"Бромгексин, 8 мг, 10 драже",0
G99,Прочее,"Брюки для детей школьного возраста из джинсовой ткани, шт.",0
G99,Прочее,"Валидол, 10 таблеток",0
G99,Прочее,"Валидол, 60 мг, 10 таблеток",0
G99,Прочее,"Валокордин, 20 мл",0
G99,Прочее,Вода питьевая,0
G99,Прочее,Водка,0
G99,Прочее,"Водка крепостью 40% об. спирта и выше, л",0
G99,Прочее,"Водка крепостью 40% об.спирта и выше, л",0
G99,Прочее,Всего по розничной торговле,1
G99,Прочее,Газ горючий природный (газ естественный),0
G99,Прочее,"Доска обрезная, м3",0
G99,Прочее,"Колготки женские эластичные, шт.",0
G99,Прочее,"Комбинированные анальгетики, 10 таблеток",0
G99,Прочее,Компримированный природный газ,1
G99,Прочее,Коньяки,0
G99,Прочее,"Корвалол, 25 мл",0
G99,Прочее,"Костюм спортивный для детей школьного возраста, шт.",0
G99,Прочее,"Кроссовые туфли для взрослых с верхом из искусственной кожи, пара",0
G99,Прочее,"Кроссовые туфли для взрослых, пара",0
G99,Прочее,"Кроссовые туфли для детей, пара",0
G99,Прочее,Лампы газоразрядные люминесцентные,1
G99,Прочее,Лампы осветительные (бытовые),1
G99,Прочее,Лампы светодиодные,1
G99,Прочее,"Левомеколь, мазь, 40 г",0
G99,Прочее,"Лизобакт, 10 таблеток",0
G99,Прочее,"Линекс, 10 капсул",0
G99,Прочее,"Майка, футболка мужская бельевая, шт.",0
G99,Прочее,"Метамизол натрия (Анальгин отечественный), 10 таблеток",0
G99,Прочее,"Метамизол натрия (Анальгин отечественный), 500 мг, 10 таблеток",0
G99,Прочее,"Метамизол натрия, 10 таблеток",0
G99,Прочее,Мобильные телефоны,1
G99,Прочее,Мотоциклы,1
G99,Прочее,"Нафазолин, 0,1%, 15 мл",0
G99,Прочее,"Нефть обезвоженная, обессоленная и стабилизированная",0
G99,Прочее,"Нимесулид, 10 таблеток",0
G99,Прочее,"Нимесулид, 100 мг, 10 таблеток",0
G99,Прочее,"Носки мужские, пара",0
G99,Прочее,"Носки, гольфы детские, пара",0
G99,Прочее,"Офтан катахром, 10 мл",0
G99,Прочее,"Пенталгин, 24 таблетки",0
G99,Прочее,Пиломатериалы лиственных пород,0
G99,Прочее,Пиломатериалы хвойных пород,0
G99,Прочее,"Плиты древесностружечные, ориентированно-стружечные, м2",0
G99,Прочее,"Поливитамины с макро- и микроэлементами, 10 шт.",0
G99,Прочее,"Поливитамины, 10 шт.",0
G99,Прочее,"Ренгалин, 10 таблеток",0
G99,Прочее,"Ренни, 12 таблеток",0
G99,Прочее,"Римантадин, 10 таблеток",0
G99,Прочее,"Рубашка верхняя для мальчиков школьного возраста, шт.",0
G99,Прочее,Сжиженный природный газ,1
G99,Прочее,"Сигареты с фильтром отечественные, пачка",0
G99,Прочее,"Сигареты с фильтром, пачка",0
G99,Прочее,"Смартфон, шт.",0
G99,Прочее,"Спички, коробок",0
G99,Прочее,Строительные материалы,1
G99,Прочее,"Сухие корма для домашних животных, кг",0
G99,Прочее,"Телевизор, шт.",0
G99,Прочее,Телевизоры,1
G99,Прочее,Ткани,1
