product_group_code,product_group_name,period_end,year,quarter,consumer_price_index,consumer_price_index_observed_mean,n_price_products,n_price_products_observed,n_price_products_interpolated,consumer_price_growth_qoq_pct,consumer_price_growth_yoy_pct,consumer_price_index_lag1,consumer_price_index_lag2,consumer_price_index_lag4,sales_quarter_thousand_rub,sales_cumulative_thousand_rub,n_sales_products,sales_region,sales_region_scope,sales_value_index,sales_value_growth_qoq_pct,sales_value_growth_yoy_pct,physical_volume_cumulative_yoy_index,n_physical_products,physical_volume_cumulative_yoy_index_lag1,physical_volume_cumulative_yoy_index_lag2,physical_volume_cumulative_yoy_index_lag4,per_capita_income_rub,region,region_scope,per_capita_income_index,per_capita_income_qoq_pct,per_capita_income_yoy_pct,stock_value_mean_thousand_rub,stock_value_last_thousand_rub,stock_value_months_available,stock_value_region,stock_value_region_scope,stock_value_qoq_pct,stock_value_yoy_pct,stock_days_mean,stock_days_last,stock_days_months_available,stock_days_region,stock_days_region_scope,stock_days_qoq_pct,stock_days_yoy_pct,ppi_group_index,ppi_q_compounded_percent,n_ppi_products,ppi_growth_qoq_pct,ppi_growth_yoy_pct,ppi_group_index_lag1,ppi_group_index_lag2,ppi_group_index_lag4,buy_ability_group_mean,n_buy_ability_products,real_sales_proxy,real_sales_proxy_index,real_sales_proxy_index_lag1,real_sales_proxy_index_lag2,real_sales_proxy_index_lag4,is_price_interpolated_2021,shock_2022_q1,shock_2022_q2,shock_2022_h2,post_2022,quarter_sin,quarter_cos
G01,"Хлеб, крупы, мука и макаронные изделия",2016-03-31,2016,1,100.0,100.0,9,8,0,,,,,,,,,,,,,,,,,,,,,,,,,1157603421.4199998,1180717380.08,3.0,Российская Федерация,RF_total,,,38.333333333333336,38.0,3.0,Российская Федерация,RF_total,,,,,,,,,,,,,,,,,,0,0,0,0,0,1.0,6.123233995736766e-17
G01,"Хлеб, крупы, мука и макаронные изделия",2016-06-30,2016,2,102.56347316126958,102.56347316126958,9,8,0,2.5634731612695916,,100.0,,,,,,,,,,,,,,,,,,,,,,1175455695.6666667,1175858078.8,3.0,Российская Федерация,RF_total,1.542175318104011,,38.0,38.0,3.0,Российская Федерация,RF_total,-0.8695652173913104,,,,,,,,,,,,,,,,,0,0,0,0,0,1.2246467991473532e-16,-1.0
G01,"Хлеб, крупы, мука и макаронные изделия",2016-09-30,2016,3,104.53924265073091,104.53924265073091,9,8,0,1.9263870738412514,,102.56347316126958,100.0,,,,,,,,,,,,,,,,,,,,,1204476575.0,1237298511.3,3.0,Российская Федерация,RF_total,2.4689045652948938,,37.333333333333336,38.0,3.0,Российская Федерация,RF_total,-1.754385964912275,,,,,,,,,,,,,,,,,0,0,0,0,0,-1.0,-1.8369701987210297e-16
G01,"Хлеб, крупы, мука и макаронные изделия",2016-12-31,2016,4,103.45228330494707,103.45228330494707,9,8,0,-1.039762024501556,,104.53924265073091,102.56347316126958,,,,,,,,,,,,,,,,,,,,,1339932513.3666666,1395382949.1,3.0,Российская Федерация,RF_total,11.246041739472323,,37.666666666666664,34.0,3.0,Российская Федерация,RF_total,0.8928571428571397,,,,,,,,,,,,,,,,,0,0,0,0,0,-2.4492935982947064e-16,1.0
G01,"Хлеб, крупы, мука и макаронные изделия",2017-03-31,2017,1,102.44569874153872,102.44569874153872,9,8,0,-0.9729940521865821,2.4456987415387266,103.45228330494707,104.53924265073091,100.0,261719886.46,261719886.46,4.0,Российская Федерация,RF_total,100.0,,,100.88113563812676,4.0,,,,27617.0,Российская Федерация,RF_total,100.0,,,1318029619.0,1371478667.7,3.0,Российская Федерация,RF_total,-1.6346266806851473,13.858476453292589,36.86333333333334,37.18,3.0,Российская Федерация,RF_total,-2.132743362831846,-3.8347826086956527,94.63364633333333,92.73283609386668,3.0,,,,,,637.6428571428571,7.0,97.61268772473406,100.0,,,,0,0,0,0,0,1.0,6.123233995736766e-17
G01,"Хлеб, крупы, мука и макаронные изделия",2017-06-30,2017,2,100.75235424261714,100.75235424261714,9,8,0,-1.652919077836279,-1.7658517821492414,102.44569874153872,103.45228330494707,102.56347316126958,257876735.14,519596621.6,4.0,Российская Федерация,RF_total,98.53157840927483,-1.4684215907251663,,100.87729767898597,4.0,100.88113563812676,,,31142.0,Российская Федерация,RF_total,112.76387732193938,12.763877321939376,,1356238062.3333333,1351455494.3,3.0,Российская Федерация,RF_total,2.898906275135338,15.379768657646832,36.10666666666667,35.34,3.0,Российская Федерация,RF_total,-2.0526268197847974,-4.982456140350866,88.47616862125061,93.33992307800001,3.0,-6.506647424737178,,94.63364633333333,,,637.6428571428571,7.0,97.79580750242862,100.18759833579314,100.0,,,0,0,0,0,0,1.2246467991473532e-16,-1.0
G01,"Хлеб, крупы, мука и макаронные изделия",2017-09-30,2017,3,99.2115852276264,99.2115852276264,9,8,0,-1.529263535897618,-5.0963229577857145,100.75235424261714,102.44569874153872,104.53924265073091,300892692.2,820489313.8,4.0,Российская Федерация,RF_total,114.96745481203124,16.68082118251064,,101.94424210603344,4.0,100.87729767898597,100.88113563812676,,31160.0,Российская Федерация,RF_total,112.82905456783865,0.05779975595658904,,1396551504.11,1428069314.2,3.0,Российская Федерация,RF_total,2.972445833536752,15.946755054991414,35.21666666666667,35.56,3.0,Российская Федерация,RF_total,-2.4649187592319044,-5.669642857142854,83.20103480646056,93.5761656674,3.0,-5.962208690762683,,88.47616862125061,94.63364633333333,,637.6428571428571,7.0,115.88107835214538,118.71518042708529,100.18759833579314,100.0,,0,0,0,0,0,-1.0,-1.8369701987210297e-16
G01,"Хлеб, крупы, мука и макаронные изделия",2017-12-31,2017,4,97.85341913095532,97.85341913095532,9,8,0,-1.3689591730189243,-5.412025713814305,99.2115852276264,100.75235424261714,103.45228330494707,355566120.8,1176055434.6,4.0,Российская Федерация,RF_total,135.85750995438514,18.170407596226767,,102.17288426749347,4.0,101.94424210603344,100.87729767898597,,37029.0,Российская Федерация,RF_total,134.08045768910452,18.835044929396673,,1525051331.0666666,1581173863.0,3.0,Российская Федерация,RF_total,9.201223626804778,13.815532935675767,35.69,32.0,3.0,Российская Федерация,RF_total,1.3440605773781256,-5.24778761061947,76.72015074955472,91.33901342920001,3.0,-7.789427225252011,,83.20103480646056,88.47616862125061,,637.6428571428571,7.0,138.83777507311183,142.2333287908553,118.71518042708529,100.18759833579314,,0,0,0,0,0,-2.4492935982947064e-16,1.0
G01,"Хлеб, крупы, мука и макаронные изделия",2018-03-31,2018,1,96.84806511918129,96.84806511918129,9,8,0,-1.027408158756915,-5.464000627766485,97.85341913095532,99.2115852276264,102.44569874153872,267113677.8,267113677.8,4.0,Российская Федерация,RF_total,102.06090236892425,-24.87651039446276,2.0609023689242445,103.89004015894315,4.0,102.17288426749347,101.94424210603344,100.88113563812676,28848.0,Российская Федерация,RF_total,104.4573994278886,-22.09349428826055,4.457399427888609,1467832262.2399998,1497028707.52,3.0,Российская Федерация,RF_total,-3.75194379763244,11.365650747185496,37.98666666666667,37.22,3.0,Российская Федерация,RF_total,6.435042495563681,3.0472917985351344,73.39718758088289,94.4602864534,3.0,-4.331278205538613,-22.4407064244868,76.72015074955472,83.20103480646056,94.63364633333333,671.9285714285714,7.0,105.3824898239609,107.95982805138769,142.2333287908553,118.71518042708529,100.0,0,0,0,0,0,1.0,6.123233995736766e-17
G01,"Хлеб, крупы, мука и макаронные изделия",2018-06-30,2018,2,96.7135127836479,96.7135127836479,9,8,0,-0.13893136157939745,-4.008681970094208,96.84806511918129,97.85341913095532,100.75235424261714,256480684.70000002,523594362.5,4.0,Российская Федерация,RF_total,97.99816443799324,-3.980699598603632,-0.5413634693498315,101.9189771035573,4.0,103.89004015894315,102.17288426749347,100.87729767898597,32320.0,Российская Федерация,RF_total,117.02936597023572,12.035496394897383,3.782672917603236,1492273891.7600002,1488589027.13,3.0,Российская Федерация,RF_total,1.6651514037919535,10.03037985769437,36.913333333333334,35.89,3.0,Российская Федерация,RF_total,-2.825552825552835,2.234121122599708,77.90506429828564,107.0911444583,3.0,6.141756742974813,-11.94796800957535,73.39718758088289,76.72015074955472,88.47616862125061,671.9285714285714,7.0,101.32830627010638,103.80649138137687,107.95982805138769,142.2333287908553,100.18759833579314,0,0,0,0,0,1.2246467991473532e-16,-1.0
