region,sales_product_name,period_end,physical_volume_cumulative_yoy_index,year_header,quarter_header,period_label,is_full_year_column,year,quarter,region_scope,product_group_code,product_group_name,source_file
Российская Федерация,Автомобили легковые,2017-03-31,101.35,2017,1,январь-март,False,2017,1,RF_total,G10,Топливо и транспортные товары,[2017-2025]_rozn_dynamics.xls
Российская Федерация,Автомобили легковые,2017-06-30,106.04,2017,2,январь-июнь,False,2017,2,RF_total,G10,Топливо и транспортные товары,[2017-2025]_rozn_dynamics.xls
Российская Федерация,Автомобили легковые,2017-09-30,108.96,2017,3,январь-сентябрь,False,2017,3,RF_total,G10,Топливо и транспортные товары,[2017-2025]_rozn_dynamics.xls
Российская Федерация,Автомобили легковые,2017-12-31,111.9,2017,4,январь-декабрь,False,2017,4,RF_total,G10,Топливо и транспортные товары,[2017-2025]_rozn_dynamics.xls
Российская Федерация,Автомобили легковые,2018-03-31,116.45,2018,1,январь-март,False,2018,1,RF_total,G10,Топливо и транспортные товары,[2017-2025]_rozn_dynamics.xls
Российская Федерация,Автомобили легковые,2018-06-30,112.81,2018,2,январь-июнь,False,2018,2,RF_total,G10,Топливо и транспортные товары,[2017-2025]_rozn_dynamics.xls
Российская Федерация,Автомобили легковые,2018-09-30,111.16,2018,3,январь-сентябрь,False,2018,3,RF_total,G10,Топливо и транспортные товары,[2017-2025]_rozn_dynamics.xls
Российская Федерация,Автомобили легковые,2018-12-31,107.59,2018,4,январь-декабрь,False,2018,4,RF_total,G10,Топливо и транспортные товары,[2017-2025]_rozn_dynamics.xls
Российская Федерация,Автомобили легковые,2019-03-31,102.01,2019,1,январь-март,False,2019,1,RF_total,G10,Топливо и транспортные товары,[2017-2025]_rozn_dynamics.xls
Российская Федерация,Автомобили легковые,2019-06-30,104.98,2019,2,январь-июнь,False,2019,2,RF_total,G10,Топливо и транспортные товары,[2017-2025]_rozn_dynamics.xls
Российская Федерация,Автомобили легковые,2019-09-30,106.05,2019,3,январь-сентябрь,False,2019,3,RF_total,G10,Топливо и транспортные товары,[2017-2025]_rozn_dynamics.xls
Российская Федерация,Автомобили легковые,2019-12-31,103.96,2019,4,январь-декабрь,False,2019,4,RF_total,G10,Топливо и транспортные товары,[2017-2025]_rozn_dynamics.xls
Российская Федерация,Автомобили легковые,2020-03-31,115.22,2020,1,январь-март,False,2020,1,RF_total,G10,Топливо и транспортные товары,[2017-2025]_rozn_dynamics.xls
Российская Федерация,Автомобили легковые,2020-06-30,96.61,2020,2,январь-июнь,False,2020,2,RF_total,G10,Топливо и транспортные товары,[2017-2025]_rozn_dynamics.xls
Российская Федерация,Автомобили легковые,2020-09-30,102.23,2020,3,январь-сентябрь,False,2020,3,RF_total,G10,Топливо и транспортные товары,[2017-2025]_rozn_dynamics.xls
Российская Федерация,Автомобили легковые,2020-12-31,101.9,2020,4,январь-декабрь,False,2020,4,RF_total,G10,Топливо и транспортные товары,[2017-2025]_rozn_dynamics.xls
Российская Федерация,Автомобили легковые,2021-03-31,114.2,2021,1,январь-март,False,2021,1,RF_total,G10,Топливо и транспортные товары,[2017-2025]_rozn_dynamics.xls
Российская Федерация,Автомобили легковые,2021-06-30,132.64,2021,2,январь-июнь,False,2021,2,RF_total,G10,Топливо и транспортные товары,[2017-2025]_rozn_dynamics.xls
Российская Федерация,Автомобили легковые,2021-09-30,124.82,2021,3,январь-сентябрь,False,2021,3,RF_total,G10,Топливо и транспортные товары,[2017-2025]_rozn_dynamics.xls
Российская Федерация,Автомобили легковые,2021-12-31,120.54,2021,4,январь-декабрь,False,2021,4,RF_total,G10,Топливо и транспортные товары,[2017-2025]_rozn_dynamics.xls
Российская Федерация,Автомобили легковые,2022-03-31,93.54,2022,1,январь-март,False,2022,1,RF_total,G10,Топливо и транспортные товары,[2017-2025]_rozn_dynamics.xls
Российская Федерация,Автомобили легковые,2022-06-30,64.71,2022,2,январь-июнь,False,2022,2,RF_total,G10,Топливо и транспортные товары,[2017-2025]_rozn_dynamics.xls
Российская Федерация,Автомобили легковые,2022-09-30,60.66,2022,3,январь-сентябрь,False,2022,3,RF_total,G10,Топливо и транспортные товары,[2017-2025]_rozn_dynamics.xls
Российская Федерация,Автомобили легковые,2022-12-31,55.82,2022,4,январь-декабрь,False,2022,4,RF_total,G10,Топливо и транспортные товары,[2017-2025]_rozn_dynamics.xls
Российская Федерация без учета новых субъектов (с 01.01.2023),Автомобили легковые,2023-03-31,68.65,2023,1,январь-март,False,2023,1,RF_without_new_regions,G10,Топливо и транспортные товары,[2017-2025]_rozn_dynamics.xls
Российская Федерация без учета новых субъектов (с 01.01.2023),Автомобили легковые,2023-06-30,96.3,2023,2,январь-июнь,False,2023,2,RF_without_new_regions,G10,Топливо и транспортные товары,[2017-2025]_rozn_dynamics.xls
Российская Федерация без учета новых субъектов (с 01.01.2023),Автомобили легковые,2023-09-30,118.8,2023,3,январь-сентябрь,False,2023,3,RF_without_new_regions,G10,Топливо и транспортные товары,[2017-2025]_rozn_dynamics.xls
Российская Федерация без учета новых субъектов (с 01.01.2023),Автомобили легковые,2023-12-31,126.16,2023,4,январь-декабрь,False,2023,4,RF_without_new_regions,G10,Топливо и транспортные товары,[2017-2025]_rozn_dynamics.xls
Российская Федерация без учета новых субъектов (с 01.01.2023),Автомобили легковые,2024-03-31,140.8,2024,1,январь-март,False,2024,1,RF_without_new_regions,G10,Топливо и транспортные товары,[2017-2025]_rozn_dynamics.xls
Российская Федерация без учета новых субъектов (с 01.01.2023),Автомобили легковые,2024-06-30,133.6,2024,2,январь-июнь,False,2024,2,RF_without_new_regions,G10,Топливо и транспортные товары,[2017-2025]_rozn_dynamics.xls
Российская Федерация без учета новых субъектов (с 01.01.2023),Автомобили легковые,2024-09-30,130.08,2024,3,январь-сентябрь,False,2024,3,RF_without_new_regions,G10,Топливо и транспортные товары,[2017-2025]_rozn_dynamics.xls
Российская Федерация без учета новых субъектов (с 01.01.2023),Автомобили легковые,2024-12-31,124.6,2024,4,январь-декабрь,False,2024,4,RF_without_new_regions,G10,Топливо и транспортные товары,[2017-2025]_rozn_dynamics.xls
Российская Федерация без учета новых субъектов (с 01.01.2023),Автомобили легковые,2025-03-31,86.35,2025,1,январь-март,False,2025,1,RF_without_new_regions,G10,Топливо и транспортные товары,[2017-2025]_rozn_dynamics.xls
Российская Федерация без учета новых субъектов (с 01.01.2023),Автомобили легковые,2025-06-30,83.69,2025,2,январь-июнь,False,2025,2,RF_without_new_regions,G10,Топливо и транспортные товары,[2017-2025]_rozn_dynamics.xls
Российская Федерация без учета новых субъектов (с 01.01.2023),Автомобили легковые,2025-09-30,85.34,2025,3,январь-сентябрь,False,2025,3,RF_without_new_regions,G10,Топливо и транспортные товары,[2017-2025]_rozn_dynamics.xls
Российская Федерация без учета новых субъектов (с 01.01.2023),Автомобили легковые,2025-12-31,92.6,2025,4,январь-декабрь,False,2025,4,RF_without_new_regions,G10,Топливо и транспортные товары,[2017-2025]_rozn_dynamics.xls
Российская Федерация,Аудиоаппаратура,2017-03-31,101.09,2017,1,январь-март,False,2017,1,RF_total,G99,Прочее,[2017-2025]_rozn_dynamics.xls
