product_group_code,product_group_name,price_product_code,price_product_name,n_periods,first_period,last_period,mean_price_rub_non_null,mean_price_filled_rub_non_null,price_index_filled_non_null
G01,"Хлеб, крупы, мука и макаронные изделия",P_вермишель_кг,"Вермишель, кг",42,2016-03-31,2026-06-30,38,42,42
G01,"Хлеб, крупы, мука и макаронные изделия",P_крупа_гречневая_ядрица_кг,"Крупа гречневая-ядрица, кг",42,2016-03-31,2026-06-30,38,42,42
G01,"Хлеб, крупы, мука и макаронные изделия",P_макаронные_изделия_из_пшеничной_муки_высшего_сорта_кг,"Макаронные изделия из пшеничной муки высшего сорта, кг",42,2016-03-31,2026-06-30,38,42,42
G01,"Хлеб, крупы, мука и макаронные изделия",P_мука_пшеничная_кг,"Мука пшеничная, кг",42,2016-03-31,2026-06-30,38,42,42
G01,"Хлеб, крупы, мука и макаронные изделия",P_пшено_кг,"Пшено, кг",42,2016-03-31,2026-06-30,38,42,42
G01,"Хлеб, крупы, мука и макаронные изделия",P_рис_шлифованный_кг,"Рис шлифованный, кг",42,2016-03-31,2026-06-30,38,42,42
G01,"Хлеб, крупы, мука и макаронные изделия",P_хлеб_и_булочные_изделия_из_пшеничной_муки_1_и_2_сортов_кг,"Хлеб и булочные изделия из пшеничной муки 1 и 2 сортов, кг",42,2016-03-31,2026-06-30,20,20,20
G01,"Хлеб, крупы, мука и макаронные изделия",P_хлеб_и_булочные_изделия_из_пшеничной_муки_различных_сортов_кг,"Хлеб и булочные изделия из пшеничной муки различных сортов, кг",42,2016-03-31,2026-06-30,18,18,18
G01,"Хлеб, крупы, мука и макаронные изделия",P_хлеб_из_ржаной_муки_и_из_смеси_муки_ржаной_и_пшеничной_кг,"Хлеб из ржаной муки и из смеси муки ржаной и пшеничной, кг",42,2016-03-31,2026-06-30,38,42,42
G02,Молочная продукция и яйца,P_кефир_кг,"Кефир, кг",42,2016-03-31,2026-06-30,2,2,2
G02,Молочная продукция и яйца,P_масло_сливочное_кг,"Масло сливочное, кг",42,2016-03-31,2026-06-30,38,42,42
G02,Молочная продукция и яйца,P_молоко_питьевое_цельное_пастеризованное_2_5_3_2_жирности_л,"Молоко питьевое цельное пастеризованное 2,5-3,2% жирности, л",42,2016-03-31,2026-06-30,38,42,42
G02,Молочная продукция и яйца,P_молоко_питьевое_цельное_стерилизованное_2_5_3_2_жирности_л,"Молоко питьевое цельное стерилизованное 2,5-3,2% жирности, л",42,2016-03-31,2026-06-30,32,36,36
G02,Молочная продукция и яйца,P_молоко_питьевое_цельное_ультрапастеризованное_2_5_3_2_жирности_л,"Молоко питьевое цельное ультрапастеризованное 2,5-3,2% жирности, л",42,2016-03-31,2026-06-30,6,6,6
G02,Молочная продукция и яйца,P_смеси_сухие_молочные_для_детского_питания_кг,"Смеси сухие молочные для детского питания, кг",42,2016-03-31,2026-06-30,21,25,25
G02,Молочная продукция и яйца,P_сметана_кг,"Сметана, кг",42,2016-03-31,2026-06-30,38,42,42
G02,Молочная продукция и яйца,P_сыры_сычужные_твердые_и_мягкие_кг,"Сыры сычужные твердые и мягкие, кг",42,2016-03-31,2026-06-30,24,28,28
G02,Молочная продукция и яйца,P_сыры_твердые_полутвердые_и_мягкие_кг,"Сыры твердые, полутвердые и мягкие, кг",42,2016-03-31,2026-06-30,14,14,14
G02,Молочная продукция и яйца,P_творог_жирный_кг,"Творог жирный, кг",42,2016-03-31,2026-06-30,20,20,20
G02,Молочная продукция и яйца,P_творог_кг,"Творог, кг",42,2016-03-31,2026-06-30,18,18,18
G02,Молочная продукция и яйца,P_яйца_куриные_10_шт,"Яйца куриные, 10 шт.",42,2016-03-31,2026-06-30,38,42,42
G03,"Мясо, птица, рыба и колбасные изделия",P_баранина_кроме_бескостного_мяса_кг,"Баранина (кроме бескостного мяса), кг",42,2016-03-31,2026-06-30,38,42,42
G03,"Мясо, птица, рыба и колбасные изделия",P_говядина_кроме_бескостного_мяса_кг,"Говядина (кроме бескостного мяса), кг",42,2016-03-31,2026-06-30,38,42,42
