product_group_code,product_group_name,sales_product_code,sales_product_name,n_periods,first_period,last_period,sales_value_index_non_null,real_sales_proxy_index_non_null,physical_volume_cumulative_yoy_index_non_null,consumer_price_index_non_null
G01,"Хлеб, крупы, мука и макаронные изделия",S_макаронные_изделия,Макаронные изделия,36,2017-03-31,2025-12-31,36,36,36,36
G01,"Хлеб, крупы, мука и макаронные изделия",S_мука,Мука,36,2017-03-31,2025-12-31,36,36,36,36
G01,"Хлеб, крупы, мука и макаронные изделия",S_услуги_по_розничной_торговле_крупами_в_специализированных_магазинах,Услуги по розничной торговле крупами в специализированных магазинах,36,2017-03-31,2025-12-31,36,36,36,36
G01,"Хлеб, крупы, мука и макаронные изделия",S_услуги_по_розничной_торговле_хлебом_и_хлебобулочными_изделиями_в_специализированных_магазинах,Услуги по розничной торговле хлебом и хлебобулочными изделиями в специализированных магазинах,36,2017-03-31,2025-12-31,36,36,36,36
G02,Молочная продукция и яйца,S_консервы_молочные_молочные_составные_сухие_сублимированные,"Консервы молочные, молочные составные сухие, сублимированные",36,2017-03-31,2025-12-31,36,36,36,36
G02,Молочная продукция и яйца,S_молоко_питьевое,Молоко питьевое,36,2017-03-31,2025-12-31,36,36,36,36
G02,Молочная продукция и яйца,S_молочные_напитки,Молочные напитки,32,2017-03-31,2024-12-31,32,32,32,32
G02,Молочная продукция и яйца,S_сыры,сыры,36,2017-03-31,2025-12-31,36,36,36,36
G02,Молочная продукция и яйца,S_услуги_по_розничной_торговле_молочными_продуктами_в_специализированных_магазинах,Услуги по розничной торговле молочными продуктами в специализированных магазинах,36,2017-03-31,2025-12-31,36,36,36,36
G02,Молочная продукция и яйца,S_услуги_по_розничной_торговле_яйцами_в_специализированных_магазинах,Услуги по розничной торговле яйцами в специализированных магазинах,36,2017-03-31,2025-12-31,36,36,36,36
G03,"Мясо, птица, рыба и колбасные изделия",S_мясо_домашней_птицы,Мясо домашней птицы,36,2017-03-31,2025-12-31,36,36,36,36
G03,"Мясо, птица, рыба и колбасные изделия",S_мясо_животных,Мясо животных,36,2017-03-31,2025-12-31,36,36,36,36
G03,"Мясо, птица, рыба и колбасные изделия",S_услуги_по_розничной_торговле_консервами_из_мяса_и_мяса_птицы_в_специализированных_магазинах,Услуги по розничной торговле консервами из мяса и мяса птицы в специализированных магазинах,36,2017-03-31,2025-12-31,36,36,36,36
G03,"Мясо, птица, рыба и колбасные изделия",S_услуги_по_розничной_торговле_консервами_из_рыбы_и_морепродуктов_в_специализированных_магазинах,Услуги по розничной торговле консервами из рыбы и морепродуктов в специализированных магазинах,36,2017-03-31,2025-12-31,36,36,36,36
G03,"Мясо, птица, рыба и колбасные изделия",S_услуги_по_розничной_торговле_мясом_и_мясными_продуктами_в_специализированных_магазинах,Услуги по розничной торговле мясом и мясными продуктами в специализированных магазинах,36,2017-03-31,2025-12-31,36,36,36,36
G03,"Мясо, птица, рыба и колбасные изделия",S_услуги_по_розничной_торговле_продуктами_из_мяса_и_мяса_птицы_в_специализированных_магазинах,Услуги по розничной торговле продуктами из мяса и мяса птицы в специализированных магазинах,36,2017-03-31,2025-12-31,36,36,36,36
G03,"Мясо, птица, рыба и колбасные изделия",S_услуги_по_розничной_торговле_рыбой_ракообразными_и_моллюсками_в_специализированных_магазинах,"Услуги по розничной торговле рыбой, ракообразными и моллюсками в специализированных магазинах",36,2017-03-31,2025-12-31,36,36,36,36
