product_group_code,product_group_name,sales_product_code,sales_product_name,n_periods,first_period,last_period,sales_non_null,price_non_null,demand_non_null,demand_yoy_non_null
G01,"Хлеб, крупы, мука и макаронные изделия",S_макаронные_изделия,Макаронные изделия,36,2017-03-31,2025-12-31,36,36,36,32
G01,"Хлеб, крупы, мука и макаронные изделия",S_мука,Мука,36,2017-03-31,2025-12-31,36,36,36,32
G02,Молочная продукция и яйца,S_консервы_молочные_молочные_составные_сухие_сублимированные,"Консервы молочные, молочные составные сухие, сублимированные",36,2017-03-31,2025-12-31,36,36,36,32
G02,Молочная продукция и яйца,S_молоко_питьевое,Молоко питьевое,36,2017-03-31,2025-12-31,36,36,36,32
G02,Молочная продукция и яйца,S_сыры,сыры,36,2017-03-31,2025-12-31,36,36,36,32
G02,Молочная продукция и яйца,S_молочные_напитки,Молочные напитки,32,2017-03-31,2024-12-31,32,32,32,28
G03,"Мясо, птица, рыба и колбасные изделия",S_мясо_домашней_птицы,Мясо домашней птицы,36,2017-03-31,2025-12-31,36,36,36,32
G03,"Мясо, птица, рыба и колбасные изделия",S_мясо_животных,Мясо животных,36,2017-03-31,2025-12-31,36,36,36,32
G04,"Овощи, фрукты и картофель",S_свежие_овощи,Свежие овощи,36,2017-03-31,2025-12-31,36,36,36,32
G04,"Овощи, фрукты и картофель",S_свежие_фрукты,Свежие фрукты,36,2017-03-31,2025-12-31,36,36,36,32
G04,"Овощи, фрукты и картофель",S_свежий_картофель,Свежий картофель,36,2017-03-31,2025-12-31,36,36,36,32
G05,"Бакалея, масло, сахар, чай, соль",S_маргариновая_продукция,Маргариновая продукция,36,2017-03-31,2025-12-31,36,36,36,32
G05,"Бакалея, масло, сахар, чай, соль",S_чай,Чай,36,2017-03-31,2025-12-31,36,36,36,32
G07,"Товары для дома, гигиены и бытовая химия",S_стиральные_машины,Стиральные машины,36,2017-03-31,2025-12-31,36,36,36,32
G10,Топливо и транспортные товары,S_автомобили_легковые,Автомобили легковые,36,2017-03-31,2025-12-31,36,36,36,32
G10,Топливо и транспортные товары,S_лампы_накаливания_включая_галогенные_кроме_ламп_для_автотранспортных_средств,"Лампы накаливания (включая галогенные, кроме ламп для автотранспортных средств)",32,2017-03-31,2024-12-31,32,32,32,28
G10,Топливо и транспортные товары,S_газовое_моторное_топливо,Газовое моторное топливо,25,2017-03-31,2024-03-31,25,25,25,21
G10,Топливо и транспортные товары,S_дизельное_топливо,Дизельное топливо,25,2017-03-31,2024-03-31,25,25,25,21
G10,Топливо и транспортные товары,S_бензины_автомобильные,Бензины автомобильные,21,2017-03-31,2024-03-31,21,21,21,17
G99,Прочее,S_аудиоаппаратура,Аудиоаппаратура,36,2017-03-31,2025-12-31,36,36,36,32
G99,Прочее,S_лампы_осветительные_бытовые,Лампы осветительные (бытовые),36,2017-03-31,2025-12-31,36,36,36,32
G99,Прочее,S_мобильные_телефоны,Мобильные телефоны,36,2017-03-31,2025-12-31,36,36,36,32
G99,Прочее,S_мотоциклы,Мотоциклы,36,2017-03-31,2025-12-31,36,36,36,32
G99,Прочее,S_строительные_материалы,Строительные материалы,36,2017-03-31,2025-12-31,36,36,36,32
G99,Прочее,S_телевизоры,Телевизоры,36,2017-03-31,2025-12-31,36,36,36,32
G99,Прочее,S_ткани,Ткани,36,2017-03-31,2025-12-31,36,36,36,32
G99,Прочее,S_фотоаппаратура_и_фототовары,Фотоаппаратура и фототовары,36,2017-03-31,2025-12-31,36,36,36,32
G99,Прочее,S_холодильники_и_морозильники,Холодильники и морозильники,36,2017-03-31,2025-12-31,36,36,36,32
G99,Прочее,S_лампы_газоразрядные_люминесцентные,Лампы газоразрядные люминесцентные,32,2017-03-31,2024-12-31,32,32,32,28
G99,Прочее,S_лампы_светодиодные,Лампы светодиодные,32,2017-03-31,2024-12-31,32,32,32,28
G99,Прочее,S_всего_по_розничной_торговле,Всего по розничной торговле,26,2017-03-31,2025-09-30,25,26,25,21
G99,Прочее,S_компримированный_природный_газ,Компримированный природный газ,25,2017-03-31,2024-03-31,25,25,25,21
G99,Прочее,S_сжиженный_природный_газ,Сжиженный природный газ,25,2017-03-31,2024-03-31,25,25,25,21
