period_end,year,quarter,per_capita_income_rub,region,region_scope,per_capita_income_index,per_capita_income_qoq_pct,per_capita_income_yoy_pct
2017-03-31,2017,1,27617.0,Российская Федерация,RF_total,100.0,,
2017-06-30,2017,2,31142.0,Российская Федерация,RF_total,112.76387732193938,12.763877321939376,
2017-09-30,2017,3,31160.0,Российская Федерация,RF_total,112.82905456783865,0.05779975595658904,
2017-12-31,2017,4,37029.0,Российская Федерация,RF_total,134.08045768910452,18.835044929396673,
2018-03-31,2018,1,28848.0,Российская Федерация,RF_total,104.4573994278886,-22.09349428826055,4.457399427888609
2018-06-30,2018,2,32320.0,Российская Федерация,RF_total,117.02936597023572,12.035496394897383,3.782672917603236
2018-09-30,2018,3,32536.0,Российская Федерация,RF_total,117.81149292102691,0.6683168316831578,4.41591784338895
2018-12-31,2018,4,38868.0,Российская Федерация,RF_total,140.7393996451461,19.461519547578064,4.966377703961755
2019-03-31,2019,1,30075.0,Российская Федерация,RF_total,108.90031502335518,-22.622723062673668,4.253327787021632
2019-06-30,2019,2,34424.0,Российская Федерация,RF_total,124.6478618242387,14.460515378221107,6.509900990099005
2019-09-30,2019,3,35009.0,Российская Федерация,RF_total,126.76612231596481,1.6993957703927531,7.60081140890092
2019-12-31,2019,4,41481.0,Российская Федерация,RF_total,150.20096317485607,18.48667485503728,6.7227539364001165
2020-03-31,2020,1,31810.0,Российская Федерация,RF_total,115.18267733642323,-23.31428846941973,5.768911055694104
2020-06-30,2020,2,33202.0,Российская Федерация,RF_total,120.2230510192997,4.375982395473121,-3.5498489425981883
2020-09-30,2020,3,35123.0,Российская Федерация,RF_total,127.17891153999348,5.785796036383339,0.3256305521437408
2020-12-31,2020,4,43355.0,Российская Федерация,RF_total,156.98663866459066,23.437633459556405,4.517731009377779
2021-03-31,2021,1,32694.0,Российская Федерация,RF_total,118.38360430169823,-24.590012685964712,2.779000314366553
2021-06-30,2021,2,38308.0,Российская Федерация,RF_total,138.71166310605787,17.171346424420374,15.378591651105356
2021-09-30,2021,3,40721.0,Российская Федерация,RF_total,147.4490350146649,6.298945389996868,15.938274065427205
2021-12-31,2021,4,47754.0,Российская Федерация,RF_total,172.9152333707499,17.271186856904297,10.146465228923995
2022-03-31,2022,1,39950.0,Российская Федерация,RF_total,144.65727631531303,-16.342086526783095,22.19367468036948
2022-06-30,2022,2,46141.0,Российская Федерация,RF_total,167.07462794655464,15.496871088861086,20.44742612509136
2022-09-30,2022,3,46165.0,Российская Федерация,RF_total,167.16153094108702,0.05201447736287168,13.369023354043374
2022-12-31,2022,4,56942.0,Российская Федерация,RF_total,206.18459644421912,23.344525073107334,19.240273066130587
2023-03-31,2023,1,45695.0,Российская Федерация без учета новых субъектов (с 01.01.2023),RF_without_new_regions,165.4596806314951,-19.75167714516526,14.380475594493113
2023-06-30,2023,2,50128.0,Российская Федерация без учета новых субъектов (с 01.01.2023),RF_without_new_regions,181.51138791324183,9.70128022759602,8.640905051906111
2023-09-30,2023,3,52074.0,Российская Федерация без учета новых субъектов (с 01.01.2023),RF_without_new_regions,188.5577723865735,3.882061921481017,12.799740062818143
2023-12-31,2023,4,66203.0,Российская Федерация без учета новых субъектов (с 01.01.2023),RF_without_new_regions,239.71828945939095,27.13254215155356,16.263917670612194
2024-03-31,2024,1,53221.0,Российская Федерация без учета новых субъектов (с 01.01.2023),RF_without_new_regions,192.71101133359886,-19.609383260577317,16.470073312178577
2024-06-30,2024,2,59514.0,Российская Федерация без учета новых субъектов (с 01.01.2023),RF_without_new_regions,215.497700691603,11.824279889517285,18.724066390041493
2024-09-30,2024,3,62429.0,Российская Федерация без учета новых субъектов (с 01.01.2023),RF_without_new_regions,226.05279356917842,4.898007191585174,19.8851634212851
2024-12-31,2024,4,80646.0,Российская Федерация без учета новых субъектов (с 01.01.2023),RF_without_new_regions,292.01578737734,29.180348876323503,21.81623189281452
2025-03-31,2025,1,63470.0,Российская Федерация без учета новых субъектов (с 01.01.2023),RF_without_new_regions,229.82221095701925,-21.298018500607597,19.257435974521343
2025-06-30,2025,2,71690.0,Российская Федерация без учета новых субъектов (с 01.01.2023),RF_without_new_regions,259.58648658435027,12.951000472664242,20.4590516517122
2025-09-30,2025,3,73038.0,Российская Федерация без учета новых субъектов (с 01.01.2023),RF_without_new_regions,264.46753811058403,1.8803180359882932,16.993704848708123
2025-12-31,2025,4,91180.0,Российская Федерация без учета новых субъектов (с 01.01.2023),RF_without_new_regions,330.1589600608321,24.83912483912485,13.062024154948793
