region,sales_product_name,period_end,sales_cumulative_thousand_rub,year_header,quarter_header,period_label,is_full_year_column,year,quarter,region_scope,product_group_code,product_group_name,sales_quarter_thousand_rub,sales_product_code,source_file
Российская Федерация,Автомобили легковые,2017-03-31,318147374.6,2017,1,январь-март,False,2017,1,RF_total,G10,Топливо и транспортные товары,318147374.6,S_автомобили_легковые,[2017-2025]_sales_dynamics.xls
Российская Федерация,Автомобили легковые,2017-06-30,691790528.2,2017,2,январь-июнь,False,2017,2,RF_total,G10,Топливо и транспортные товары,373643153.6,S_автомобили_легковые,[2017-2025]_sales_dynamics.xls
Российская Федерация,Автомобили легковые,2017-09-30,1113775109.3,2017,3,январь-сентябрь,False,2017,3,RF_total,G10,Топливо и транспортные товары,421984581.0999999,S_автомобили_легковые,[2017-2025]_sales_dynamics.xls
Российская Федерация,Автомобили легковые,2017-12-31,1634783381.6,2017,4,январь-декабрь,False,2017,4,RF_total,G10,Топливо и транспортные товары,521008272.29999995,S_автомобили_легковые,[2017-2025]_sales_dynamics.xls
Российская Федерация,Автомобили легковые,2018-03-31,379426655.7,2018,1,январь-март,False,2018,1,RF_total,G10,Топливо и транспортные товары,379426655.7,S_автомобили_легковые,[2017-2025]_sales_dynamics.xls
Российская Федерация,Автомобили легковые,2018-06-30,805656773.2,2018,2,январь-июнь,False,2018,2,RF_total,G10,Топливо и транспортные товары,426230117.50000006,S_автомобили_легковые,[2017-2025]_sales_dynamics.xls
Российская Федерация,Автомобили легковые,2018-09-30,1281130779.5,2018,3,январь-сентябрь,False,2018,3,RF_total,G10,Топливо и транспортные товары,475474006.29999995,S_автомобили_легковые,[2017-2025]_sales_dynamics.xls
Российская Федерация,Автомобили легковые,2018-12-31,1912454932.6,2018,4,январь-декабрь,False,2018,4,RF_total,G10,Топливо и транспортные товары,631324153.0999999,S_автомобили_легковые,[2017-2025]_sales_dynamics.xls
Российская Федерация,Автомобили легковые,2019-03-31,411005803.2,2019,1,январь-март,False,2019,1,RF_total,G10,Топливо и транспортные товары,411005803.2,S_автомобили_легковые,[2017-2025]_sales_dynamics.xls
Российская Федерация,Автомобили легковые,2019-06-30,893325492.2,2019,2,январь-июнь,False,2019,2,RF_total,G10,Топливо и транспортные товары,482319689.00000006,S_автомобили_легковые,[2017-2025]_sales_dynamics.xls
Российская Федерация,Автомобили легковые,2019-09-30,1431970298.3,2019,3,январь-сентябрь,False,2019,3,RF_total,G10,Топливо и транспортные товары,538644806.0999999,S_автомобили_легковые,[2017-2025]_sales_dynamics.xls
Российская Федерация,Автомобили легковые,2019-12-31,2073248381.99,2019,4,январь-декабрь,False,2019,4,RF_total,G10,Топливо и транспортные товары,641278083.69,S_автомобили_легковые,[2017-2025]_sales_dynamics.xls
Российская Федерация,Автомобили легковые,2020-03-31,485304084.8,2020,1,январь-март,False,2020,1,RF_total,G10,Топливо и транспортные товары,485304084.8,S_автомобили_легковые,[2017-2025]_sales_dynamics.xls
Российская Федерация,Автомобили легковые,2020-06-30,887906561.6,2020,2,январь-июнь,False,2020,2,RF_total,G10,Топливо и транспортные товары,402602476.8,S_автомобили_легковые,[2017-2025]_sales_dynamics.xls
Российская Федерация,Автомобили легковые,2020-09-30,1512714629.4,2020,3,январь-сентябрь,False,2020,3,RF_total,G10,Топливо и транспортные товары,624808067.8000001,S_автомобили_легковые,[2017-2025]_sales_dynamics.xls
Российская Федерация,Автомобили легковые,2020-12-31,2206628088.3,2020,4,январь-декабрь,False,2020,4,RF_total,G10,Топливо и транспортные товары,693913458.9000001,S_автомобили_легковые,[2017-2025]_sales_dynamics.xls
Российская Федерация,Автомобили легковые,2021-03-31,624570257.9,2021,1,январь-март,False,2021,1,RF_total,G10,Топливо и транспортные товары,624570257.9,S_автомобили_легковые,[2017-2025]_sales_dynamics.xls
Российская Федерация,Автомобили легковые,2021-06-30,1436431680.7,2021,2,январь-июнь,False,2021,2,RF_total,G10,Топливо и транспортные товары,811861422.8000001,S_автомобили_легковые,[2017-2025]_sales_dynamics.xls
Российская Федерация,Автомобили легковые,2021-09-30,2230703851.2,2021,3,январь-сентябрь,False,2021,3,RF_total,G10,Топливо и транспортные товары,794272170.4999998,S_автомобили_легковые,[2017-2025]_sales_dynamics.xls
Российская Федерация,Автомобили легковые,2021-12-31,3078014047.3,2021,4,январь-декабрь,False,2021,4,RF_total,G10,Топливо и транспортные товары,847310196.1000004,S_автомобили_легковые,[2017-2025]_sales_dynamics.xls
Российская Федерация,Автомобили легковые,2022-03-31,716889670.4,2022,1,январь-март,False,2022,1,RF_total,G10,Топливо и транспортные товары,716889670.4,S_автомобили_легковые,[2017-2025]_sales_dynamics.xls
Российская Федерация,Автомобили легковые,2022-06-30,1264096310.5,2022,2,январь-июнь,False,2022,2,RF_total,G10,Топливо и транспортные товары,547206640.1,S_автомобили_легковые,[2017-2025]_sales_dynamics.xls
Российская Федерация,Автомобили легковые,2022-09-30,1760892773.89,2022,3,январь-сентябрь,False,2022,3,RF_total,G10,Топливо и транспортные товары,496796463.3900001,S_автомобили_легковые,[2017-2025]_sales_dynamics.xls
Российская Федерация,Автомобили легковые,2022-12-31,2265758684.3,2022,4,январь-декабрь,False,2022,4,RF_total,G10,Топливо и транспортные товары,504865910.4100001,S_автомобили_легковые,[2017-2025]_sales_dynamics.xls
Российская Федерация без учета новых субъектов (с 01.01.2023),Автомобили легковые,2023-03-31,563709208.5,2023,1,январь-март,False,2023,1,RF_without_new_regions,G10,Топливо и транспортные товары,563709208.5,S_автомобили_легковые,[2017-2025]_sales_dynamics.xls
Российская Федерация без учета новых субъектов (с 01.01.2023),Автомобили легковые,2023-06-30,1305750695.7,2023,2,январь-июнь,False,2023,2,RF_without_new_regions,G10,Топливо и транспортные товары,742041487.2,S_автомобили_легковые,[2017-2025]_sales_dynamics.xls
Российская Федерация без учета новых субъектов (с 01.01.2023),Автомобили легковые,2023-09-30,2252715328.9,2023,3,январь-сентябрь,False,2023,3,RF_without_new_regions,G10,Топливо и транспортные товары,946964633.2,S_автомобили_легковые,[2017-2025]_sales_dynamics.xls
Российская Федерация без учета новых субъектов (с 01.01.2023),Автомобили легковые,2023-12-31,3127687796.1,2023,4,январь-декабрь,False,2023,4,RF_without_new_regions,G10,Топливо и транспортные товары,874972467.1999998,S_автомобили_легковые,[2017-2025]_sales_dynamics.xls
Российская Федерация без учета новых субъектов (с 01.01.2023),Автомобили легковые,2024-03-31,899753932.1,2024,1,январь-март,False,2024,1,RF_without_new_regions,G10,Топливо и транспортные товары,899753932.1,S_автомобили_легковые,[2017-2025]_sales_dynamics.xls
Российская Федерация без учета новых субъектов (с 01.01.2023),Автомобили легковые,2024-06-30,1963221904.3,2024,2,январь-июнь,False,2024,2,RF_without_new_regions,G10,Топливо и транспортные товары,1063467972.1999999,S_автомобили_легковые,[2017-2025]_sales_dynamics.xls
Российская Федерация без учета новых субъектов (с 01.01.2023),Автомобили легковые,2024-09-30,3249779289.4,2024,3,январь-сентябрь,False,2024,3,RF_without_new_regions,G10,Топливо и транспортные товары,1286557385.1000001,S_автомобили_легковые,[2017-2025]_sales_dynamics.xls
Российская Федерация без учета новых субъектов (с 01.01.2023),Автомобили легковые,2024-12-31,4248740514.77,2024,4,январь-декабрь,False,2024,4,RF_without_new_regions,G10,Топливо и транспортные товары,998961225.3699999,S_автомобили_легковые,[2017-2025]_sales_dynamics.xls
Российская Федерация без учета новых субъектов (с 01.01.2023),Автомобили легковые,2025-03-31,800750318.8,2025,1,январь-март,False,2025,1,RF_without_new_regions,G10,Топливо и транспортные товары,800750318.8,S_автомобили_легковые,[2017-2025]_sales_dynamics.xls
Российская Федерация без учета новых субъектов (с 01.01.2023),Автомобили легковые,2025-06-30,1677084633.7,2025,2,январь-июнь,False,2025,2,RF_without_new_regions,G10,Топливо и транспортные товары,876334314.9000001,S_автомобили_легковые,[2017-2025]_sales_dynamics.xls
