period_end,year,quarter,stock_days_mean,stock_days_last,stock_days_months_available,stock_days_region,stock_days_region_scope,stock_days_qoq_pct,stock_days_yoy_pct
2016-03-31,2016,1,38.333333333333336,38.0,3,Российская Федерация,RF_total,,
2016-06-30,2016,2,38.0,38.0,3,Российская Федерация,RF_total,-0.8695652173913104,
2016-09-30,2016,3,37.333333333333336,38.0,3,Российская Федерация,RF_total,-1.754385964912275,
2016-12-31,2016,4,37.666666666666664,34.0,3,Российская Федерация,RF_total,0.8928571428571397,
2017-03-31,2017,1,36.86333333333334,37.18,3,Российская Федерация,RF_total,-2.132743362831846,-3.8347826086956527
2017-06-30,2017,2,36.10666666666667,35.34,3,Российская Федерация,RF_total,-2.0526268197847974,-4.982456140350866
2017-09-30,2017,3,35.21666666666667,35.56,3,Российская Федерация,RF_total,-2.4649187592319044,-5.669642857142854
2017-12-31,2017,4,35.69,32.0,3,Российская Федерация,RF_total,1.3440605773781256,-5.24778761061947
2018-03-31,2018,1,37.98666666666667,37.22,3,Российская Федерация,RF_total,6.435042495563681,3.0472917985351344
2018-06-30,2018,2,36.913333333333334,35.89,3,Российская Федерация,RF_total,-2.825552825552835,2.234121122599708
2018-09-30,2018,3,35.906666666666666,36.44,3,Российская Федерация,RF_total,-2.727108542532064,1.9592995740653096
2018-12-31,2018,4,36.36333333333334,33.01,3,Российская Федерация,RF_total,1.2718158187894568,1.8866162323713631
2019-03-31,2019,1,39.06666666666667,38.37,3,Российская Федерация,RF_total,7.434228618571814,2.8431028431028293
2019-06-30,2019,2,37.65,36.07,3,Российская Федерация,RF_total,-3.626279863481241,1.9956655228462905
2019-09-30,2019,3,37.38,38.36,3,Российская Федерация,RF_total,-0.7171314741035717,4.103230597846275
2019-12-31,2019,4,38.60666666666666,35.1,3,Российская Федерация,RF_total,3.2816122703762884,6.169218076817273
2020-03-31,2020,1,40.47666666666667,38.45,3,Российская Федерация,RF_total,4.843723018476953,3.6092150170648374
2020-06-30,2020,2,43.00333333333333,39.25,3,Российская Федерация,RF_total,6.242279502594084,14.218680832226639
2020-09-30,2020,3,38.04666666666667,39.4,3,Российская Федерация,RF_total,-11.526238276102617,1.783484929552337
2020-12-31,2020,4,38.93,35.47,3,Российская Федерация,RF_total,2.3217101804801077,0.8375064755655526
2021-03-31,2021,1,40.86,40.13,3,Российская Федерация,RF_total,4.957616234266626,0.9470476817919682
2021-06-30,2021,2,39.34,38.64,3,Российская Федерация,RF_total,-3.7200195790504043,-8.518719479110137
2021-09-30,2021,3,37.86333333333334,38.5,3,Российская Федерация,RF_total,-3.7536010845619416,-0.4818643770807651
2021-12-31,2021,4,39.343333333333334,35.14,3,Российская Федерация,RF_total,3.9087947882736174,1.061734737563147
2022-03-31,2022,1,40.666666666666664,37.93,3,Российская Федерация,RF_total,3.363551639413709,-0.4731603850546606
2022-06-30,2022,2,41.60333333333333,41.26,3,Российская Федерация,RF_total,2.3032786885246015,5.753262158956085
2022-09-30,2022,3,39.70666666666667,40.37,3,Российская Федерация,RF_total,-4.558929572950876,4.868386301611061
2022-12-31,2022,4,39.38666666666666,35.23,3,Российская Федерация,RF_total,-0.8059100067159375,0.11014148945183155
2023-03-31,2023,1,41.59666666666667,39.07,3,Российская Федерация,RF_total,5.611035883547744,2.2868852459016598
2023-06-30,2023,2,38.303333333333335,37.98,3,Российская Федерация,RF_total,-7.9173010657905385,-7.932056726223857
2023-09-30,2023,3,37.28666666666667,37.9,3,Российская Федерация,RF_total,-2.6542511530763147,-6.094694425789127
2023-12-31,2023,4,37.63,33.74,3,Российская Федерация,RF_total,0.9207938494546708,-4.4600541638456175
2024-03-31,2024,1,37.97666666666667,36.71,3,Российская Федерация без учета новых субъектов (с 01.01.2023),RF_without_new_regions,0.9212507750907983,-8.70262040227583
2024-06-30,2024,2,37.07666666666666,36.4,3,Российская Федерация без учета новых субъектов (с 01.01.2023),RF_without_new_regions,-2.3698762397963757,-3.2025063092855466
2024-09-30,2024,3,36.745000000000005,37.4,2,Российская Федерация без учета новых субъектов (с 01.01.2023),RF_without_new_regions,-0.8945428391620713,-1.4527087430716956
2024-12-31,2024,4,37.04,33.39,3,Российская Федерация без учета новых субъектов (с 01.01.2023),RF_without_new_regions,0.8028303170499296,-1.567897953760311
2025-03-31,2025,1,39.833333333333336,38.83,3,Российская Федерация без учета новых субъектов (с 01.01.2023),RF_without_new_regions,7.541396688264945,4.888966909505843
2025-06-30,2025,2,37.39666666666667,36.31,3,Российская Федерация без учета новых субъектов (с 01.01.2023),RF_without_new_regions,-6.117154811715486,0.8630765081363068
2025-09-30,2025,3,36.013333333333335,36.81,3,Российская Федерация без учета новых субъектов (с 01.01.2023),RF_without_new_regions,-3.699081914609148,-1.991200616863975
2025-12-31,2025,4,35.63,32.21,3,Российская Федерация без учета новых субъектов (с 01.01.2023),RF_without_new_regions,-1.0644205849685284,-3.8066954643628415
2026-03-31,2026,1,39.825,37.9,2,Российская Федерация без учета новых субъектов (с 01.01.2023),RF_without_new_regions,11.773786135279263,-0.020920502092047766
