period_end,year,quarter,stock_value_mean_thousand_rub,stock_value_last_thousand_rub,stock_value_months_available,stock_value_region,stock_value_region_scope,stock_value_qoq_pct,stock_value_yoy_pct
2016-03-31,2016,1,1157603421.4199998,1180717380.08,3,Российская Федерация,RF_total,,
2016-06-30,2016,2,1175455695.6666667,1175858078.8,3,Российская Федерация,RF_total,1.542175318104011,
2016-09-30,2016,3,1204476575.0,1237298511.3,3,Российская Федерация,RF_total,2.4689045652948938,
2016-12-31,2016,4,1339932513.3666666,1395382949.1,3,Российская Федерация,RF_total,11.246041739472323,
2017-03-31,2017,1,1318029619.0,1371478667.7,3,Российская Федерация,RF_total,-1.6346266806851473,13.858476453292589
2017-06-30,2017,2,1356238062.3333333,1351455494.3,3,Российская Федерация,RF_total,2.898906275135338,15.379768657646832
2017-09-30,2017,3,1396551504.11,1428069314.2,3,Российская Федерация,RF_total,2.972445833536752,15.946755054991414
2017-12-31,2017,4,1525051331.0666666,1581173863.0,3,Российская Федерация,RF_total,9.201223626804778,13.815532935675767
2018-03-31,2018,1,1467832262.2399998,1497028707.52,3,Российская Федерация,RF_total,-3.75194379763244,11.365650747185496
2018-06-30,2018,2,1492273891.7600002,1488589027.13,3,Российская Федерация,RF_total,1.6651514037919535,10.03037985769437
2018-09-30,2018,3,1537062112.8333333,1561351681.1,3,Российская Федерация,RF_total,3.00134052606853,10.061255049299355
2018-12-31,2018,4,1699537940.0666666,1779708453.8,3,Российская Федерация,RF_total,10.570544018799243,11.44135973954128
2019-03-31,2019,1,1666606340.3766668,1712699862.86,3,Российская Федерация,RF_total,-1.9376795841761552,13.542015886292468
2019-06-30,2019,2,1688924434.0933332,1666251657.78,3,Российская Федерация,RF_total,1.3391340939950203,13.177912139265647
2019-09-30,2019,3,1735107394.0666666,1786521997.8,3,Российская Федерация,RF_total,2.734459816026402,12.884663513582284
2019-12-31,2019,4,1949710082.9533336,2025371285.46,3,Российская Федерация,RF_total,12.368265481463414,14.720009303049375
2020-03-31,2020,1,1924450490.8966668,1966912364.09,3,Российская Федерация,RF_total,-1.2955563125777503,15.47120902358532
2020-06-30,2020,2,1878777946.1033332,1929739003.53,3,Российская Федерация,RF_total,-2.373277203512425,11.241089783387448
2020-09-30,2020,3,1975163219.9466667,2022341425.87,3,Российская Федерация,RF_total,5.130211052521716,13.83521427554799
2020-12-31,2020,4,2175886458.5066667,2265429993.42,3,Российская Федерация,RF_total,10.162362104202206,11.60051320095401
2021-03-31,2021,1,2130673446.2366667,2189398726.69,3,Российская Федерация,RF_total,-2.0779122960777108,10.71593976127252
2021-06-30,2021,2,2230937966.2999997,2239361761.0,3,Российская Федерация,RF_total,4.7057666316922875,18.744100170382637
2021-09-30,2021,3,2292062653.636667,2357104962.61,3,Российская Федерация,RF_total,2.739864947389914,16.04421500409252
2021-12-31,2021,4,2590296225.0133333,2671604850.1,3,Российская Федерация,RF_total,13.011580242079269,19.045560253685313
2022-03-31,2022,1,2545800091.9,2655244970.7,3,Российская Федерация,RF_total,-1.7178009481562007,19.483353791100978
2022-06-30,2022,2,2577468413.0,2585054244.7,3,Российская Федерация,RF_total,1.243943748794707,15.532948559511928
2022-09-30,2022,3,2558970237.2999997,2588388193.1,3,Российская Федерация,RF_total,-0.717687774822029,11.644864211711138
2022-12-31,2022,4,2689405609.6,2698431989.3,3,Российская Федерация,RF_total,5.097182077335294,3.826179555435072
2023-03-31,2023,1,2560561847.133333,2601146344.5,3,Российская Федерация без учета новых субъектов (с 01.01.2023),RF_without_new_regions,-4.7907895338193285,0.5798473839442764
2023-06-30,2023,2,2601614442.7999997,2641447208.1,3,Российская Федерация без учета новых субъектов (с 01.01.2023),RF_without_new_regions,1.603265147163957,0.9368118607473219
2023-09-30,2023,3,2726226911.1566663,2810003463.7,3,Российская Федерация без учета новых субъектов (с 01.01.2023),RF_without_new_regions,4.789813060176273,6.536092972817897
2023-12-31,2023,4,2995192118.5333333,3019497241.5,3,Российская Федерация без учета новых субъектов (с 01.01.2023),RF_without_new_regions,9.865840817430428,11.370040571113904
2024-03-31,2024,1,2876884782.3933334,2939532469.28,3,Российская Федерация без учета новых субъектов (с 01.01.2023),RF_without_new_regions,-3.9499081013184556,12.353653383304852
2024-06-30,2024,2,3004992292.286667,3014360573.29,3,Российская Федерация без учета новых субъектов (с 01.01.2023),RF_without_new_regions,4.452994109369879,15.50490506396982
2024-09-30,2024,3,3071439341.2333336,3124779772.5,3,Российская Федерация без учета новых субъектов (с 01.01.2023),RF_without_new_regions,2.21122194280583,12.66264479541077
2024-12-31,2024,4,3341163752.9666667,3369646336.4,3,Российская Федерация без учета новых субъектов (с 01.01.2023),RF_without_new_regions,8.781694240623539,11.550899599814212
2025-03-31,2025,1,3304831419.5,3344401255.0,3,Российская Федерация без учета новых субъектов (с 01.01.2023),RF_without_new_regions,-1.0874155280299225,14.87534849242902
2025-06-30,2025,2,3278641914.6666665,3233575876.9,3,Российская Федерация без учета новых субъектов (с 01.01.2023),RF_without_new_regions,-0.7924611427621908,9.106499976136861
2025-09-30,2025,3,3212292384.523333,3258750893.9,3,Российская Федерация без учета новых субъектов (с 01.01.2023),RF_without_new_regions,-2.023689438194687,4.585896957139313
2025-12-31,2025,4,3386222179.633333,3372579020.9,3,Российская Федерация без учета новых субъектов (с 01.01.2023),RF_without_new_regions,5.4145069716562855,1.3485848045208249
2026-03-31,2026,1,3305505359.425,3301500672.51,2,Российская Федерация без учета новых субъектов (с 01.01.2023),RF_without_new_regions,-2.3836835247790233,0.0203925658968096
