Код группы,Название группы,Товар
G01,"Хлеб, крупы, мука и макаронные изделия",Макаронные изделия
G01,"Хлеб, крупы, мука и макаронные изделия",Мука
G01,"Хлеб, крупы, мука и макаронные изделия",Услуги по розничной торговле крупами в специализированных магазинах
G01,"Хлеб, крупы, мука и макаронные изделия",Услуги по розничной торговле хлебом и хлебобулочными изделиями в специализированных магазинах
G02,Молочная продукция и яйца,"Консервы молочные, молочные составные сухие, сублимированные"
G02,Молочная продукция и яйца,Молоко питьевое
G02,Молочная продукция и яйца,Молочные напитки
G02,Молочная продукция и яйца,Услуги по розничной торговле молочными продуктами в специализированных магазинах
G02,Молочная продукция и яйца,Услуги по розничной торговле яйцами в специализированных магазинах
G02,Молочная продукция и яйца,сыры
G03,"Мясо, птица, рыба и колбасные изделия",Мясо домашней птицы
G03,"Мясо, птица, рыба и колбасные изделия",Мясо животных
G03,"Мясо, птица, рыба и колбасные изделия",Услуги по розничной торговле консервами из мяса и мяса птицы в специализированных магазинах
G03,"Мясо, птица, рыба и колбасные изделия",Услуги по розничной торговле консервами из рыбы и морепродуктов в специализированных магазинах
G03,"Мясо, птица, рыба и колбасные изделия",Услуги по розничной торговле мясом и мясными продуктами в специализированных магазинах
G03,"Мясо, птица, рыба и колбасные изделия",Услуги по розничной торговле продуктами из мяса и мяса птицы в специализированных магазинах
G03,"Мясо, птица, рыба и колбасные изделия","Услуги по розничной торговле рыбой, ракообразными и моллюсками в специализированных магазинах"
G04,"Овощи, фрукты и картофель",Свежие овощи
G04,"Овощи, фрукты и картофель",Свежие фрукты
G04,"Овощи, фрукты и картофель",Свежий картофель
G04,"Овощи, фрукты и картофель",Услуги по розничной торговле виноградом сушеным (изюмом) в специализированных магазинах
G04,"Овощи, фрукты и картофель",Услуги по розничной торговле играми и игрушками в специализированных магазинах
G04,"Овощи, фрукты и картофель",Услуги по розничной торговле консервированными фруктами и овощами и орехами в специализированных магазинах
G04,"Овощи, фрукты и картофель",Услуги по розничной торговле свежим виноградом в специализированных магазинах
G05,"Бакалея, масло, сахар, чай, соль",Маргариновая продукция
G05,"Бакалея, масло, сахар, чай, соль",Услуги по розничной торговле кондитерскими изделиями в специализированных магазинах
G05,"Бакалея, масло, сахар, чай, соль",Услуги по розничной торговле пищевыми маслами и жирами в специализированных магазинах
G05,"Бакалея, масло, сахар, чай, соль",Услуги по розничной торговле растительными маслами в специализированных магазинах
G05,"Бакалея, масло, сахар, чай, соль",Услуги по розничной торговле сахаром в специализированных магазинах
G05,"Бакалея, масло, сахар, чай, соль",Услуги по розничной торговле солью в специализированных магазинах
G05,"Бакалея, масло, сахар, чай, соль","Услуги по розничной торговле чаем, кофе, какао в специализированных магазинах"
G05,"Бакалея, масло, сахар, чай, соль",Чай
G07,"Товары для дома, гигиены и бытовая химия",Стиральные машины
G07,"Товары для дома, гигиены и бытовая химия","Услуги по розничной торговле косметическими и парфюмерными товарами, кроме мыла, в специализированных магазинах"
G07,"Товары для дома, гигиены и бытовая химия",Услуги по розничной торговле туалетным и хозяйственным мылом в специализированных магазинах
G10,Топливо и транспортные товары,Автомобили легковые
G10,Топливо и транспортные товары,Бензины автомобильные
G10,Топливо и транспортные товары,Газовое моторное топливо
G10,Топливо и транспортные товары,Дизельное топливо
G10,Топливо и транспортные товары,"Лампы накаливания (включая галогенные, кроме ламп для автотранспортных средств)"
G10,Топливо и транспортные товары,"Услуги по розничной торговле автомобильными деталями, узлами и принадлежностями"
G11,Услуги,Услуги по розничной почтовой (посылочной) торговле
G99,Прочее,Аудиоаппаратура
G99,Прочее,Всего по розничной торговле
G99,Прочее,Компримированный природный газ
G99,Прочее,Лампы газоразрядные люминесцентные
G99,Прочее,Лампы осветительные (бытовые)
G99,Прочее,Лампы светодиодные
G99,Прочее,Мобильные телефоны
G99,Прочее,Мотоциклы
G99,Прочее,Сжиженный природный газ
G99,Прочее,Строительные материалы
G99,Прочее,Телевизоры
G99,Прочее,Ткани
G99,Прочее,Услуги по розничной торговле аудио- и видеотехникой в специализированных магазинах
G99,Прочее,Услуги по розничной торговле безалкогольными напитками в специализированных магазинах
G99,Прочее,Услуги по розничной торговле бытовыми электротоварами в специализированных магазинах
G99,Прочее,Услуги по розничной торговле велосипедами в специализированных магазинах
G99,Прочее,"Услуги по розничной торговле водами питьевыми упакованными,включая минеральные воды"
G99,Прочее,Услуги по розничной торговле газетами и журналами в специализированных магазинах
G99,Прочее,Услуги по розничной торговле животными маслами и жирами в специализированных магазинах
G99,Прочее,Услуги по розничной торговле изделиями из меха в специализированных магазинах
G99,Прочее,"Услуги по розничной торговле изделиями, применяемыми в медицинских целях, ортопедическими изделиями в специализированных магазинах"
G99,Прочее,Услуги по розничной торговле книгами в специализированных магазинах
G99,Прочее,Услуги по розничной торговле компьютерами в специализированных магазинах
G99,Прочее,Услуги по розничной торговле лекарственными средствами в специализированных магазинах
G99,Прочее,Услуги по розничной торговле мебелью в специализированных магазинах
G99,Прочее,"Услуги по розничной торговле мужской, женской и детской одеждой в специализированных магазинах"
G99,Прочее,Услуги по розничной торговле музыкальными и видеозаписями в специализированных магазинах
G99,Прочее,Услуги по розничной торговле нательным бельем в специализированных магазинах
G99,Прочее,Услуги по розничной торговле обувью в специализированных магазинах
G99,Прочее,Услуги по розничной торговле периферийными устройствами в специализированных магазинах
G99,Прочее,Услуги по розничной торговле писчебумажными и канцелярскими товарами в специализированных магазинах
G99,Прочее,Услуги по розничной торговле спортивным оборудованием и спортивными товарами в специализированных магазинах
G99,Прочее,Услуги по розничной торговле табачными изделиями в специализированных магазинах
G99,Прочее,Услуги по розничной торговле часами в специализированных магазинах
G99,Прочее,Услуги по розничной торговле чулочно-носочными изделиями в специализированных магазинах
G99,Прочее,Услуги по розничной торговле ювелирными изделиями в специализированных магазинах
G99,Прочее,"Услуги по розничной торговле, осуществляемые непосредственно при помощи информационно-коммуникационной сети Интернет"
G99,Прочее,Фотоаппаратура и фототовары
G99,Прочее,Холодильники и морозильники
