group_code,group_name,product_name,forecast_year,factor,train_mean,previous_year_mean,test_year_mean,change_vs_previous_year_%,change_vs_train_mean_%
G10,Топливо и транспортные товары,Автомобили легковые,2025,income_index,154.18,231.57,271.01,17.03,75.77
G10,Топливо и транспортные товары,Автомобили легковые,2025,consumer_price_index,140.1,184.68,203.88,10.4,45.52
G10,Топливо и транспортные товары,Автомобили легковые,2025,stock_value_mean_thousand_rub,2174402913.18,3073620042.22,3295496974.58,7.22,51.56
G10,Топливо и транспортные товары,Автомобили легковые,2025,stock_days_mean,38.33,37.21,37.22,0.02,-2.91
G10,Топливо и транспортные товары,Газовое моторное топливо,2022,income_index,127.36,144.36,171.27,18.64,34.47
G10,Топливо и транспортные товары,Газовое моторное топливо,2022,consumer_price_index,122.06,140.4,160.57,14.37,31.55
G10,Топливо и транспортные товары,Газовое моторное топливо,2022,stock_value_mean_thousand_rub,1801558669.08,2310992572.8,2592911087.95,12.2,43.93
G10,Топливо и транспортные товары,Газовое моторное топливо,2022,stock_days_mean,38.08,39.35,40.34,2.51,5.94
G02,Молочная продукция и яйца,"Консервы молочные, молочные составные сухие, сублимированные",2025,income_index,154.18,231.57,271.01,17.03,75.77
G02,Молочная продукция и яйца,"Консервы молочные, молочные составные сухие, сублимированные",2025,stock_value_mean_thousand_rub,2174402913.18,3073620042.22,3295496974.58,7.22,51.56
G02,Молочная продукция и яйца,"Консервы молочные, молочные составные сухие, сублимированные",2025,consumer_price_index,130.78,158.82,168.84,6.31,29.1
G02,Молочная продукция и яйца,"Консервы молочные, молочные составные сухие, сублимированные",2025,stock_days_mean,38.33,37.21,37.22,0.02,-2.91
G10,Топливо и транспортные товары,"Лампы накаливания (включая галогенные, кроме ламп для автотранспортных средств)",2024,income_index,143.13,193.81,231.57,19.48,61.79
G10,Топливо и транспортные товары,"Лампы накаливания (включая галогенные, кроме ламп для автотранспортных средств)",2024,stock_value_mean_thousand_rub,2045943323.32,2720898829.91,3073620042.22,12.96,50.23
G10,Топливо и транспортные товары,"Лампы накаливания (включая галогенные, кроме ламп для автотранспортных средств)",2024,consumer_price_index,133.73,165.24,184.68,11.76,38.1
G10,Топливо и транспортные товары,"Лампы накаливания (включая галогенные, кроме ламп для автотранспортных средств)",2024,stock_days_mean,38.49,38.7,37.21,-3.86,-3.33
G02,Молочная продукция и яйца,Молочные напитки,2024,income_index,143.13,193.81,231.57,19.48,61.79
G02,Молочная продукция и яйца,Молочные напитки,2024,stock_value_mean_thousand_rub,2045943323.32,2720898829.91,3073620042.22,12.96,50.23
G02,Молочная продукция и яйца,Молочные напитки,2024,consumer_price_index,126.77,142.07,158.82,11.79,25.28
G02,Молочная продукция и яйца,Молочные напитки,2024,stock_days_mean,38.49,38.7,37.21,-3.86,-3.33
G04,"Овощи, фрукты и картофель",Свежий картофель,2025,income_index,154.18,231.57,271.01,17.03,75.77
G04,"Овощи, фрукты и картофель",Свежий картофель,2025,consumer_price_index,115.85,146.62,166.21,13.36,43.47
G04,"Овощи, фрукты и картофель",Свежий картофель,2025,stock_value_mean_thousand_rub,2174402913.18,3073620042.22,3295496974.58,7.22,51.56
G04,"Овощи, фрукты и картофель",Свежий картофель,2025,stock_days_mean,38.33,37.21,37.22,0.02,-2.91
G07,"Товары для дома, гигиены и бытовая химия",Стиральные машины,2025,income_index,154.18,231.57,271.01,17.03,75.77
G07,"Товары для дома, гигиены и бытовая химия",Стиральные машины,2025,stock_value_mean_thousand_rub,2174402913.18,3073620042.22,3295496974.58,7.22,51.56
G07,"Товары для дома, гигиены и бытовая химия",Стиральные машины,2025,consumer_price_index,132.29,169.96,173.93,2.33,31.48
G07,"Товары для дома, гигиены и бытовая химия",Стиральные машины,2025,stock_days_mean,38.33,37.21,37.22,0.02,-2.91
