group_code,group_name,product_name,period,forecast_year,quarter,actual,forecast,error,abs_error,ape_%,previous_year_same_quarter,actual_yoy_change,forecast_yoy_change,missed_yoy_change
G10,Топливо и транспортные товары,Газовое моторное топливо,2022Q4,2022,4,143.15,250.08,106.93,106.93,74.7,223.09,-79.94,26.99,106.93
G10,Топливо и транспортные товары,Газовое моторное топливо,2022Q3,2022,3,135.45,236.07,100.62,100.62,74.29,207.93,-72.48,28.14,100.62
G10,Топливо и транспортные товары,Газовое моторное топливо,2022Q2,2022,2,121.89,207.11,85.22,85.22,69.92,176.61,-54.72,30.51,85.22
G10,Топливо и транспортные товары,Автомобили легковые,2025Q2,2025,2,144.21,232.12,87.91,87.91,60.96,194.91,-50.7,37.21,87.91
G10,Топливо и транспортные товары,Автомобили легковые,2025Q1,2025,1,133.52,199.53,66.01,66.01,49.43,167.54,-34.02,31.99,66.01
G10,Топливо и транспортные товары,Автомобили легковые,2025Q3,2025,3,182.71,272.0,89.29,89.29,48.87,228.4,-45.68,43.61,89.29
G02,Молочная продукция и яйца,"Консервы молочные, молочные составные сухие, сублимированные",2025Q3,2025,3,84.74,117.21,32.47,32.47,38.31,115.71,-30.97,1.5,32.47
G10,Топливо и транспортные товары,Газовое моторное топливо,2022Q1,2022,1,138.85,178.49,39.64,39.64,28.55,145.63,-6.78,32.85,39.64
G07,"Товары для дома, гигиены и бытовая химия",Стиральные машины,2025Q2,2025,2,107.64,138.0,30.36,30.36,28.2,129.84,-22.2,8.16,30.36
G02,Молочная продукция и яйца,"Консервы молочные, молочные составные сухие, сублимированные",2025Q2,2025,2,93.21,119.12,25.91,25.91,27.8,117.61,-24.4,1.51,25.91
G10,Топливо и транспортные товары,"Лампы накаливания (включая галогенные, кроме ламп для автотранспортных средств)",2024Q2,2024,2,34.48,43.88,9.4,9.4,27.28,44.71,-10.24,-0.83,9.4
G02,Молочная продукция и яйца,Молочные напитки,2024Q4,2024,4,85.68,64.24,-21.44,21.44,25.02,88.87,-3.19,-24.63,-21.44
G02,Молочная продукция и яйца,"Консервы молочные, молочные составные сухие, сублимированные",2025Q4,2025,4,112.62,140.44,27.82,27.82,24.7,138.79,-26.17,1.65,27.82
G10,Топливо и транспортные товары,"Лампы накаливания (включая галогенные, кроме ламп для автотранспортных средств)",2024Q4,2024,4,61.33,75.77,14.44,14.44,23.54,76.86,-15.53,-1.09,14.44
G04,"Овощи, фрукты и картофель",Свежий картофель,2025Q2,2025,2,155.86,119.77,-36.09,36.09,23.15,112.49,43.37,7.28,-36.09
G07,"Товары для дома, гигиены и бытовая химия",Стиральные машины,2025Q1,2025,1,120.65,146.26,25.61,25.61,21.23,137.78,-17.13,8.48,25.61
G07,"Товары для дома, гигиены и бытовая химия",Стиральные машины,2025Q4,2025,4,147.0,177.35,30.35,30.35,20.65,193.19,-46.19,-15.84,30.35
G10,Топливо и транспортные товары,"Лампы накаливания (включая галогенные, кроме ламп для автотранспортных средств)",2024Q3,2024,3,45.14,53.62,8.48,8.48,18.79,54.53,-9.39,-0.91,8.48
G10,Топливо и транспортные товары,"Лампы накаливания (включая галогенные, кроме ламп для автотранспортных средств)",2024Q1,2024,1,47.27,55.92,8.65,8.65,18.3,56.85,-9.58,-0.93,8.65
G07,"Товары для дома, гигиены и бытовая химия",Стиральные машины,2025Q3,2025,3,123.27,145.7,22.43,22.43,18.2,143.0,-19.73,2.7,22.43
G04,"Овощи, фрукты и картофель",Свежий картофель,2025Q3,2025,3,198.71,166.65,-32.07,32.07,16.14,169.54,29.17,-2.89,-32.07
G04,"Овощи, фрукты и картофель",Свежий картофель,2025Q1,2025,1,133.49,112.91,-20.58,20.58,15.42,90.2,43.29,22.71,-20.58
G10,Топливо и транспортные товары,Автомобили легковые,2025Q4,2025,4,181.16,205.47,24.32,24.32,13.42,172.53,8.62,32.94,24.32
G02,Молочная продукция и яйца,"Консервы молочные, молочные составные сухие, сублимированные",2025Q1,2025,1,107.86,120.92,13.06,13.06,12.11,119.4,-11.54,1.52,13.06
G02,Молочная продукция и яйца,Молочные напитки,2024Q2,2024,2,57.67,64.24,6.57,6.57,11.39,61.85,-4.18,2.39,6.57
G02,Молочная продукция и яйца,Молочные напитки,2024Q1,2024,1,59.87,64.24,4.37,4.37,7.3,64.63,-4.76,-0.39,4.37
G04,"Овощи, фрукты и картофель",Свежий картофель,2025Q4,2025,4,172.66,164.09,-8.57,8.57,4.96,176.3,-3.64,-12.21,-8.57
G02,Молочная продукция и яйца,Молочные напитки,2024Q3,2024,3,67.18,64.24,-2.94,2.94,4.38,67.22,-0.04,-2.99,-2.94
