group_code,group_name,product_name,forecast_years,observations,actual_mean,forecast_mean,mean_error,mean_abs_error,max_abs_error,total_abs_error,total_actual,mape_percent,wape_percent,category_total_abs_error,share_of_category_error_%
G02,Молочная продукция и яйца,"Консервы молочные, молочные составные сухие, сублимированные",2025,4,99.61,124.42,24.81,24.81,32.47,99.26,398.43,25.73,24.91,226.77460218996077,43.77
G02,Молочная продукция и яйца,Молоко питьевое,2025,4,133.63,121.98,-11.65,11.65,15.15,46.6,534.51,8.66,8.72,226.77460218996077,20.55
G02,Молочная продукция и яйца,сыры,2025,4,137.46,126.06,-11.4,11.4,23.46,45.6,549.83,7.83,8.29,226.77460218996077,20.11
G02,Молочная продукция и яйца,Молочные напитки,2024,4,67.6,64.24,-3.36,8.83,21.44,35.32,270.4,12.02,13.06,226.77460218996077,15.58
G04,"Овощи, фрукты и картофель",Свежий картофель,2025,4,165.18,140.86,-24.33,24.33,36.09,97.3,660.72,14.92,14.73,181.96074850591555,53.47
G04,"Овощи, фрукты и картофель",Свежие овощи,2025,4,139.49,143.04,3.54,11.6,21.72,46.41,557.97,8.69,8.32,181.96074850591555,25.5
G04,"Овощи, фрукты и картофель",Свежие фрукты,2025,4,126.64,129.72,3.08,9.56,19.14,38.25,506.56,7.96,7.55,181.96074850591555,21.02
G07,"Товары для дома, гигиены и бытовая химия",Стиральные машины,2025,4,124.64,151.83,27.19,27.19,30.36,108.75,498.56,22.07,21.81,108.74834643904735,100.0
G10,Топливо и транспортные товары,Газовое моторное топливо,2022,4,134.83,217.94,83.1,83.1,106.93,332.41,539.34,61.86,61.63,704.7517639716973,47.17
G10,Топливо и транспортные товары,Автомобили легковые,2025,4,160.4,227.28,66.88,66.88,89.29,267.52,641.6,43.17,41.7,704.7517639716973,37.96
G10,Топливо и транспортные товары,"Лампы накаливания (включая галогенные, кроме ламп для автотранспортных средств)",2024,4,47.06,57.3,10.24,10.24,14.44,40.98,188.22,21.98,21.77,704.7517639716973,5.81
G10,Топливо и транспортные товары,Бензины автомобильные,2021,4,105.19,96.98,-8.21,8.21,22.37,32.85,420.78,7.85,7.81,704.7517639716973,4.66
G10,Топливо и транспортные товары,Дизельное топливо,2022,4,136.77,139.28,2.51,7.75,10.47,30.99,547.1,5.96,5.66,704.7517639716973,4.4
