group_code,group_name,product_name,period,actual_previous_year_same_quarter,actual_target_demand_index,forecast_target_demand_index,actual_change_vs_previous_year,forecast_change_vs_previous_year,model_missed_change,abs_model_missed_change,direction
G10,Топливо и транспортные товары,Газовое моторное топливо,2022Q4,223.09,143.15,250.08,-79.94,26.99,106.93,106.93,завышение
G10,Топливо и транспортные товары,Газовое моторное топливо,2022Q3,207.93,135.45,236.07,-72.48,28.14,100.62,100.62,завышение
G10,Топливо и транспортные товары,Автомобили легковые,2025Q3,228.4,182.71,272.0,-45.68,43.61,89.29,89.29,завышение
G10,Топливо и транспортные товары,Автомобили легковые,2025Q2,194.91,144.21,232.12,-50.7,37.21,87.91,87.91,завышение
G10,Топливо и транспортные товары,Газовое моторное топливо,2022Q2,176.61,121.89,207.11,-54.72,30.51,85.22,85.22,завышение
G10,Топливо и транспортные товары,Автомобили легковые,2025Q1,167.54,133.52,199.53,-34.02,31.99,66.01,66.01,завышение
G10,Топливо и транспортные товары,Газовое моторное топливо,2022Q1,145.63,138.85,178.49,-6.78,32.85,39.64,39.64,завышение
G04,"Овощи, фрукты и картофель",Свежий картофель,2025Q2,112.49,155.86,119.77,43.37,7.28,-36.09,36.09,занижение
G02,Молочная продукция и яйца,"Консервы молочные, молочные составные сухие, сублимированные",2025Q3,115.71,84.74,117.21,-30.97,1.5,32.47,32.47,завышение
G04,"Овощи, фрукты и картофель",Свежий картофель,2025Q3,169.54,198.71,166.65,29.17,-2.89,-32.07,32.07,занижение
G07,"Товары для дома, гигиены и бытовая химия",Стиральные машины,2025Q2,129.84,107.64,138.0,-22.2,8.16,30.36,30.36,завышение
G07,"Товары для дома, гигиены и бытовая химия",Стиральные машины,2025Q4,193.19,147.0,177.35,-46.19,-15.84,30.35,30.35,завышение
G02,Молочная продукция и яйца,"Консервы молочные, молочные составные сухие, сублимированные",2025Q4,138.79,112.62,140.44,-26.17,1.65,27.82,27.82,завышение
G02,Молочная продукция и яйца,"Консервы молочные, молочные составные сухие, сублимированные",2025Q2,117.61,93.21,119.12,-24.4,1.51,25.91,25.91,завышение
G07,"Товары для дома, гигиены и бытовая химия",Стиральные машины,2025Q1,137.78,120.65,146.26,-17.13,8.48,25.61,25.61,завышение
G10,Топливо и транспортные товары,Автомобили легковые,2025Q4,172.53,181.16,205.47,8.62,32.94,24.32,24.32,завышение
G02,Молочная продукция и яйца,сыры,2025Q4,137.13,162.43,138.97,25.29,1.84,-23.46,23.46,занижение
G07,"Товары для дома, гигиены и бытовая химия",Стиральные машины,2025Q3,143.0,123.27,145.7,-19.73,2.7,22.43,22.43,завышение
G10,Топливо и транспортные товары,Бензины автомобильные,2021Q2,86.05,101.56,79.19,15.5,-6.87,-22.37,22.37,занижение
G04,"Овощи, фрукты и картофель",Свежие овощи,2025Q2,141.2,121.3,143.02,-19.9,1.82,21.72,21.72,завышение
