Период,Товар,Группа товаров,Индекс потребительских цен,Индекс цен производителей,Индекс физического объема продаж,"Товарные запасы, дни","Товарные запасы, тыс. руб.",Индекс доходов населения,Расчетный индекс спроса
2017Q1,Маргариновая продукция,"Бакалея, масло, сахар, чай, соль",101.5,,95.09,36.86,1318029619.0,100.0,100.0
2017Q2,Маргариновая продукция,"Бакалея, масло, сахар, чай, соль",100.43,,97.23,36.11,1356238062.33,112.76,104.83
2017Q3,Маргариновая продукция,"Бакалея, масло, сахар, чай, соль",100.99,,100.35,35.22,1396551504.11,112.83,103.03
2017Q4,Маргариновая продукция,"Бакалея, масло, сахар, чай, соль",99.09,,102.1,35.69,1525051331.07,134.08,132.65
2018Q1,Маргариновая продукция,"Бакалея, масло, сахар, чай, соль",98.33,,96.13,37.99,1467832262.24,104.46,102.33
2018Q2,Маргариновая продукция,"Бакалея, масло, сахар, чай, соль",99.23,,97.21,36.91,1492273891.76,117.03,108.92
2018Q3,Маргариновая продукция,"Бакалея, масло, сахар, чай, соль",100.15,,97.02,35.91,1537062112.83,117.81,105.85
2018Q4,Маргариновая продукция,"Бакалея, масло, сахар, чай, соль",101.92,,89.93,36.36,1699537940.07,140.74,97.35
2019Q1,Маргариновая продукция,"Бакалея, масло, сахар, чай, соль",104.01,,94.9,39.07,1666606340.38,108.9,96.85
2019Q2,Маргариновая продукция,"Бакалея, масло, сахар, чай, соль",104.85,,95.87,37.65,1688924434.09,124.65,105.14
2019Q3,Маргариновая продукция,"Бакалея, масло, сахар, чай, соль",103.56,,96.49,37.38,1735107394.07,126.77,103.09
2019Q4,Маргариновая продукция,"Бакалея, масло, сахар, чай, соль",102.1,,96.7,38.61,1949710082.95,150.2,97.74
