Период,Группа товаров,Товар,Индекс потребительских цен,Индекс физического объема продаж,"Товарные запасы, дни","Товарные запасы, тыс. руб.",Индекс доходов населения,Расчетный индекс спроса
2025Q1,"Бакалея, масло, сахар, чай, соль",Маргариновая продукция,175.32,95.97,39.83,3304831419.5,229.82,76.49
2025Q2,"Бакалея, масло, сахар, чай, соль",Маргариновая продукция,179.77,96.48,37.4,3278641914.67,259.59,75.48
2025Q3,"Бакалея, масло, сахар, чай, соль",Маргариновая продукция,180.96,95.39,36.01,3212292384.52,264.47,73.74
2025Q4,"Бакалея, масло, сахар, чай, соль",Маргариновая продукция,181.39,95.85,35.63,3386222179.63,330.16,100.81
2025Q1,Молочная продукция и яйца,"Консервы молочные, молочные составные сухие, сублимированные",169.94,95.59,39.83,3304831419.5,229.82,107.86
2025Q2,Молочная продукция и яйца,"Консервы молочные, молочные составные сухие, сублимированные",169.42,88.7,37.4,3278641914.67,259.59,93.21
2025Q3,Молочная продукция и яйца,"Консервы молочные, молочные составные сухие, сублимированные",166.74,83.65,36.01,3212292384.52,264.47,84.74
2025Q4,Молочная продукция и яйца,"Консервы молочные, молочные составные сухие, сублимированные",169.27,80.95,35.63,3386222179.63,330.16,112.62
2025Q1,"Мясо, птица, рыба и колбасные изделия",Мясо домашней птицы,177.4,101.73,39.83,3304831419.5,229.82,106.37
2025Q2,"Мясо, птица, рыба и колбасные изделия",Мясо домашней птицы,180.93,101.42,37.4,3278641914.67,259.59,117.03
2025Q3,"Мясо, птица, рыба и колбасные изделия",Мясо домашней птицы,183.77,102.21,36.01,3212292384.52,264.47,110.67
2025Q4,"Мясо, птица, рыба и колбасные изделия",Мясо домашней птицы,187.01,102.1,35.63,3386222179.63,330.16,139.24
2025Q1,"Овощи, фрукты и картофель",Свежие овощи,171.84,102.0,39.83,3304831419.5,229.82,134.5
2025Q2,"Овощи, фрукты и картофель",Свежие овощи,198.23,100.79,37.4,3278641914.67,259.59,121.3
2025Q3,"Овощи, фрукты и картофель",Свежие овощи,156.4,101.33,36.01,3212292384.52,264.47,146.22
2025Q4,"Овощи, фрукты и картофель",Свежие овощи,138.37,102.75,35.63,3386222179.63,330.16,155.96
2025Q1,"Товары для дома, гигиены и бытовая химия",Стиральные машины,171.82,83.21,39.83,3304831419.5,229.82,120.65
2025Q2,"Товары для дома, гигиены и бытовая химия",Стиральные машины,173.34,82.6,37.4,3278641914.67,259.59,107.64
2025Q3,"Товары для дома, гигиены и бытовая химия",Стиральные машины,174.39,85.26,36.01,3212292384.52,264.47,123.27
2025Q4,"Товары для дома, гигиены и бытовая химия",Стиральные машины,176.17,83.87,35.63,3386222179.63,330.16,147.0
2025Q1,Топливо и транспортные товары,Автомобили легковые,199.11,86.35,39.83,3304831419.5,229.82,133.52
2025Q2,Топливо и транспортные товары,Автомобили легковые,201.75,83.69,37.4,3278641914.67,259.59,144.21
2025Q3,Топливо и транспортные товары,Автомобили легковые,204.26,85.34,36.01,3212292384.52,264.47,182.71
2025Q4,Топливо и транспортные товары,Автомобили легковые,210.38,92.6,35.63,3386222179.63,330.16,181.16
2025Q1,"Хлеб, крупы, мука и макаронные изделия",Макаронные изделия,169.3,104.99,39.83,3304831419.5,229.82,104.31
2025Q2,"Хлеб, крупы, мука и макаронные изделия",Макаронные изделия,170.6,104.69,37.4,3278641914.67,259.59,117.11
2025Q3,"Хлеб, крупы, мука и макаронные изделия",Макаронные изделия,171.07,104.5,36.01,3212292384.52,264.47,131.02
2025Q4,"Хлеб, крупы, мука и макаронные изделия",Макаронные изделия,172.49,106.04,35.63,3386222179.63,330.16,116.15
