group_code,group_name,feature,feature_readable,products_count,mean_coef,mean_abs_contribution,mean_signed_contribution,max_abs_contribution,category_total_abs_contribution,share_within_category_%
G01,"Хлеб, крупы, мука и макаронные изделия",stock_value_mean_thousand_rub,Товарные запасы в стоимостном выражении,2,17.0,14.92,-0.0,50.34,33.87,44.05
G01,"Хлеб, крупы, мука и макаронные изделия",consumer_price_index,Индекс потребительских цен,2,-11.02,9.87,-0.0,28.84,33.87,29.13
G01,"Хлеб, крупы, мука и макаронные изделия",income_index,Индекс доходов населения,2,8.47,6.77,-0.0,33.33,33.87,19.99
G01,"Хлеб, крупы, мука и макаронные изделия",stock_days_mean,Товарные запасы в днях,2,-1.62,2.31,-0.0,11.2,33.87,6.83
G02,Молочная продукция и яйца,stock_value_mean_thousand_rub,Товарные запасы в стоимостном выражении,4,28.93,26.41,-0.0,124.96,38.58,68.46
G02,Молочная продукция и яйца,consumer_price_index,Индекс потребительских цен,4,-9.24,8.5,0.0,45.02,38.58,22.03
G02,Молочная продукция и яйца,income_index,Индекс доходов населения,4,3.41,2.73,-0.0,16.12,38.58,7.07
G02,Молочная продукция и яйца,stock_days_mean,Товарные запасы в днях,4,-0.04,0.94,-0.0,5.89,38.58,2.45
G03,"Мясо, птица, рыба и колбасные изделия",consumer_price_index,Индекс потребительских цен,2,-30.56,26.74,-0.0,100.56,56.05,47.71
G03,"Мясо, птица, рыба и колбасные изделия",stock_value_mean_thousand_rub,Товарные запасы в стоимостном выражении,2,20.99,18.41,-0.0,47.42,56.05,32.86
G03,"Мясо, птица, рыба и колбасные изделия",income_index,Индекс доходов населения,2,11.09,9.53,-0.0,71.49,56.05,17.01
G03,"Мясо, птица, рыба и колбасные изделия",stock_days_mean,Товарные запасы в днях,2,-0.15,1.36,-0.0,4.57,56.05,2.42
G04,"Овощи, фрукты и картофель",stock_value_mean_thousand_rub,Товарные запасы в стоимостном выражении,3,26.76,23.48,-0.0,110.48,51.11,45.94
G04,"Овощи, фрукты и картофель",consumer_price_index,Индекс потребительских цен,3,-20.33,17.15,-0.0,52.73,51.11,33.55
G04,"Овощи, фрукты и картофель",income_index,Индекс доходов населения,3,9.2,7.35,-0.0,35.34,51.11,14.38
G04,"Овощи, фрукты и картофель",stock_days_mean,Товарные запасы в днях,3,-3.84,3.13,-0.0,12.68,51.11,6.13
G05,"Бакалея, масло, сахар, чай, соль",stock_value_mean_thousand_rub,Товарные запасы в стоимостном выражении,2,1.65,14.67,-0.0,37.37,27.09,54.14
G05,"Бакалея, масло, сахар, чай, соль",consumer_price_index,Индекс потребительских цен,2,-7.55,6.93,-0.0,19.33,27.09,25.56
G05,"Бакалея, масло, сахар, чай, соль",income_index,Индекс доходов населения,2,5.76,4.61,-0.0,35.12,27.09,17.0
G05,"Бакалея, масло, сахар, чай, соль",stock_days_mean,Товарные запасы в днях,2,-0.86,0.89,-0.0,4.92,27.09,3.3
G07,"Товары для дома, гигиены и бытовая химия",consumer_price_index,Индекс потребительских цен,1,-56.08,52.06,-0.0,85.98,114.14,45.61
G07,"Товары для дома, гигиены и бытовая химия",stock_value_mean_thousand_rub,Товарные запасы в стоимостном выражении,1,46.03,40.39,-0.0,93.68,114.14,35.38
G07,"Товары для дома, гигиены и бытовая химия",income_index,Индекс доходов населения,1,16.67,13.32,-0.0,51.76,114.14,11.67
G07,"Товары для дома, гигиены и бытовая химия",stock_days_mean,Товарные запасы в днях,1,-10.26,8.37,-0.0,25.79,114.14,7.34
G10,Топливо и транспортные товары,stock_value_mean_thousand_rub,Товарные запасы в стоимостном выражении,5,37.25,33.3,-0.0,233.68,88.79,37.5
G10,Топливо и транспортные товары,consumer_price_index,Индекс потребительских цен,5,-32.9,29.94,-0.0,139.52,88.79,33.72
G10,Топливо и транспортные товары,income_index,Индекс доходов населения,5,0.35,14.94,0.0,98.8,88.79,16.82
G10,Топливо и транспортные товары,stock_days_mean,Товарные запасы в днях,5,-13.03,10.61,-0.0,59.73,88.79,11.95
