period,period_end,year,quarter,product_code,product_name,group_code,group_name,target_demand_index,consumer_price_index,income_index,stock_days_mean,stock_value_mean_thousand_rub,physical_volume_index,consumer_price_index_lag4,consumer_price_index_lag8,consumer_price_index_lag4_vs_lag8,consumer_price_index_lag4_vs_lag8_pct,consumer_price_index_minus_group,consumer_price_index_minus_market,consumer_price_index_div_group,consumer_price_index_div_market,income_index_lag4,income_index_lag8,income_index_lag4_vs_lag8,income_index_lag4_vs_lag8_pct,income_index_minus_group,income_index_minus_market,income_index_div_group,income_index_div_market,stock_days_mean_lag4,stock_days_mean_lag8,stock_days_mean_lag4_vs_lag8,stock_days_mean_lag4_vs_lag8_pct,stock_days_mean_minus_group,stock_days_mean_minus_market,stock_days_mean_div_group,stock_days_mean_div_market,stock_value_mean_thousand_rub_lag4,stock_value_mean_thousand_rub_lag8,stock_value_mean_thousand_rub_lag4_vs_lag8,stock_value_mean_thousand_rub_lag4_vs_lag8_pct,stock_value_mean_thousand_rub_minus_group,stock_value_mean_thousand_rub_minus_market,stock_value_mean_thousand_rub_div_group,stock_value_mean_thousand_rub_div_market,physical_volume_index_lag4,physical_volume_index_lag8,physical_volume_index_lag4_vs_lag8,physical_volume_index_lag4_vs_lag8_pct,physical_volume_index_minus_group,physical_volume_index_minus_market,physical_volume_index_div_group,physical_volume_index_div_market
2017Q1,2017-03-31,2017,1,S_автомобили_легковые,Автомобили легковые,G10,Топливо и транспортные товары,100.0,105.627924,100.0,36.863333,1318029619.0,101.35,,,,,1.4210854715202004e-14,2.7983280526315752,1.0000000000000002,1.027213255355626,,,,,0.0,0.0,1.0,1.0,,,,,0.0,0.0,1.0,1.0,,,,,0.0,0.0,1.0,1.0,,,,,-1.2420000000000186,0.733684210526306,0.9878937928883342,1.007291900968243
2017Q2,2017-06-30,2017,2,S_автомобили_легковые,Автомобили легковые,G10,Топливо и транспортные товары,116.083482,106.865372,112.763877,36.106667,1356238062.333333,106.04,,,,,-1.4210854715202004e-14,0.20523215789472715,0.9999999999999999,1.0019241692182155,,,,,-1.4210854715202004e-14,1.4210854715202004e-14,0.9999999999999999,1.0000000000000002,,,,,0.0,0.0,1.0,1.0,,,,,0.0,0.0,1.0,1.0,,,,,2.936000000000007,5.181578947368436,1.0284761018001243,1.051374777567304
2017Q3,2017-09-30,2017,3,S_автомобили_легковые,Автомобили легковые,G10,Топливо и транспортные товары,129.575548,108.124455,112.829055,35.216667,1396551504.11,108.96,,,,,1.4210854715202004e-14,3.6280056315789437,1.0000000000000002,1.0347189368969634,,,,,0.0,1.4210854715202004e-14,1.0,1.0000000000000002,,,,,0.0,0.0,1.0,1.0,,,,,0.0,0.0,1.0,1.0,,,,,6.413999999999987,7.082631578947357,1.0625475396407464,1.0695211477162945
2017Q4,2017-12-31,2017,4,S_автомобили_легковые,Автомобили легковые,G10,Топливо и транспортные товары,158.149343,109.377408,134.080458,35.69,1525051331.066666,111.9,,,,,-1.4210854715202004e-14,7.8481287368421135,0.9999999999999999,1.077299167233328,,,,,0.0,0.0,1.0,1.0,,,,,0.0,0.0,1.0,1.0,,,,,0.0,0.0,1.0,1.0,,,,,8.620000000000005,9.405263157894737,1.083462432223083,1.0917633768101058
2018Q1,2018-03-31,2018,1,S_автомобили_легковые,Автомобили легковые,G10,Топливо и транспортные товары,115.598851,108.974459,104.457399,37.986667,1467832262.24,116.45,105.627924,,,,0.0,4.951688157894736,1.0,1.047601963664387,100.0,,,,1.4210854715202004e-14,0.0,1.0000000000000002,1.0,36.863333,,,,0.0,0.0,1.0,1.0,1318029619.0,,,,0.0,0.0,1.0,1.0,101.35,,,,10.61,13.185263157894738,1.1002456538170824,1.1276840823025132
2018Q2,2018-06-30,2018,2,S_автомобили_легковые,Автомобили легковые,G10,Топливо и транспортные товары,125.338939,112.90379,117.029366,36.913333,1492273891.76,112.81,106.865372,,,,0.0,5.497446052631588,1.0,1.051183625199322,112.763877,,,,-1.4210854715202004e-14,0.0,0.9999999999999999,1.0,36.106667,,,,0.0,0.0,1.0,1.0,1356238062.333333,,,,0.0,0.0,1.0,1.0,106.04,,,,11.366,10.43789473684211,1.1120421119041046,1.1019603407589444
2018Q3,2018-09-30,2018,3,S_автомобили_легковые,Автомобили легковые,G10,Топливо и транспортные товары,135.391919,116.596211,117.811493,35.906667,1537062112.833333,111.16,108.124455,,,,0.0,9.448186842105258,1.0,1.088178824727391,112.829055,,,,0.0,1.4210854715202004e-14,1.0,1.0000000000000002,35.216667,,,,0.0,0.0,1.0,1.0,1396551504.11,,,,0.0,0.0,1.0,1.0,108.96,,,,9.153999999999996,8.462105263157895,1.08973981922632,1.082398040240665
2018Q4,2018-12-31,2018,4,S_автомобили_легковые,Автомобили легковые,G10,Топливо и транспортные товары,177.479627,118.101196,140.7394,36.363333,1699537940.066666,107.59,109.377408,,,,0.0,11.007614736842115,1.0,1.102785009213516,134.080458,,,,0.0,0.0,1.0,1.0,35.69,,,,0.0,0.0,1.0,1.0,1525051331.066666,,,,0.0,0.0,1.0,1.0,111.9,,,,7.021999999999991,6.697894736842102,1.0698234030705591,1.0663867080518532
2019Q1,2019-03-31,2019,1,S_автомобили_легковые,Автомобили легковые,G10,Топливо и транспортные товары,112.791116,120.982753,108.900315,39.066667,1666606340.376667,102.01,108.974459,105.627924,3.346535000000003,3.168229454173504,0.0,6.5527112105263114,1.0,1.057263906471186,104.457399,100.0,4.457398999999995,4.457398999999995,0.0,0.0,1.0,1.0,37.986667,36.863333,1.1233339999999998,3.0472936345717843,0.0,0.0,1.0,1.0,1467832262.24,1318029619.0,149802643.24,11.365650747185525,0.0,0.0,1.0,1.0,116.45,101.35,15.100000000000009,14.898865318204251,-2.0079999999999956,0.42631578947369064,0.9806956488300103,1.0041966954908839
2019Q2,2019-06-30,2019,2,S_автомобили_легковые,Автомобили легковые,G10,Топливо и транспортные товары,132.312948,121.027217,124.647862,37.65,1688924434.093333,104.98,112.90379,106.865372,6.038418000000007,5.650490787605182,0.0,1.9447156315789442,1.0,1.0163308261854722,117.029366,112.763877,4.265489000000002,3.7826732402966265,0.0,1.4210854715202004e-14,1.0,1.0000000000000002,36.913333,36.106667,0.8066659999999999,2.2341192555934333,0.0,0.0,1.0,1.0,1492273891.76,1356238062.333333,136035829.42666698,10.030379857694365,0.0,0.0,1.0,1.0,112.81,106.04,6.769999999999996,6.384383251603165,-2.910000000000011,2.5957894736842206,0.9730280841597923,1.0253534159255642
2019Q3,2019-09-30,2019,3,S_автомобили_легковые,Автомобили легковые,G10,Топливо и транспортные товары,146.415447,122.142268,126.766122,37.38,1735107394.066666,106.05,116.596211,108.124455,8.471756,7.835189550782013,-1.4210854715202004e-14,7.376331052631571,0.9999999999999999,1.0642728256208491,117.811493,112.829055,4.982438000000002,4.415917513445453,0.0,0.0,1.0,1.0,35.906667,35.216667,0.6899999999999977,1.9592995555201114,0.0,0.0,1.0,1.0,1537062112.833333,1396551504.11,140510608.72333312,10.06125504929933,-2.384185791015625e-07,0.0,0.9999999999999999,1.0,111.16,108.96,2.200000000000003,2.0190895741556565,-0.7460000000000093,4.451052631578946,0.9930147196524214,1.043810027041308
2019Q4,2019-12-31,2019,4,S_автомобили_легковые,Автомобили легковые,G10,Топливо и транспортные товары,173.086401,123.00814,150.200963,38.606667,1949710082.953334,103.96,118.101196,109.377408,8.723787999999999,7.975859146342176,0.0,10.496444789473685,1.0,1.0932920330622808,140.7394,134.080458,6.658941999999996,4.966377725231216,0.0,0.0,1.0,1.0,36.363333,35.69,0.6733329999999995,1.8866152984029125,0.0,0.0,1.0,1.0,1699537940.066666,1525051331.066666,174486609.0,11.441359739541285,0.0,0.0,1.0,1.0,107.59,111.9,-4.310000000000002,-3.851653261840931,0.2639999999999958,2.457368421052621,1.0025459034099675,1.024209898628503
2020Q1,2020-03-31,2020,1,S_автомобили_легковые,Автомобили легковые,G10,Топливо и транспортные товары,129.462972,124.456842,115.182677,40.476667,1924450490.896667,115.22,120.982753,108.974459,12.008294000000006,11.019365556107056,-1.4210854715202004e-14,8.835743789473682,0.9999999999999999,1.076419822387306,108.900315,104.457399,4.442916000000011,4.253328191715755,1.4210854715202004e-14,0.0,1.0000000000000002,1.0,39.066667,37.986667,1.0800000000000054,2.8431028181546054,0.0,0.0,1.0,1.0,1666606340.376667,1467832262.24,198774078.136667,13.542015886292475,0.0,0.0,1.0,1.0,102.01,116.45,-14.439999999999998,-12.400171747531127,11.269999999999996,10.358947368421042,1.1084175084175083,1.098787367744785
2020Q2,2020-06-30,2020,2,S_автомобили_легковые,Автомобили легковые,G10,Топливо и транспортные товары,106.679033,125.299048,120.223051,43.003333,1878777946.103333,96.61,121.027217,112.90379,8.123426999999992,7.194999388417335,0.0,6.469262368421056,1.0,1.0544414208444204,124.647862,117.029366,7.6184960000000075,6.509901113195818,1.4210854715202004e-14,1.4210854715202004e-14,1.0000000000000002,1.0000000000000002,37.65,36.913333,0.7366669999999971,1.9956664438835612,0.0,0.0,1.0,1.0,1688924434.093333,1492273891.76,196650542.33333302,13.177912139265652,0.0,0.0,1.0,1.0,104.98,112.81,-7.829999999999998,-6.940874035989715,5.834000000000003,-0.8115789473684174,1.064268088481537,0.9916694129151112
2020Q3,2020-09-30,2020,3,S_автомобили_легковые,Автомобили легковые,G10,Топливо и транспортные товары,163.049681,127.226353,127.178912,38.046667,1975163219.946667,102.23,122.142268,116.596211,5.546057000000005,4.756635702338564,1.4210854715202004e-14,8.842349105263168,1.0000000000000002,1.074692093647428,126.766122,117.811493,8.954628999999997,7.600811068577153,0.0,0.0,1.0,1.0,37.38,35.906667,1.4733330000000038,4.103229631421941,0.0,0.0,1.0,1.0,1735107394.066666,1537062112.833333,198045281.23333287,12.884663513582248,-2.384185791015625e-07,0.0,0.9999999999999999,1.0,106.05,111.16,-5.109999999999999,-4.596977329974811,7.839999999999989,4.269473684210524,1.0830596461489563,1.0435836131631968
2020Q4,2020-12-31,2020,4,S_автомобили_легковые,Автомобили легковые,G10,Топливо и транспортные товары,178.822998,128.834549,156.986639,38.93,2175886458.506667,101.9,123.00814,118.101196,4.906943999999996,4.154863935501547,0.0,10.18237600000002,1.0,1.0858170208142754,150.200963,140.7394,9.461563000000012,6.722753543073236,0.0,0.0,1.0,1.0,38.606667,36.363333,2.2433340000000044,6.169219966717584,0.0,0.0,1.0,1.0,1949710082.953334,1699537940.066666,250172142.8866682,14.72000930304945,0.0,0.0,1.0,1.0,103.96,107.59,-3.6300000000000097,-3.37391950924808,6.506,5.282105263157902,1.0682013543828752,1.0546700513144565
2021Q1,2021-03-31,2021,1,S_автомобили_легковые,Автомобили легковые,G10,Топливо и транспортные товары,155.372497,133.461977,118.383604,40.86,2130673446.236667,114.2,124.456842,120.982753,3.474088999999992,2.871557237584098,0.0,9.54189505263156,1.0,1.0770003933396703,115.182677,108.900315,6.282361999999992,5.768910769450017,-1.4210854715202004e-14,0.0,0.9999999999999999,1.0,40.476667,39.066667,1.4099999999999966,3.609214986269488,0.0,0.0,1.0,1.0,1924450490.896667,1666606340.376667,257844150.51999998,15.47120902358532,0.0,0.0,1.0,1.0,115.22,102.01,13.209999999999994,12.949710812665419,17.218000000000004,19.64631578947369,1.1775380998535812,1.2077794847816892
2021Q2,2021-06-30,2021,2,S_автомобили_легковые,Автомобили легковые,G10,Топливо и транспортные товары,195.196465,138.089405,138.711663,39.34,2230937966.3,132.64,125.299048,121.027217,4.271831000000006,3.529644906236261,0.0,8.860240210526314,1.0,1.0685622338034952,120.223051,124.647862,-4.424811000000005,-3.5498490940823397,0.0,0.0,1.0,1.0,43.003333,37.65,5.353332999999999,14.218679946879147,0.0,0.0,1.0,1.0,1878777946.103333,1688924434.093333,189853512.01,11.241089783387451,0.0,0.0,1.0,1.0,96.61,104.98,-8.370000000000005,-7.972947228043441,22.297999999999973,31.148421052631576,1.2020808033205848,1.3069064584046381
2021Q3,2021-09-30,2021,3,S_автомобили_легковые,Автомобили легковые,G10,Топливо и транспортные товары,184.775569,142.716833,147.449035,37.863333,2292062653.636667,124.82,127.226353,122.142268,5.084085000000002,4.162428848955058,0.0,8.178585473684194,1.0,1.0607900401860404,127.178912,126.766122,0.4127900000000011,0.3256311650836815,0.0,0.0,1.0,1.0,38.046667,37.38,0.6666669999999968,1.7834858212948013,0.0,0.0,1.0,1.0,1975163219.946667,1735107394.066666,240055825.88000107,13.835214275548047,0.0,0.0,1.0,1.0,102.23,106.05,-3.819999999999993,-3.6020744931635957,17.715999999999994,23.20473684210525,1.1654093217806991,1.2283587732883061
2021Q4,2021-12-31,2021,4,S_автомобили_легковые,Автомобили легковые,G10,Топливо и транспортные товары,190.923598,147.344261,172.915233,39.343333,2590296225.013334,120.54,128.834549,123.00814,5.826409000000012,4.7366044230894095,0.0,7.496930368421033,1.0,1.0536079618721599,156.986639,150.200963,6.785675999999995,4.51773135435889,0.0,0.0,1.0,1.0,38.93,38.606667,0.3233329999999981,0.8375056049256934,0.0,0.0,1.0,1.0,2175886458.506667,1949710082.953334,226176375.55333304,11.600513200954017,0.0,0.0,1.0,1.0,101.9,103.96,-2.059999999999988,-1.9815313582146867,14.714000000000013,19.216315789473683,1.139039555496759,1.1896527543308313
