model,product_code,product_name,group_code,group_name,observations_count,cv_years,MAE,RMSE,MAPE_%,WAPE_%
sarimax_individual,S_мясо_домашней_птицы,Мясо домашней птицы,G03,"Мясо, птица, рыба и колбасные изделия",12,2023; 2024; 2025,2.95,4.89,2.28,2.45
sarimax_individual,S_мясо_животных,Мясо животных,G03,"Мясо, птица, рыба и колбасные изделия",12,2023; 2024; 2025,2.57,3.46,2.45,2.49
sarimax_individual,S_чай,Чай,G05,"Бакалея, масло, сахар, чай, соль",12,2023; 2024; 2025,2.72,3.75,2.7,2.73
sarimax_individual,S_макаронные_изделия,Макаронные изделия,G01,"Хлеб, крупы, мука и макаронные изделия",12,2023; 2024; 2025,4.09,5.12,3.55,3.57
sarimax_individual,S_молоко_питьевое,Молоко питьевое,G02,Молочная продукция и яйца,12,2023; 2024; 2025,4.58,5.96,3.69,3.65
sarimax_individual,S_свежие_овощи,Свежие овощи,G04,"Овощи, фрукты и картофель",12,2023; 2024; 2025,6.03,8.62,4.44,4.28
prophet_individual,S_мука,Мука,G01,"Хлеб, крупы, мука и макаронные изделия",12,2023; 2024; 2025,4.516183390183997,5.536500724432235,4.275834387761806,4.393698606493793
prophet_individual,S_бензины_автомобильные,Бензины автомобильные,G10,Топливо и транспортные товары,8,2020; 2021,5.510119157779142,8.560944128019775,5.683387034001421,5.233173400490315
sarimax_individual,S_дизельное_топливо,Дизельное топливо,G10,Топливо и транспортные товары,12,2020; 2021; 2022,7.1,10.17,5.79,5.36
sarimax_individual,S_маргариновая_продукция,Маргариновая продукция,G05,"Бакалея, масло, сахар, чай, соль",12,2023; 2024; 2025,4.71,6.79,5.26,5.63
sarimax_individual,S_сыры,сыры,G02,Молочная продукция и яйца,12,2023; 2024; 2025,7.24,9.49,5.77,5.66
lightgbm_individual_selection,S_свежие_фрукты,Свежие фрукты,G04,"Овощи, фрукты и картофель",12,2023; 2024; 2025,7.940818616260832,11.54589875326663,5.770368424859928,6.059646441933335
prophet_individual,S_лампы_накаливания_включая_галогенные_кроме_ламп_для_автотранспортных_средств,"Лампы накаливания (включая галогенные, кроме ламп для автотранспортных средств)",G10,Топливо и транспортные товары,12,2022; 2023; 2024,3.6299752753560206,4.320608444715153,6.833496846536765,6.639957692552563
sarimax_individual,S_свежий_картофель,Свежий картофель,G04,"Овощи, фрукты и картофель",12,2023; 2024; 2025,14.59,18.7,9.68,10.14
sarimax_individual,S_консервы_молочные_молочные_составные_сухие_сублимированные,"Консервы молочные, молочные составные сухие, сублимированные",G02,Молочная продукция и яйца,12,2023; 2024; 2025,11.97,16.57,10.54,10.42
sarimax_individual,S_автомобили_легковые,Автомобили легковые,G10,Топливо и транспортные товары,12,2023; 2024; 2025,19.46,25.34,11.7,11.5
sarimax_individual,S_стиральные_машины,Стиральные машины,G07,"Товары для дома, гигиены и бытовая химия",12,2023; 2024; 2025,18.33,21.9,13.05,13.13
sarimax_individual,S_газовое_моторное_топливо,Газовое моторное топливо,G10,Топливо и транспортные товары,12,2020; 2021; 2022,28.29,34.12,16.44,17.55
