model,group_code,group_name,products_count,observations_count,cv_years,MAE,RMSE,MAPE_%,WAPE_%
sarimax_individual,G05,"Бакалея, масло, сахар, чай, соль",2,24,2023; 2024; 2025,3.71,5.49,3.98,4.05
lightgbm_individual_selection,G05,"Бакалея, масло, сахар, чай, соль",2,24,2023; 2024; 2025,5.090301116839588,5.774524044367839,5.713559353111678,5.552642488216392
prophet_individual,G05,"Бакалея, масло, сахар, чай, соль",2,24,2023; 2024; 2025,5.265068169943979,7.306364898613816,5.537417996651101,5.743283266106231
sarimax_individual,G02,Молочная продукция и яйца,3,36,2023; 2024; 2025,7.93,11.55,6.67,6.46
lightgbm_individual_selection,G02,Молочная продукция и яйца,3,36,2023; 2024; 2025,9.949678792698556,13.204822608580686,8.560270448497773,8.10376694403782
prophet_individual,G02,Молочная продукция и яйца,3,36,2023; 2024; 2025,9.963219382021757,13.250260719077874,8.558103668001634,8.114795418669656
sarimax_individual,G03,"Мясо, птица, рыба и колбасные изделия",2,24,2023; 2024; 2025,2.76,4.24,2.37,2.47
prophet_individual,G03,"Мясо, птица, рыба и колбасные изделия",2,24,2023; 2024; 2025,3.181495620642135,4.180782395931261,2.8104682517796205,2.847290465255168
lightgbm_individual_selection,G03,"Мясо, птица, рыба и колбасные изделия",2,24,2023; 2024; 2025,5.771955832667426,7.721644681772071,5.010294202001491,5.165631755580064
lightgbm_individual_selection,G04,"Овощи, фрукты и картофель",3,36,2023; 2024; 2025,9.830329117838694,13.28889776948167,7.362485532455457,7.094125408787503
sarimax_individual,G04,"Овощи, фрукты и картофель",3,36,2023; 2024; 2025,10.4,14.47,7.36,7.51
prophet_individual,G04,"Овощи, фрукты и картофель",3,36,2023; 2024; 2025,14.074370321699652,18.54238980170054,10.251710123623289,10.156867274226759
sarimax_individual,G07,"Товары для дома, гигиены и бытовая химия",1,12,2023; 2024; 2025,18.33,21.9,13.05,13.13
prophet_individual,G07,"Товары для дома, гигиены и бытовая химия",1,12,2023; 2024; 2025,18.912739278827953,23.83328522631535,14.891449397794009,13.543820552233582
lightgbm_individual_selection,G07,"Товары для дома, гигиены и бытовая химия",1,12,2023; 2024; 2025,19.91229604447017,23.255631638258617,15.046142289459882,14.259624712912952
sarimax_individual,G10,Топливо и транспортные товары,5,56,2020; 2021; 2022; 2023; 2024; 2025,13.93,21.01,10.53,11.06
prophet_individual,G10,Топливо и транспортные товары,5,56,2020; 2021; 2022; 2023; 2024; 2025,15.320610033569299,23.88207719875991,11.495617512427694,12.164583010389372
lightgbm_individual_selection,G10,Топливо и транспортные товары,5,56,2020; 2021; 2022; 2023; 2024; 2025,18.66461806810422,26.255327698028896,16.199461146274288,14.819729459152029
sarimax_individual,G01,"Хлеб, крупы, мука и макаронные изделия",2,24,2023; 2024; 2025,4.57,5.68,4.16,4.2
lightgbm_individual_selection,G01,"Хлеб, крупы, мука и макаронные изделия",2,24,2023; 2024; 2025,4.739083157849265,6.183990544050609,4.296833119524179,4.358374419810587
prophet_individual,G01,"Хлеб, крупы, мука и макаронные изделия",2,24,2023; 2024; 2025,5.262895230706325,6.588299585962159,4.804709880880701,4.840106658534214
