model,product_code,product_name,group_code,group_name,observations_count,cv_years,MAE,RMSE,MAPE_%,WAPE_%
sarimax_individual,S_автомобили_легковые,Автомобили легковые,G10,Топливо и транспортные товары,12,2023; 2024; 2025,19.46,25.34,11.7,11.5
prophet_individual,S_автомобили_легковые,Автомобили легковые,G10,Топливо и транспортные товары,12,2023; 2024; 2025,23.5519804908366,29.70108468775998,13.538455687649586,13.91791968958439
lightgbm_individual_selection,S_автомобили_легковые,Автомобили легковые,G10,Топливо и транспортные товары,12,2023; 2024; 2025,28.89743980396588,35.55302726579917,16.966449986257352,17.076790912877918
prophet_individual,S_бензины_автомобильные,Бензины автомобильные,G10,Топливо и транспортные товары,8,2020; 2021,5.510119157779142,8.560944128019775,5.683387034001421,5.233173400490315
sarimax_individual,S_бензины_автомобильные,Бензины автомобильные,G10,Топливо и транспортные товары,8,2020; 2021,6.96,12.33,7.43,6.61
lightgbm_individual_selection,S_бензины_автомобильные,Бензины автомобильные,G10,Топливо и транспортные товары,8,2020; 2021,7.880242248866747,11.89360784119899,8.183171634767358,7.484171021595605
sarimax_individual,S_газовое_моторное_топливо,Газовое моторное топливо,G10,Топливо и транспортные товары,12,2020; 2021; 2022,28.29,34.12,16.44,17.55
prophet_individual,S_газовое_моторное_топливо,Газовое моторное топливо,G10,Топливо и транспортные товары,12,2020; 2021; 2022,31.084510458398427,39.44830336572187,22.248917988337915,19.278886555246107
lightgbm_individual_selection,S_газовое_моторное_топливо,Газовое моторное топливо,G10,Топливо и транспортные товары,12,2020; 2021; 2022,33.012194957167786,39.92884664303369,22.2244128134952,20.47445342176692
sarimax_individual,S_дизельное_топливо,Дизельное топливо,G10,Топливо и транспортные товары,12,2020; 2021; 2022,7.1,10.17,5.79,5.36
lightgbm_individual_selection,S_дизельное_топливо,Дизельное топливо,G10,Топливо и транспортные товары,12,2020; 2021; 2022,7.926532744177642,9.551733825077779,6.251470621990627,5.985879529130533
prophet_individual,S_дизельное_топливо,Дизельное топливо,G10,Топливо и транспортные товары,12,2020; 2021; 2022,9.556301160212932,12.48197163473604,7.236419846137361,7.21663170206958
sarimax_individual,S_консервы_молочные_молочные_составные_сухие_сублимированные,"Консервы молочные, молочные составные сухие, сублимированные",G02,Молочная продукция и яйца,12,2023; 2024; 2025,11.97,16.57,10.54,10.42
prophet_individual,S_консервы_молочные_молочные_составные_сухие_сублимированные,"Консервы молочные, молочные составные сухие, сублимированные",G02,Молочная продукция и яйца,12,2023; 2024; 2025,15.404779130921042,18.797015207154672,14.12743978447242,13.41119725974888
lightgbm_individual_selection,S_консервы_молочные_молочные_составные_сухие_сублимированные,"Консервы молочные, молочные составные сухие, сублимированные",G02,Молочная продукция и яйца,12,2023; 2024; 2025,15.479772726611182,18.971255926962556,14.564161957455187,13.476485693712828
prophet_individual,S_лампы_накаливания_включая_галогенные_кроме_ламп_для_автотранспортных_средств,"Лампы накаливания (включая галогенные, кроме ламп для автотранспортных средств)",G10,Топливо и транспортные товары,12,2022; 2023; 2024,3.6299752753560206,4.320608444715153,6.833496846536765,6.639957692552563
sarimax_individual,S_лампы_накаливания_включая_галогенные_кроме_ламп_для_автотранспортных_средств,"Лампы накаливания (включая галогенные, кроме ламп для автотранспортных средств)",G10,Топливо и транспортные товары,12,2022; 2023; 2024,5.5,6.97,10.25,10.06
