model,product_code,product_name,group_code,group_name,products_count,observations_count,cv_years,MAE,RMSE,MAPE_%,WAPE_%
lightgbm_individual_selection,S_мясо_животных,Мясо животных,G03,"Мясо, птица, рыба и колбасные изделия",1,12,2023; 2024; 2025,3.403081923386823,5.047049110869866,3.2659979307239126,3.2978952946294835
lightgbm_individual_selection,S_макаронные_изделия,Макаронные изделия,G01,"Хлеб, крупы, мука и макаронные изделия",1,12,2023; 2024; 2025,4.838151697535775,6.588581113237321,4.210071833788128,4.2187365599333315
lightgbm_individual_selection,S_мука,Мука,G01,"Хлеб, крупы, мука и макаронные изделия",1,12,2023; 2024; 2025,4.6400146181627555,5.75100660859533,4.38359440526023,4.514171370065185
lightgbm_individual_selection,S_свежие_овощи,Свежие овощи,G04,"Овощи, фрукты и картофель",1,12,2023; 2024; 2025,6.447645214171673,9.126093696940172,4.73207097207188,4.5811830133235265
lightgbm_individual_selection,S_чай,Чай,G05,"Бакалея, масло, сахар, чай, соль",1,12,2023; 2024; 2025,4.788124219707819,5.254331443145612,5.013749506223107,4.800552947299437
lightgbm_individual_selection,S_молоко_питьевое,Молоко питьевое,G02,Молочная продукция и яйца,1,12,2023; 2024; 2025,6.195208698561859,7.004864890918202,4.917058340083582,4.938477670940976
lightgbm_individual_selection,S_дизельное_топливо,Дизельное топливо,G10,Топливо и транспортные товары,1,12,2020; 2021; 2022,7.926532744177642,9.551733825077779,6.251470621990627,5.985879529130533
lightgbm_individual_selection,S_свежие_фрукты,Свежие фрукты,G04,"Овощи, фрукты и картофель",1,12,2023; 2024; 2025,7.940818616260832,11.54589875326663,5.770368424859928,6.059646441933335
lightgbm_individual_selection,S_сыры,сыры,G02,Молочная продукция и яйца,1,12,2023; 2024; 2025,8.174054952922624,10.682946072405327,6.199591047954548,6.384856634850951
lightgbm_individual_selection,S_маргариновая_продукция,Маргариновая продукция,G05,"Бакалея, масло, сахар, чай, соль",1,12,2023; 2024; 2025,5.392478013971357,6.251580357280544,6.4133692000002505,6.449878855825768
lightgbm_individual_selection,S_мясо_домашней_птицы,Мясо домашней птицы,G03,"Мясо, птица, рыба и колбасные изделия",1,12,2023; 2024; 2025,8.14082974194803,9.683743514547745,6.75459047327907,6.76790567341419
lightgbm_individual_selection,S_бензины_автомобильные,Бензины автомобильные,G10,Топливо и транспортные товары,1,8,2020; 2021,7.880242248866747,11.89360784119899,8.183171634767358,7.484171021595605
lightgbm_individual_selection,S_свежий_картофель,Свежий картофель,G04,"Овощи, фрукты и картофель",1,12,2023; 2024; 2025,15.102523523083567,17.69720451362841,11.585017200434566,10.493416469654008
lightgbm_individual_selection,S_консервы_молочные_молочные_составные_сухие_сублимированные,"Консервы молочные, молочные составные сухие, сублимированные",G02,Молочная продукция и яйца,1,12,2023; 2024; 2025,15.479772726611182,18.971255926962556,14.564161957455187,13.476485693712828
lightgbm_individual_selection,S_стиральные_машины,Стиральные машины,G07,"Товары для дома, гигиены и бытовая химия",1,12,2023; 2024; 2025,19.91229604447017,23.255631638258617,15.046142289459882,14.259624712912952
lightgbm_individual_selection,S_автомобили_легковые,Автомобили легковые,G10,Топливо и транспортные товары,1,12,2023; 2024; 2025,28.89743980396588,35.55302726579917,16.966449986257352,17.076790912877918
lightgbm_individual_selection,S_газовое_моторное_топливо,Газовое моторное топливо,G10,Топливо и транспортные товары,1,12,2020; 2021; 2022,33.012194957167786,39.92884664303369,22.2244128134952,20.47445342176692
lightgbm_individual_selection,S_лампы_накаливания_включая_галогенные_кроме_ламп_для_автотранспортных_средств,"Лампы накаливания (включая галогенные, кроме ламп для автотранспортных средств)",G10,Топливо и транспортные товары,1,12,2022; 2023; 2024,12.01188864659723,13.155188548754122,24.699704171025264,21.972169607473575
