model,lgbm_config_id,feature_set,params,used_features,product_code,product_name,group_code,group_name,cv_year,period,period_end,train_start,train_end,actual_target_demand_index,forecast_target_demand_index,error,abs_error,ape_%
lightgbm_individual_selection,no_exog_p0,no_exog,"{'n_estimators': 200, 'learning_rate': 0.03, 'max_depth': 2, 'num_leaves': 7, 'min_child_samples': 8, 'subsample': 0.9, 'colsample_bytree': 0.9}",product_name; group_name; quarter_num; time_idx; target_lag1; target_lag2; target_lag4; target_roll4_mean; target_roll4_std; target_yoy_diff,S_автомобили_легковые,Автомобили легковые,G10,Топливо и транспортные товары,2023,2023Q1,2023-03-31,2017Q1,2022Q4,118.327224,125.90610426969536,7.578880269695361,7.578880269695361,6.405018231219015
lightgbm_individual_selection,no_exog_p0,no_exog,"{'n_estimators': 200, 'learning_rate': 0.03, 'max_depth': 2, 'num_leaves': 7, 'min_child_samples': 8, 'subsample': 0.9, 'colsample_bytree': 0.9}",product_name; group_name; quarter_num; time_idx; target_lag1; target_lag2; target_lag4; target_roll4_mean; target_roll4_std; target_yoy_diff,S_автомобили_легковые,Автомобили легковые,G10,Топливо и транспортные товары,2023,2023Q2,2023-06-30,2017Q1,2022Q4,153.480192,106.60502938517442,-46.87516261482557,46.87516261482557,30.54150636899488
lightgbm_individual_selection,no_exog_p0,no_exog,"{'n_estimators': 200, 'learning_rate': 0.03, 'max_depth': 2, 'num_leaves': 7, 'min_child_samples': 8, 'subsample': 0.9, 'colsample_bytree': 0.9}",product_name; group_name; quarter_num; time_idx; target_lag1; target_lag2; target_lag4; target_roll4_mean; target_roll4_std; target_yoy_diff,S_автомобили_легковые,Автомобили легковые,G10,Топливо и транспортные товары,2023,2023Q3,2023-09-30,2017Q1,2022Q4,187.270948,112.51473054684801,-74.75621745315199,74.75621745315199,39.918747809805495
lightgbm_individual_selection,no_exog_p0,no_exog,"{'n_estimators': 200, 'learning_rate': 0.03, 'max_depth': 2, 'num_leaves': 7, 'min_child_samples': 8, 'subsample': 0.9, 'colsample_bytree': 0.9}",product_name; group_name; quarter_num; time_idx; target_lag1; target_lag2; target_lag4; target_roll4_mean; target_roll4_std; target_yoy_diff,S_автомобили_легковые,Автомобили легковые,G10,Топливо и транспортные товары,2023,2023Q4,2023-12-31,2017Q1,2022Q4,166.589977,113.94933134166382,-52.64064565833618,52.64064565833618,31.59892726219428
lightgbm_individual_selection,no_exog_p0,no_exog,"{'n_estimators': 200, 'learning_rate': 0.03, 'max_depth': 2, 'num_leaves': 7, 'min_child_samples': 8, 'subsample': 0.9, 'colsample_bytree': 0.9}",product_name; group_name; quarter_num; time_idx; target_lag1; target_lag2; target_lag4; target_roll4_mean; target_roll4_std; target_yoy_diff,S_автомобили_легковые,Автомобили легковые,G10,Топливо и транспортные товары,2024,2024Q1,2024-03-31,2017Q1,2023Q4,167.540049,151.34418474578638,-16.19586425421363,16.19586425421363,9.666861356960467
lightgbm_individual_selection,no_exog_p0,no_exog,"{'n_estimators': 200, 'learning_rate': 0.03, 'max_depth': 2, 'num_leaves': 7, 'min_child_samples': 8, 'subsample': 0.9, 'colsample_bytree': 0.9}",product_name; group_name; quarter_num; time_idx; target_lag1; target_lag2; target_lag4; target_roll4_mean; target_roll4_std; target_yoy_diff,S_автомобили_легковые,Автомобили легковые,G10,Топливо и транспортные товары,2024,2024Q2,2024-06-30,2017Q1,2023Q4,194.910813,162.61626135102728,-32.294551648972714,32.294551648972714,16.568886636870534
lightgbm_individual_selection,no_exog_p0,no_exog,"{'n_estimators': 200, 'learning_rate': 0.03, 'max_depth': 2, 'num_leaves': 7, 'min_child_samples': 8, 'subsample': 0.9, 'colsample_bytree': 0.9}",product_name; group_name; quarter_num; time_idx; target_lag1; target_lag2; target_lag4; target_roll4_mean; target_roll4_std; target_yoy_diff,S_автомобили_легковые,Автомобили легковые,G10,Топливо и транспортные товары,2024,2024Q3,2024-09-30,2017Q1,2023Q4,228.395741,188.39172626275337,-40.00401473724662,40.00401473724662,17.51521922523355
lightgbm_individual_selection,no_exog_p0,no_exog,"{'n_estimators': 200, 'learning_rate': 0.03, 'max_depth': 2, 'num_leaves': 7, 'min_child_samples': 8, 'subsample': 0.9, 'colsample_bytree': 0.9}",product_name; group_name; quarter_num; time_idx; target_lag1; target_lag2; target_lag4; target_roll4_mean; target_roll4_std; target_yoy_diff,S_автомобили_легковые,Автомобили легковые,G10,Топливо и транспортные товары,2024,2024Q4,2024-12-31,2017Q1,2023Q4,172.532576,182.77750045093126,10.24492445093125,10.24492445093125,5.937965274993199
lightgbm_individual_selection,no_exog_p0,no_exog,"{'n_estimators': 200, 'learning_rate': 0.03, 'max_depth': 2, 'num_leaves': 7, 'min_child_samples': 8, 'subsample': 0.9, 'colsample_bytree': 0.9}",product_name; group_name; quarter_num; time_idx; target_lag1; target_lag2; target_lag4; target_roll4_mean; target_roll4_std; target_yoy_diff,S_автомобили_легковые,Автомобили легковые,G10,Топливо и транспортные товары,2025,2025Q1,2025-03-31,2017Q1,2024Q4,133.521054,163.42364480294083,29.902590802940836,29.902590802940836,22.395412488985322
lightgbm_individual_selection,no_exog_p0,no_exog,"{'n_estimators': 200, 'learning_rate': 0.03, 'max_depth': 2, 'num_leaves': 7, 'min_child_samples': 8, 'subsample': 0.9, 'colsample_bytree': 0.9}",product_name; group_name; quarter_num; time_idx; target_lag1; target_lag2; target_lag4; target_roll4_mean; target_roll4_std; target_yoy_diff,S_автомобили_легковые,Автомобили легковые,G10,Топливо и транспортные товары,2025,2025Q2,2025-06-30,2017Q1,2024Q4,144.210737,165.62984014097688,21.419103140976887,21.419103140976887,14.852641063041574
