model,product_code,product_name,group_code,group_name,cv_years,best_feature_set,best_params,best_used_exog,cv_wape
prophet_individual,S_автомобили_легковые,Автомобили легковые,G10,Топливо и транспортные товары,2023; 2024; 2025,no_exog,"{'changepoint_prior_scale': 0.1, 'seasonality_prior_scale': 10.0}",,13.91791968958439
prophet_individual,S_бензины_автомобильные,Бензины автомобильные,G10,Топливо и транспортные товары,2020; 2021,core_lag4,"{'changepoint_prior_scale': 0.01, 'seasonality_prior_scale': 1.0}",consumer_price_index_lag4; income_index_lag4; stock_days_mean_lag4; stock_value_mean_thousand_rub_lag4,5.233173400490315
prophet_individual,S_газовое_моторное_топливо,Газовое моторное топливо,G10,Топливо и транспортные товары,2020; 2021; 2022,price_lag4,"{'changepoint_prior_scale': 0.1, 'seasonality_prior_scale': 10.0}",consumer_price_index_lag4,19.278886555246107
prophet_individual,S_дизельное_топливо,Дизельное топливо,G10,Топливо и транспортные товары,2020; 2021; 2022,no_exog,"{'changepoint_prior_scale': 0.1, 'seasonality_prior_scale': 10.0}",,7.21663170206958
prophet_individual,S_консервы_молочные_молочные_составные_сухие_сублимированные,"Консервы молочные, молочные составные сухие, сублимированные",G02,Молочная продукция и яйца,2023; 2024; 2025,no_exog,"{'changepoint_prior_scale': 0.01, 'seasonality_prior_scale': 1.0}",,13.41119725974888
prophet_individual,S_лампы_накаливания_включая_галогенные_кроме_ламп_для_автотранспортных_средств,"Лампы накаливания (включая галогенные, кроме ламп для автотранспортных средств)",G10,Топливо и транспортные товары,2022; 2023; 2024,price_lag4,"{'changepoint_prior_scale': 0.01, 'seasonality_prior_scale': 1.0}",consumer_price_index_lag4,6.639957692552563
prophet_individual,S_макаронные_изделия,Макаронные изделия,G01,"Хлеб, крупы, мука и макаронные изделия",2023; 2024; 2025,core_lag4,"{'changepoint_prior_scale': 0.1, 'seasonality_prior_scale': 10.0}",consumer_price_index_lag4; income_index_lag4; stock_days_mean_lag4; stock_value_mean_thousand_rub_lag4,5.240213752524389
prophet_individual,S_маргариновая_продукция,Маргариновая продукция,G05,"Бакалея, масло, сахар, чай, соль",2023; 2024; 2025,price_lag4,"{'changepoint_prior_scale': 0.01, 'seasonality_prior_scale': 1.0}",consumer_price_index_lag4,7.908095592190678
prophet_individual,S_молоко_питьевое,Молоко питьевое,G02,Молочная продукция и яйца,2023; 2024; 2025,realization_lag4,"{'changepoint_prior_scale': 0.1, 'seasonality_prior_scale': 10.0}",physical_volume_index_lag4,5.015674844392434
prophet_individual,S_мука,Мука,G01,"Хлеб, крупы, мука и макаронные изделия",2023; 2024; 2025,no_exog,"{'changepoint_prior_scale': 0.1, 'seasonality_prior_scale': 10.0}",,4.393698606493793
prophet_individual,S_мясо_домашней_птицы,Мясо домашней птицы,G03,"Мясо, птица, рыба и колбасные изделия",2023; 2024; 2025,realization_lag4,"{'changepoint_prior_scale': 0.01, 'seasonality_prior_scale': 1.0}",physical_volume_index_lag4,3.0197902592679777
prophet_individual,S_мясо_животных,Мясо животных,G03,"Мясо, птица, рыба и колбасные изделия",2023; 2024; 2025,no_exog,"{'changepoint_prior_scale': 0.1, 'seasonality_prior_scale': 10.0}",,2.646211142176812
prophet_individual,S_свежие_овощи,Свежие овощи,G04,"Овощи, фрукты и картофель",2023; 2024; 2025,no_exog,"{'changepoint_prior_scale': 0.01, 'seasonality_prior_scale': 1.0}",,8.868419094271264
prophet_individual,S_свежие_фрукты,Свежие фрукты,G04,"Овощи, фрукты и картофель",2023; 2024; 2025,price_lag4,"{'changepoint_prior_scale': 0.01, 'seasonality_prior_scale': 1.0}",consumer_price_index_lag4,7.924060242808754
prophet_individual,S_свежий_картофель,Свежий картофель,G04,"Овощи, фрукты и картофель",2023; 2024; 2025,price_lag4,"{'changepoint_prior_scale': 0.05, 'seasonality_prior_scale': 5.0}",consumer_price_index_lag4,13.44982661914957
prophet_individual,S_стиральные_машины,Стиральные машины,G07,"Товары для дома, гигиены и бытовая химия",2023; 2024; 2025,no_exog,"{'changepoint_prior_scale': 0.1, 'seasonality_prior_scale': 10.0}",,13.543820552233582
prophet_individual,S_чай,Чай,G05,"Бакалея, масло, сахар, чай, соль",2023; 2024; 2025,no_exog,"{'changepoint_prior_scale': 0.01, 'seasonality_prior_scale': 1.0}",,3.9286748002966365
prophet_individual,S_сыры,сыры,G02,Молочная продукция и яйца,2023; 2024; 2025,realization_lag4,"{'changepoint_prior_scale': 0.1, 'seasonality_prior_scale': 10.0}",physical_volume_index_lag4,6.399520657845474
