model,product_code,product_name,group_code,group_name,products_count,observations_count,cv_years,MAE,RMSE,MAPE_%,WAPE_%
prophet_individual,S_мясо_животных,Мясо животных,G03,"Мясо, птица, рыба и колбасные изделия",1,12,2023; 2024; 2025,2.730612253843082,3.593346377430966,2.6823468785572597,2.646211142176812
prophet_individual,S_мясо_домашней_птицы,Мясо домашней птицы,G03,"Мясо, птица, рыба и колбасные изделия",1,12,2023; 2024; 2025,3.632378987441188,4.6952896285598,2.9385896250019807,3.0197902592679777
prophet_individual,S_чай,Чай,G05,"Бакалея, масло, сахар, чай, соль",1,12,2023; 2024; 2025,3.918503382665173,4.697639805150254,3.7531666870897857,3.9286748002966365
prophet_individual,S_мука,Мука,G01,"Хлеб, крупы, мука и макаронные изделия",1,12,2023; 2024; 2025,4.516183390183997,5.536500724432235,4.275834387761806,4.393698606493793
prophet_individual,S_молоко_питьевое,Молоко питьевое,G02,Молочная продукция и яйца,1,12,2023; 2024; 2025,6.292050809094218,8.429341532040269,5.112681389318445,5.015674844392434
prophet_individual,S_бензины_автомобильные,Бензины автомобильные,G10,Топливо и транспортные товары,1,8,2020; 2021,5.510119157779142,8.560944128019775,5.683387034001421,5.233173400490315
prophet_individual,S_макаронные_изделия,Макаронные изделия,G01,"Хлеб, крупы, мука и макаронные изделия",1,12,2023; 2024; 2025,6.009607071228651,7.493900359434975,5.333585373999598,5.240213752524389
prophet_individual,S_сыры,сыры,G02,Молочная продукция и яйца,1,12,2023; 2024; 2025,8.192828206050015,10.115663498200758,6.434189830214036,6.399520657845474
prophet_individual,S_лампы_накаливания_включая_галогенные_кроме_ламп_для_автотранспортных_средств,"Лампы накаливания (включая галогенные, кроме ламп для автотранспортных средств)",G10,Топливо и транспортные товары,1,12,2022; 2023; 2024,3.6299752753560206,4.320608444715153,6.833496846536765,6.639957692552563
prophet_individual,S_дизельное_топливо,Дизельное топливо,G10,Топливо и транспортные товары,1,12,2020; 2021; 2022,9.556301160212932,12.48197163473604,7.236419846137361,7.21663170206958
prophet_individual,S_маргариновая_продукция,Маргариновая продукция,G05,"Бакалея, масло, сахар, чай, соль",1,12,2023; 2024; 2025,6.611632957222786,9.20315795390148,7.321669306212415,7.908095592190678
prophet_individual,S_свежие_фрукты,Свежие фрукты,G04,"Овощи, фрукты и картофель",1,12,2023; 2024; 2025,10.38402581659406,13.604275566300947,7.550948817309135,7.924060242808754
prophet_individual,S_свежие_овощи,Свежие овощи,G04,"Овощи, фрукты и картофель",1,12,2023; 2024; 2025,12.481583853809832,15.5879422873017,8.928831316007535,8.868419094271264
prophet_individual,S_консервы_молочные_молочные_составные_сухие_сублимированные,"Консервы молочные, молочные составные сухие, сублимированные",G02,Молочная продукция и яйца,1,12,2023; 2024; 2025,15.404779130921042,18.797015207154672,14.12743978447242,13.41119725974888
prophet_individual,S_свежий_картофель,Свежий картофель,G04,"Овощи, фрукты и картофель",1,12,2023; 2024; 2025,19.357501294695062,24.5642097417874,14.27535023755319,13.44982661914957
prophet_individual,S_стиральные_машины,Стиральные машины,G07,"Товары для дома, гигиены и бытовая химия",1,12,2023; 2024; 2025,18.912739278827953,23.83328522631535,14.891449397794009,13.543820552233582
prophet_individual,S_автомобили_легковые,Автомобили легковые,G10,Топливо и транспортные товары,1,12,2023; 2024; 2025,23.5519804908366,29.70108468775998,13.538455687649586,13.91791968958439
prophet_individual,S_газовое_моторное_топливо,Газовое моторное топливо,G10,Топливо и транспортные товары,1,12,2020; 2021; 2022,31.084510458398427,39.44830336572187,22.248917988337915,19.278886555246107
