model,product_code,product_name,group_code,group_name,products_count,observations_count,cv_years,MAE,RMSE,MAPE_%,WAPE_%
prophet_individual,S_мясо_животных,Мясо животных,G03,"Мясо, птица, рыба и колбасные изделия",1,12,2023; 2024; 2025,2.730612253843082,3.593346377430966,2.6823468785572597,2.646211142176812
prophet_individual,S_мясо_домашней_птицы,Мясо домашней птицы,G03,"Мясо, птица, рыба и колбасные изделия",1,12,2023; 2024; 2025,3.632378987441188,4.6952896285598,2.9385896250019807,3.0197902592679777
prophet_individual,S_чай,Чай,G05,"Бакалея, масло, сахар, чай, соль",1,12,2023; 2024; 2025,3.918503382665173,4.697639805150254,3.7531666870897857,3.9286748002966365
lightgbm_individual_selection,S_макаронные_изделия,Макаронные изделия,G01,"Хлеб, крупы, мука и макаронные изделия",1,12,2023; 2024; 2025,4.838151697535775,6.588581113237321,4.210071833788128,4.2187365599333315
prophet_individual,S_мука,Мука,G01,"Хлеб, крупы, мука и макаронные изделия",1,12,2023; 2024; 2025,4.516183390183997,5.536500724432235,4.275834387761806,4.393698606493793
lightgbm_individual_selection,S_свежие_овощи,Свежие овощи,G04,"Овощи, фрукты и картофель",1,12,2023; 2024; 2025,6.447645214171673,9.126093696940172,4.73207097207188,4.5811830133235265
lightgbm_individual_selection,S_молоко_питьевое,Молоко питьевое,G02,Молочная продукция и яйца,1,12,2023; 2024; 2025,6.195208698561859,7.004864890918202,4.917058340083582,4.938477670940976
prophet_individual,S_бензины_автомобильные,Бензины автомобильные,G10,Топливо и транспортные товары,1,8,2020; 2021,5.510119157779142,8.560944128019775,5.683387034001421,5.233173400490315
lightgbm_individual_selection,S_дизельное_топливо,Дизельное топливо,G10,Топливо и транспортные товары,1,12,2020; 2021; 2022,7.926532744177642,9.551733825077779,6.251470621990627,5.985879529130533
lightgbm_individual_selection,S_свежие_фрукты,Свежие фрукты,G04,"Овощи, фрукты и картофель",1,12,2023; 2024; 2025,7.940818616260832,11.54589875326663,5.770368424859928,6.059646441933335
lightgbm_individual_selection,S_сыры,сыры,G02,Молочная продукция и яйца,1,12,2023; 2024; 2025,8.174054952922624,10.682946072405327,6.199591047954548,6.384856634850951
lightgbm_individual_selection,S_маргариновая_продукция,Маргариновая продукция,G05,"Бакалея, масло, сахар, чай, соль",1,12,2023; 2024; 2025,5.392478013971357,6.251580357280544,6.4133692000002505,6.449878855825768
prophet_individual,S_лампы_накаливания_включая_галогенные_кроме_ламп_для_автотранспортных_средств,"Лампы накаливания (включая галогенные, кроме ламп для автотранспортных средств)",G10,Топливо и транспортные товары,1,12,2022; 2023; 2024,3.6299752753560206,4.320608444715153,6.833496846536765,6.639957692552563
lightgbm_individual_selection,S_свежий_картофель,Свежий картофель,G04,"Овощи, фрукты и картофель",1,12,2023; 2024; 2025,15.102523523083567,17.69720451362841,11.585017200434566,10.493416469654008
prophet_individual,S_консервы_молочные_молочные_составные_сухие_сублимированные,"Консервы молочные, молочные составные сухие, сублимированные",G02,Молочная продукция и яйца,1,12,2023; 2024; 2025,15.404779130921042,18.797015207154672,14.12743978447242,13.41119725974888
prophet_individual,S_стиральные_машины,Стиральные машины,G07,"Товары для дома, гигиены и бытовая химия",1,12,2023; 2024; 2025,18.912739278827953,23.83328522631535,14.891449397794009,13.543820552233582
prophet_individual,S_автомобили_легковые,Автомобили легковые,G10,Топливо и транспортные товары,1,12,2023; 2024; 2025,23.5519804908366,29.70108468775998,13.538455687649586,13.91791968958439
prophet_individual,S_газовое_моторное_топливо,Газовое моторное топливо,G10,Топливо и транспортные товары,1,12,2020; 2021; 2022,31.084510458398427,39.44830336572187,22.248917988337915,19.278886555246107
