model,product_code,product_name,group_code,group_name,cv_years,observations_count,MAE,RMSE,MAPE_%,WAPE_%
prophet,S_мясо_животных,Мясо животных,G03,"Мясо, птица, рыба и колбасные изделия",2023; 2024; 2025,12,2.730612253843082,3.593346377430966,2.6823468785572597,2.646211142176812
prophet,S_мясо_домашней_птицы,Мясо домашней птицы,G03,"Мясо, птица, рыба и колбасные изделия",2023; 2024; 2025,12,3.741845501286695,4.741986380584546,3.0297498213047254,3.1107956068293428
seasonal_naive,S_мука,Мука,G01,"Хлеб, крупы, мука и макаронные изделия",2023; 2024; 2025,12,3.9148875833333356,5.231372381262439,3.773490378202334,3.8087107261538238
prophet,S_чай,Чай,G05,"Бакалея, масло, сахар, чай, соль",2023; 2024; 2025,12,3.918503382665173,4.697639805150254,3.7531666870897857,3.9286748002966365
lightgbm_global,S_макаронные_изделия,Макаронные изделия,G01,"Хлеб, крупы, мука и макаронные изделия",2023; 2024; 2025,12,4.838151697535775,6.588581113237321,4.210071833788128,4.2187365599333315
lightgbm_global,S_молоко_питьевое,Молоко питьевое,G02,Молочная продукция и яйца,2023; 2024; 2025,12,6.195208698561859,7.004864890918202,4.917058340083582,4.938477670940976
prophet,S_бензины_автомобильные,Бензины автомобильные,G10,Топливо и транспортные товары,2020; 2021,8,5.557467102201956,8.553129124469514,5.731494629004375,5.278141575628878
seasonal_naive,S_маргариновая_продукция,Маргариновая продукция,G05,"Бакалея, масло, сахар, чай, соль",2023; 2024; 2025,12,4.680530666666667,5.484402840415416,5.599599559346621,5.598327096144145
seasonal_naive,S_дизельное_топливо,Дизельное топливо,G10,Топливо и транспортные товары,2020; 2021; 2022,12,7.481133249999991,10.101644834118536,5.930616296927509,5.649527204535462
lightgbm_global,S_сыры,сыры,G02,Молочная продукция и яйца,2023; 2024; 2025,12,8.174054952922624,10.682946072405327,6.199591047954548,6.384856634850951
lightgbm_global,S_свежие_овощи,Свежие овощи,G04,"Овощи, фрукты и картофель",2023; 2024; 2025,12,9.61039849588591,11.514428912895765,7.031710615785845,6.828383522693351
lightgbm_global,S_свежие_фрукты,Свежие фрукты,G04,"Овощи, фрукты и картофель",2023; 2024; 2025,12,9.66661233233713,14.2643893714471,6.977026246355897,7.376601312268476
seasonal_naive,S_лампы_накаливания_включая_галогенные_кроме_ламп_для_автотранспортных_средств,"Лампы накаливания (включая галогенные, кроме ламп для автотранспортных средств)",G10,Топливо и транспортные товары,2022; 2023; 2024,12,6.1316861666666655,7.620534547487946,12.378123039558266,11.216092023294374
seasonal_naive,S_консервы_молочные_молочные_составные_сухие_сублимированные,"Консервы молочные, молочные составные сухие, сублимированные",G02,Молочная продукция и яйца,2023; 2024; 2025,12,13.163642083333334,16.74542219784892,12.372305386841736,11.460092944919738
prophet,S_стиральные_машины,Стиральные машины,G07,"Товары для дома, гигиены и бытовая химия",2023; 2024; 2025,12,18.912739278827953,23.83328522631535,14.891449397794009,13.543820552233582
prophet,S_свежий_картофель,Свежий картофель,G04,"Овощи, фрукты и картофель",2023; 2024; 2025,12,19.616901131217094,24.202558823078075,14.543982796019309,13.630060770920657
prophet,S_автомобили_легковые,Автомобили легковые,G10,Топливо и транспортные товары,2023; 2024; 2025,12,23.5519804908366,29.70108468775998,13.538455687649586,13.91791968958439
prophet,S_газовое_моторное_топливо,Газовое моторное топливо,G10,Топливо и транспортные товары,2020; 2021; 2022,12,31.763403927483512,43.22561755337583,22.94254792219037,19.69994225085069
