model,group_code,group_name,products_count,observations_count,cv_years,MAE,RMSE,MAPE_%,WAPE_%
seasonal_naive,G05,"Бакалея, масло, сахар, чай, соль",2,24,2023; 2024; 2025,4.587132958333334,5.3956033221818265,5.133435450204918,5.003772621481656
prophet,G05,"Бакалея, масло, сахар, чай, соль",2,24,2023; 2024; 2025,5.323044711145806,7.81246234218849,5.540941043805616,5.806525694915033
lightgbm_global,G05,"Бакалея, масло, сахар, чай, соль",2,24,2023; 2024; 2025,5.735842196521361,6.429584105850927,6.366628325497469,6.256816709869428
lightgbm_global,G02,Молочная продукция и яйца,3,36,2023; 2024; 2025,9.972380451669634,13.572232208938166,8.5931562638715,8.122256882997425
seasonal_naive,G02,Молочная продукция и яйца,3,36,2023; 2024; 2025,10.12596883333333,13.30287261069259,8.5775660746292,8.247350815801354
prophet,G02,Молочная продукция и яйца,3,36,2023; 2024; 2025,10.735411187819924,13.755092973535357,9.151495071385186,8.74372651892549
prophet,G03,"Мясо, птица, рыба и колбасные изделия",2,24,2023; 2024; 2025,3.2362288775648884,4.207051997649041,2.8560483499309925,2.8962741820823696
seasonal_naive,G03,"Мясо, птица, рыба и колбасные изделия",2,24,2023; 2024; 2025,4.307933791666667,5.789866818664713,3.705652493723738,3.8554001867484438
lightgbm_global,G03,"Мясо, птица, рыба и колбасные изделия",2,24,2023; 2024; 2025,7.339371981534451,9.469584733867235,6.347688255664326,6.568396237416846
prophet,G04,"Овощи, фрукты и картофель",3,36,2023; 2024; 2025,14.208670338734699,18.15768524893351,10.474475119085694,10.253785815999693
lightgbm_global,G04,"Овощи, фрукты и картофель",3,36,2023; 2024; 2025,14.909404347645806,19.76937173054038,11.481491533864723,10.75947538934236
seasonal_naive,G04,"Овощи, фрукты и картофель",3,36,2023; 2024; 2025,16.906566305555558,20.815871009500817,12.361845662733744,12.200741212819318
prophet,G07,"Товары для дома, гигиены и бытовая химия",1,12,2023; 2024; 2025,18.912739278827953,23.83328522631535,14.891449397794009,13.543820552233582
seasonal_naive,G07,"Товары для дома, гигиены и бытовая химия",1,12,2023; 2024; 2025,23.380161250000004,29.14916366926694,17.65953122059454,16.743037789706626
lightgbm_global,G07,"Товары для дома, гигиены и бытовая химия",1,12,2023; 2024; 2025,24.364942407257605,28.779473702466042,17.857701756596626,17.448260818506526
prophet,G10,Топливо и транспортные товары,5,56,2020; 2021; 2022; 2023; 2024; 2025,16.162191393901853,25.448351768157796,12.844250404850419,12.832799634618446
seasonal_naive,G10,Топливо и транспортные товары,5,56,2020; 2021; 2022; 2023; 2024; 2025,20.123032553571427,29.875677443008357,15.36355878734581,15.977712335365672
lightgbm_global,G10,Топливо и транспортные товары,5,56,2020; 2021; 2022; 2023; 2024; 2025,22.253142588592898,30.383695328996595,19.321377973863303,17.669022295315436
seasonal_naive,G01,"Хлеб, крупы, мука и макаронные изделия",2,24,2023; 2024; 2025,4.541904125,6.666792684449787,4.146245820488295,4.177035535416914
lightgbm_global,G01,"Хлеб, крупы, мука и макаронные изделия",2,24,2023; 2024; 2025,5.5914009121239445,6.771034551657489,5.200060513911599,5.142222217802597
prophet,G01,"Хлеб, крупы, мука и макаронные изделия",2,24,2023; 2024; 2025,5.703267170423452,6.982311166628309,5.131774133297534,5.245101830245135
