model,product_code,product_name,group_code,group_name,cv_year,period,period_end,train_start,train_end,actual_target_demand_index,forecast_target_demand_index,model_params,error,abs_error,ape_%
seasonal_naive,S_автомобили_легковые,Автомобили легковые,G10,Топливо и транспортные товары,2023,2023Q1,2023-03-31,2017Q1,2022Q4,118.327224,156.617409,same quarter previous year,38.29018500000001,38.29018500000001,32.359573482430385
seasonal_naive,S_автомобили_легковые,Автомобили легковые,G10,Топливо и транспортные товары,2023,2023Q2,2023-06-30,2017Q1,2022Q4,153.480192,111.325493,same quarter previous year,-42.154698999999994,42.154698999999994,27.4658888881244
seasonal_naive,S_автомобили_легковые,Автомобили легковые,G10,Топливо и транспортные товары,2023,2023Q3,2023-09-30,2017Q1,2022Q4,187.270948,101.264365,same quarter previous year,-86.006583,86.006583,45.9262816355263
seasonal_naive,S_автомобили_легковые,Автомобили легковые,G10,Топливо и транспортные товары,2023,2023Q4,2023-12-31,2017Q1,2022Q4,166.589977,102.055567,same quarter previous year,-64.53441000000001,64.53441000000001,38.73847104258859
prophet,S_автомобили_легковые,Автомобили легковые,G10,Топливо и транспортные товары,2023,2023Q1,2023-03-31,2017Q1,2022Q4,118.327224,135.2928227999877,"{'changepoint_prior_scale': 0.1, 'seasonality_prior_scale': 10.0}",16.965598799987703,16.965598799987703,14.337865984236817
prophet,S_автомобили_легковые,Автомобили легковые,G10,Топливо и транспортные товары,2023,2023Q2,2023-06-30,2017Q1,2022Q4,153.480192,142.69937406598171,"{'changepoint_prior_scale': 0.1, 'seasonality_prior_scale': 10.0}",-10.780817934018273,10.780817934018273,7.024240583448236
prophet,S_автомобили_легковые,Автомобили легковые,G10,Топливо и транспортные товары,2023,2023Q3,2023-09-30,2017Q1,2022Q4,187.270948,150.1081208952659,"{'changepoint_prior_scale': 0.1, 'seasonality_prior_scale': 10.0}",-37.162827104734106,37.162827104734106,19.844416606858907
prophet,S_автомобили_легковые,Автомобили легковые,G10,Топливо и транспортные товары,2023,2023Q4,2023-12-31,2017Q1,2022Q4,166.589977,175.0724635936274,"{'changepoint_prior_scale': 0.1, 'seasonality_prior_scale': 10.0}",8.482486593627385,8.482486593627385,5.091834902904984
seasonal_naive,S_автомобили_легковые,Автомобили легковые,G10,Топливо и транспортные товары,2024,2024Q1,2024-03-31,2017Q1,2023Q4,167.540049,118.327224,same quarter previous year,-49.21282500000001,49.21282500000001,29.373767820731633
seasonal_naive,S_автомобили_легковые,Автомобили легковые,G10,Топливо и транспортные товары,2024,2024Q2,2024-06-30,2017Q1,2023Q4,194.910813,153.480192,same quarter previous year,-41.430621,41.430621,21.25619423689952
seasonal_naive,S_автомобили_легковые,Автомобили легковые,G10,Топливо и транспортные товары,2024,2024Q3,2024-09-30,2017Q1,2023Q4,228.395741,187.270948,same quarter previous year,-41.12479299999998,41.12479299999998,18.00593689704572
seasonal_naive,S_автомобили_легковые,Автомобили легковые,G10,Топливо и транспортные товары,2024,2024Q4,2024-12-31,2017Q1,2023Q4,172.532576,166.589977,same quarter previous year,-5.942599000000001,5.942599000000001,3.444334477449639
prophet,S_автомобили_легковые,Автомобили легковые,G10,Топливо и транспортные товары,2024,2024Q1,2024-03-31,2017Q1,2023Q4,167.540049,140.94383134344574,"{'changepoint_prior_scale': 0.1, 'seasonality_prior_scale': 10.0}",-26.596217656554273,26.596217656554273,15.874543319820965
prophet,S_автомобили_легковые,Автомобили легковые,G10,Топливо и транспортные товары,2024,2024Q2,2024-06-30,2017Q1,2023Q4,194.910813,145.66369094520368,"{'changepoint_prior_scale': 0.1, 'seasonality_prior_scale': 10.0}",-49.24712205479631,49.24712205479631,25.26649050240035
