model,product_code,product_name,group_code,group_name,cv_years,observations_count,MAE,RMSE,MAPE_%,WAPE_%
prophet,S_автомобили_легковые,Автомобили легковые,G10,Топливо и транспортные товары,2023; 2024; 2025,12,23.5519804908366,29.70108468775998,13.538455687649586,13.91791968958439
lightgbm_global,S_автомобили_легковые,Автомобили легковые,G10,Топливо и транспортные товары,2023; 2024; 2025,12,34.99542759004479,42.97731823507486,19.861212946885264,20.680364901389577
seasonal_naive,S_автомобили_легковые,Автомобили легковые,G10,Топливо и транспортные товары,2023; 2024; 2025,12,42.31038175,47.045379108820356,25.580846832168763,25.003098803570705
prophet,S_бензины_автомобильные,Бензины автомобильные,G10,Топливо и транспортные товары,2020; 2021,8,5.557467102201956,8.553129124469514,5.731494629004375,5.278141575628878
lightgbm_global,S_бензины_автомобильные,Бензины автомобильные,G10,Топливо и транспортные товары,2020; 2021,8,7.985895888255792,11.586807452575533,8.279129524320316,7.584514371618292
seasonal_naive,S_бензины_автомобильные,Бензины автомобильные,G10,Топливо и транспортные товары,2020; 2021,8,8.54326525,11.964950253906133,8.913804580008932,8.113869624128599
prophet,S_газовое_моторное_топливо,Газовое моторное топливо,G10,Топливо и транспортные товары,2020; 2021; 2022,12,31.763403927483512,43.22561755337583,22.94254792219037,19.69994225085069
seasonal_naive,S_газовое_моторное_топливо,Газовое моторное топливо,G10,Топливо и транспортные товары,2020; 2021; 2022,12,32.28877391666668,41.18784188096577,21.86448511895329,20.025781335064305
lightgbm_global,S_газовое_моторное_топливо,Газовое моторное топливо,G10,Топливо и транспортные товары,2020; 2021; 2022,12,35.84839493882361,43.62279135072154,24.440348351547467,22.23348957475741
seasonal_naive,S_дизельное_топливо,Дизельное топливо,G10,Топливо и транспортные товары,2020; 2021; 2022,12,7.481133249999991,10.101644834118536,5.930616296927509,5.649527204535462
prophet,S_дизельное_топливо,Дизельное топливо,G10,Топливо и транспортные товары,2020; 2021; 2022,12,9.556301160212932,12.48197163473604,7.236419846137361,7.21663170206958
lightgbm_global,S_дизельное_топливо,Дизельное топливо,G10,Топливо и транспортные товары,2020; 2021; 2022,12,12.961269904878987,14.842065151490527,10.00612476906101,9.787961861652535
seasonal_naive,S_консервы_молочные_молочные_составные_сухие_сублимированные,"Консервы молочные, молочные составные сухие, сублимированные",G02,Молочная продукция и яйца,2023; 2024; 2025,12,13.163642083333334,16.74542219784892,12.372305386841736,11.460092944919738
prophet,S_консервы_молочные_молочные_составные_сухие_сублимированные,"Консервы молочные, молочные составные сухие, сублимированные",G02,Молочная продукция и яйца,2023; 2024; 2025,12,15.404779130921042,18.797015207154672,14.12743978447242,13.41119725974888
lightgbm_global,S_консервы_молочные_молочные_составные_сухие_сублимированные,"Консервы молочные, молочные составные сухие, сублимированные",G02,Молочная продукция и яйца,2023; 2024; 2025,12,15.547877703524415,19.733803294704156,14.662819403576366,13.535776987147905
seasonal_naive,S_лампы_накаливания_включая_галогенные_кроме_ламп_для_автотранспортных_средств,"Лампы накаливания (включая галогенные, кроме ламп для автотранспортных средств)",G10,Топливо и транспортные товары,2022; 2023; 2024,12,6.1316861666666655,7.620534547487946,12.378123039558266,11.216092023294374
prophet,S_лампы_накаливания_включая_галогенные_кроме_ламп_для_автотранспортных_средств,"Лампы накаливания (включая галогенные, кроме ламп для автотранспортных средств)",G10,Топливо и транспортные товары,2022; 2023; 2024,12,6.846896191540966,8.187883145462107,12.401415347321716,12.52435556401203
lightgbm_global,S_лампы_накаливания_включая_галогенные_кроме_ламп_для_автотранспортных_средств,"Лампы накаливания (включая галогенные, кроме ламп для автотранспортных средств)",G10,Топливо и транспортные товары,2022; 2023; 2024,12,14.718975720848933,15.758625726272486,30.33932479432147,26.923978443506
