model,product_code,product_name,group_code,group_name,cv_years,observations_count,MAE,RMSE,MAPE_%,WAPE_%
sarimax,S_мясо_животных,Мясо животных,G03,"Мясо, птица, рыба и колбасные изделия",2023; 2024; 2025,12,2.572743763320036,3.4649120895455687,2.453191696636696,2.4932222445283934
prophet,S_мясо_домашней_птицы,Мясо домашней птицы,G03,"Мясо, птица, рыба и колбасные изделия",2023; 2024; 2025,12,3.741845501286695,4.741986380584546,3.0297498213047254,3.1107956068293428
seasonal_naive,S_мука,Мука,G01,"Хлеб, крупы, мука и макаронные изделия",2023; 2024; 2025,12,3.9148875833333356,5.231372381262439,3.773490378202334,3.8087107261538238
sarimax,S_чай,Чай,G05,"Бакалея, масло, сахар, чай, соль",2023; 2024; 2025,12,3.8907253114683407,5.0394057963020025,4.02961789224747,3.9008246244375018
sarimax,S_свежие_овощи,Свежие овощи,G04,"Овощи, фрукты и картофель",2023; 2024; 2025,12,6.025001976392091,8.622210222296797,4.437742254944007,4.280886400017916
sarimax,S_макаронные_изделия,Макаронные изделия,G01,"Хлеб, крупы, мука и макаронные изделия",2023; 2024; 2025,12,4.941393611784672,6.470484323467354,4.291903840082082,4.3087606983623035
sarimax,S_молоко_питьевое,Молоко питьевое,G02,Молочная продукция и яйца,2023; 2024; 2025,12,6.139466073658023,6.894647633450092,4.829833779192234,4.894042733911149
prophet,S_бензины_автомобильные,Бензины автомобильные,G10,Топливо и транспортные товары,2020; 2021,8,5.557467102201956,8.553129124469514,5.731494629004375,5.278141575628878
sarimax,S_дизельное_топливо,Дизельное топливо,G10,Топливо и транспортные товары,2020; 2021; 2022,12,7.1021320591598505,10.173835822387845,5.792486619083339,5.363316884968876
seasonal_naive,S_маргариновая_продукция,Маргариновая продукция,G05,"Бакалея, масло, сахар, чай, соль",2023; 2024; 2025,12,4.680530666666667,5.484402840415416,5.599599559346621,5.598327096144145
sarimax,S_сыры,сыры,G02,Молочная продукция и яйца,2023; 2024; 2025,12,7.998177354295181,10.99989746174444,6.1396048468505375,6.247476441178952
lightgbm_global,S_свежие_фрукты,Свежие фрукты,G04,"Овощи, фрукты и картофель",2023; 2024; 2025,12,8.853587803504317,13.634157386867798,6.507087913145369,6.756181500228223
seasonal_naive,S_лампы_накаливания_включая_галогенные_кроме_ламп_для_автотранспортных_средств,"Лампы накаливания (включая галогенные, кроме ламп для автотранспортных средств)",G10,Топливо и транспортные товары,2022; 2023; 2024,12,6.1316861666666655,7.620534547487946,12.378123039558266,11.216092023294374
sarimax,S_консервы_молочные_молочные_составные_сухие_сублимированные,"Консервы молочные, молочные составные сухие, сублимированные",G02,Молочная продукция и яйца,2023; 2024; 2025,12,13.070069940351908,17.168238078396623,12.215102828823866,11.378630273051733
prophet,S_стиральные_машины,Стиральные машины,G07,"Товары для дома, гигиены и бытовая химия",2023; 2024; 2025,12,18.912739278827953,23.83328522631535,14.891449397794009,13.543820552233582
lightgbm_global,S_свежий_картофель,Свежий картофель,G04,"Овощи, фрукты и картофель",2023; 2024; 2025,12,19.598488243978245,22.98135855335332,15.988134798869622,13.617267273601438
prophet,S_автомобили_легковые,Автомобили легковые,G10,Топливо и транспортные товары,2023; 2024; 2025,12,23.5519804908366,29.70108468775998,13.538455687649586,13.91791968958439
prophet,S_газовое_моторное_топливо,Газовое моторное топливо,G10,Топливо и транспортные товары,2020; 2021; 2022,12,31.763403927483512,43.22561755337583,22.94254792219037,19.69994225085069
