model,group_code,group_name,products_count,observations_count,cv_years,MAE,RMSE,MAPE_%,WAPE_%
sarimax,G05,"Бакалея, масло, сахар, чай, соль",2,24,2023; 2024; 2025,4.563887165345713,5.487577671744196,5.080821543764025,4.978415461884881
seasonal_naive,G05,"Бакалея, масло, сахар, чай, соль",2,24,2023; 2024; 2025,4.587132958333334,5.3956033221818265,5.133435450204918,5.003772621481656
prophet,G05,"Бакалея, масло, сахар, чай, соль",2,24,2023; 2024; 2025,5.323044711145806,7.81246234218849,5.540941043805616,5.806525694915033
lightgbm_global,G05,"Бакалея, масло, сахар, чай, соль",2,24,2023; 2024; 2025,6.4635583787001165,7.945750537046644,7.308325318808197,7.050629826182113
sarimax,G02,Молочная продукция и яйца,3,36,2023; 2024; 2025,9.069237789435038,12.426883611413315,7.728180484955545,7.386669553551384
seasonal_naive,G02,Молочная продукция и яйца,3,36,2023; 2024; 2025,10.12596883333333,13.30287261069259,8.5775660746292,8.247350815801354
prophet,G02,Молочная продукция и яйца,3,36,2023; 2024; 2025,10.735411187819924,13.755092973535357,9.151495071385186,8.74372651892549
lightgbm_global,G02,Молочная продукция и яйца,3,36,2023; 2024; 2025,12.098899099771488,15.314740628510634,10.453133095800817,9.854253652482473
prophet,G03,"Мясо, птица, рыба и колбасные изделия",2,24,2023; 2024; 2025,3.2362288775648884,4.207051997649041,2.8560483499309925,2.8962741820823696
sarimax,G03,"Мясо, птица, рыба и колбасные изделия",2,24,2023; 2024; 2025,3.247407173199546,4.778319362267215,2.743290446796805,2.9062782362674078
seasonal_naive,G03,"Мясо, птица, рыба и колбасные изделия",2,24,2023; 2024; 2025,4.307933791666667,5.789866818664713,3.705652493723738,3.8554001867484438
lightgbm_global,G03,"Мясо, птица, рыба и колбасные изделия",2,24,2023; 2024; 2025,7.229499452911798,9.347714696670751,6.229006045883597,6.470065439439002
lightgbm_global,G04,"Овощи, фрукты и картофель",3,36,2023; 2024; 2025,12.755238168482622,16.957436462098322,9.899849618302008,9.204906377139018
sarimax,G04,"Овощи, фрукты и картофель",3,36,2023; 2024; 2025,13.15598410371635,17.718940030420054,9.472031633456957,9.494107469750546
prophet,G04,"Овощи, фрукты и картофель",3,36,2023; 2024; 2025,14.208670338734699,18.15768524893351,10.474475119085694,10.253785815999693
seasonal_naive,G04,"Овощи, фрукты и картофель",3,36,2023; 2024; 2025,16.906566305555558,20.815871009500817,12.361845662733744,12.200741212819318
prophet,G07,"Товары для дома, гигиены и бытовая химия",1,12,2023; 2024; 2025,18.912739278827953,23.83328522631535,14.891449397794009,13.543820552233582
lightgbm_global,G07,"Товары для дома, гигиены и бытовая химия",1,12,2023; 2024; 2025,20.626687856037197,24.159428071830284,15.430242830707789,14.771216098867301
sarimax,G07,"Товары для дома, гигиены и бытовая химия",1,12,2023; 2024; 2025,21.570949920238135,25.38266882226461,15.686931737151255,15.447422531117748
seasonal_naive,G07,"Товары для дома, гигиены и бытовая химия",1,12,2023; 2024; 2025,23.380161250000004,29.14916366926694,17.65953122059454,16.743037789706626
prophet,G10,Топливо и транспортные товары,5,56,2020; 2021; 2022; 2023; 2024; 2025,16.162191393901853,25.448351768157796,12.844250404850419,12.832799634618446
sarimax,G10,Топливо и транспортные товары,5,56,2020; 2021; 2022; 2023; 2024; 2025,17.4089431939074,28.191671012236522,13.551845284861756,13.822722081002034
seasonal_naive,G10,Топливо и транспортные товары,5,56,2020; 2021; 2022; 2023; 2024; 2025,20.123032553571427,29.875677443008357,15.36355878734581,15.977712335365672
lightgbm_global,G10,Топливо и транспортные товары,5,56,2020; 2021; 2022; 2023; 2024; 2025,21.43824800420787,30.60796139441611,18.275191811752972,17.021995003663985
seasonal_naive,G01,"Хлеб, крупы, мука и макаронные изделия",2,24,2023; 2024; 2025,4.541904125,6.666792684449787,4.146245820488295,4.177035535416914
sarimax,G01,"Хлеб, крупы, мука и макаронные изделия",2,24,2023; 2024; 2025,4.990870535628455,6.333535026303339,4.5280999513074605,4.589934751206423
prophet,G01,"Хлеб, крупы, мука и макаронные изделия",2,24,2023; 2024; 2025,5.703267170423452,6.982311166628309,5.131774133297534,5.245101830245135
lightgbm_global,G01,"Хлеб, крупы, мука и макаронные изделия",2,24,2023; 2024; 2025,5.8248188923499145,7.824248132004332,5.267756402024629,5.35688883584996
