model,product_code,product_name,group_code,group_name,cv_year,period,period_end,train_start,train_end,actual_target_demand_index,forecast_target_demand_index,model_params,error,abs_error,ape_%
seasonal_naive,S_автомобили_легковые,Автомобили легковые,G10,Топливо и транспортные товары,2023,2023Q1,2023-03-31,2017Q1,2022Q4,118.327224,156.617409,same quarter previous year,38.29018500000001,38.29018500000001,32.359573482430385
seasonal_naive,S_автомобили_легковые,Автомобили легковые,G10,Топливо и транспортные товары,2023,2023Q2,2023-06-30,2017Q1,2022Q4,153.480192,111.325493,same quarter previous year,-42.154698999999994,42.154698999999994,27.4658888881244
seasonal_naive,S_автомобили_легковые,Автомобили легковые,G10,Топливо и транспортные товары,2023,2023Q3,2023-09-30,2017Q1,2022Q4,187.270948,101.264365,same quarter previous year,-86.006583,86.006583,45.9262816355263
seasonal_naive,S_автомобили_легковые,Автомобили легковые,G10,Топливо и транспортные товары,2023,2023Q4,2023-12-31,2017Q1,2022Q4,166.589977,102.055567,same quarter previous year,-64.53441000000001,64.53441000000001,38.73847104258859
sarimax,S_автомобили_легковые,Автомобили легковые,G10,Топливо и транспортные товары,2023,2023Q1,2023-03-31,2017Q1,2022Q4,118.327224,128.46373666646969,"{'order': (1, 1, 2), 'seasonal_order': (0, 0, 1, 4)}",10.136512666469685,10.136512666469685,8.566509315277846
sarimax,S_автомобили_легковые,Автомобили легковые,G10,Топливо и транспортные товары,2023,2023Q2,2023-06-30,2017Q1,2022Q4,153.480192,141.39774663128648,"{'order': (1, 1, 2), 'seasonal_order': (0, 0, 1, 4)}",-12.082445368713508,12.082445368713508,7.8723157765619085
sarimax,S_автомобили_легковые,Автомобили легковые,G10,Топливо и транспортные товары,2023,2023Q3,2023-09-30,2017Q1,2022Q4,187.270948,143.85937888173686,"{'order': (1, 1, 2), 'seasonal_order': (0, 0, 1, 4)}",-43.411569118263145,43.411569118263145,23.18115520954331
sarimax,S_автомобили_легковые,Автомобили легковые,G10,Топливо и транспортные товары,2023,2023Q4,2023-12-31,2017Q1,2022Q4,166.589977,144.39913976753544,"{'order': (1, 1, 2), 'seasonal_order': (0, 0, 1, 4)}",-22.19083723246456,22.19083723246456,13.32063166829332
prophet,S_автомобили_легковые,Автомобили легковые,G10,Топливо и транспортные товары,2023,2023Q1,2023-03-31,2017Q1,2022Q4,118.327224,135.2928227999877,"{'changepoint_prior_scale': 0.1, 'seasonality_prior_scale': 10.0}",16.965598799987703,16.965598799987703,14.337865984236817
prophet,S_автомобили_легковые,Автомобили легковые,G10,Топливо и транспортные товары,2023,2023Q2,2023-06-30,2017Q1,2022Q4,153.480192,142.69937406598171,"{'changepoint_prior_scale': 0.1, 'seasonality_prior_scale': 10.0}",-10.780817934018273,10.780817934018273,7.024240583448236
prophet,S_автомобили_легковые,Автомобили легковые,G10,Топливо и транспортные товары,2023,2023Q3,2023-09-30,2017Q1,2022Q4,187.270948,150.1081208952659,"{'changepoint_prior_scale': 0.1, 'seasonality_prior_scale': 10.0}",-37.162827104734106,37.162827104734106,19.844416606858907
prophet,S_автомобили_легковые,Автомобили легковые,G10,Топливо и транспортные товары,2023,2023Q4,2023-12-31,2017Q1,2022Q4,166.589977,175.0724635936274,"{'changepoint_prior_scale': 0.1, 'seasonality_prior_scale': 10.0}",8.482486593627385,8.482486593627385,5.091834902904984
seasonal_naive,S_автомобили_легковые,Автомобили легковые,G10,Топливо и транспортные товары,2024,2024Q1,2024-03-31,2017Q1,2023Q4,167.540049,118.327224,same quarter previous year,-49.21282500000001,49.21282500000001,29.373767820731633
