model,product_code,product_name,group_code,group_name,cv_years,observations_count,MAE,RMSE,MAPE_%,WAPE_%
prophet,S_автомобили_легковые,Автомобили легковые,G10,Топливо и транспортные товары,2023; 2024; 2025,12,23.5519804908366,29.70108468775998,13.538455687649586,13.91791968958439
sarimax,S_автомобили_легковые,Автомобили легковые,G10,Топливо и транспортные товары,2023; 2024; 2025,12,28.106378198882357,35.79667244321098,16.166118007942288,16.6093171947611
lightgbm_global,S_автомобили_легковые,Автомобили легковые,G10,Топливо и транспортные товары,2023; 2024; 2025,12,32.771412705279225,39.86679822051286,18.910141212604124,19.366094937271246
seasonal_naive,S_автомобили_легковые,Автомобили легковые,G10,Топливо и транспортные товары,2023; 2024; 2025,12,42.31038175,47.045379108820356,25.580846832168763,25.003098803570705
prophet,S_бензины_автомобильные,Бензины автомобильные,G10,Топливо и транспортные товары,2020; 2021,8,5.557467102201956,8.553129124469514,5.731494629004375,5.278141575628878
sarimax,S_бензины_автомобильные,Бензины автомобильные,G10,Топливо и транспортные товары,2020; 2021,8,6.964073066267064,12.330589960766298,7.428194650725842,6.614049694008557
seasonal_naive,S_бензины_автомобильные,Бензины автомобильные,G10,Топливо и транспортные товары,2020; 2021,8,8.54326525,11.964950253906133,8.913804580008932,8.113869624128599
lightgbm_global,S_бензины_автомобильные,Бензины автомобильные,G10,Топливо и транспортные товары,2020; 2021,8,9.26424108552413,13.845254158804517,9.537707923832418,8.798608276201936
prophet,S_газовое_моторное_топливо,Газовое моторное топливо,G10,Топливо и транспортные товары,2020; 2021; 2022,12,31.763403927483512,43.22561755337583,22.94254792219037,19.69994225085069
seasonal_naive,S_газовое_моторное_топливо,Газовое моторное топливо,G10,Топливо и транспортные товары,2020; 2021; 2022,12,32.28877391666668,41.18784188096577,21.86448511895329,20.025781335064305
sarimax,S_газовое_моторное_топливо,Газовое моторное топливо,G10,Топливо и транспортные товары,2020; 2021; 2022,12,35.122656386078,46.44786936444084,24.651365081540376,21.783380146594585
