model,product_code,product_name,group_code,group_name,cv_years,observations_count,MAE,RMSE,MAPE_%,WAPE_%
sarimax_exog,S_мясо_животных,Мясо животных,G03,"Мясо, птица, рыба и колбасные изделия",2023; 2024; 2025,12,3.212111309713555,3.9521454583931783,3.11990436436191,3.112827434841147
sarimax_exog,S_молоко_питьевое,Молоко питьевое,G02,Молочная продукция и яйца,2023; 2024; 2025,12,5.0270780952110785,6.315932751642853,4.071238135389843,4.007308572032365
lightgbm_exog,S_макаронные_изделия,Макаронные изделия,G01,"Хлеб, крупы, мука и макаронные изделия",2023; 2024; 2025,12,4.838151697535775,6.588581113237321,4.210071833788128,4.2187365599333315
sarimax_exog,S_свежие_овощи,Свежие овощи,G04,"Овощи, фрукты и картофель",2023; 2024; 2025,12,6.491580330979139,9.362585242525032,4.751848373924341,4.6123998070708545
sarimax_exog,S_сыры,сыры,G02,Молочная продукция и яйца,2023; 2024; 2025,12,5.994905332218951,7.9516343284422755,4.7486446457112175,4.682695590642654
prophet_exog,S_чай,Чай,G05,"Бакалея, масло, сахар, чай, соль",2023; 2024; 2025,12,4.765104757476389,5.7375609949590185,4.640581954297438,4.777473732519356
sarimax_exog,S_мука,Мука,G01,"Хлеб, крупы, мука и макаронные изделия",2023; 2024; 2025,12,5.29623374978911,6.845861842826707,5.22252447441208,5.152592982980202
prophet_exog,S_мясо_домашней_птицы,Мясо домашней птицы,G03,"Мясо, птица, рыба и колбасные изделия",2023; 2024; 2025,12,6.810936281986973,9.099189169887538,5.402297532925138,5.66229435638484
lightgbm_exog,S_маргариновая_продукция,Маргариновая продукция,G05,"Бакалея, масло, сахар, чай, соль",2023; 2024; 2025,12,5.392478013971357,6.251580357280544,6.4133692000002505,6.449878855825768
lightgbm_exog,S_свежие_фрукты,Свежие фрукты,G04,"Овощи, фрукты и картофель",2023; 2024; 2025,12,9.66661233233713,14.2643893714471,6.977026246355897,7.376601312268476
lightgbm_exog,S_бензины_автомобильные,Бензины автомобильные,G10,Топливо и транспортные товары,2020; 2021,8,7.985895888255792,11.586807452575533,8.279129524320316,7.584514371618292
lightgbm_exog,S_дизельное_топливо,Дизельное топливо,G10,Топливо и транспортные товары,2020; 2021; 2022,12,12.961269904878987,14.842065151490527,10.00612476906101,9.787961861652535
sarimax_exog,S_консервы_молочные_молочные_составные_сухие_сублимированные,"Консервы молочные, молочные составные сухие, сублимированные",G02,Молочная продукция и яйца,2023; 2024; 2025,12,13.348381270343275,20.827181210526724,13.11579802274225,11.6209244412716
prophet_exog,S_лампы_накаливания_включая_галогенные_кроме_ламп_для_автотранспортных_средств,"Лампы накаливания (включая галогенные, кроме ламп для автотранспортных средств)",G10,Топливо и транспортные товары,2022; 2023; 2024,12,6.8004735098122,8.606346016885018,13.357998061915847,12.43943910611037
prophet_exog,S_стиральные_машины,Стиральные машины,G07,"Товары для дома, гигиены и бытовая химия",2023; 2024; 2025,12,22.369703333864464,27.215308542544243,15.305158414109723,16.019427080017206
lightgbm_exog,S_свежий_картофель,Свежий картофель,G04,"Овощи, фрукты и картофель",2023; 2024; 2025,12,25.45120221471438,28.921087436859715,20.43573773945243,17.683803907616706
sarimax_exog,S_автомобили_легковые,Автомобили легковые,G10,Топливо и транспортные товары,2023; 2024; 2025,12,30.67692477986553,47.77555562049345,16.162775313363376,18.128368252330514
lightgbm_exog,S_газовое_моторное_топливо,Газовое моторное топливо,G10,Топливо и транспортные товары,2020; 2021; 2022,12,35.84839493882361,43.62279135072154,24.440348351547467,22.23348957475741
