model,group_code,group_name,products_count,observations_count,cv_years,MAE,RMSE,MAPE_%,WAPE_%
lightgbm_exog,G05,"Бакалея, масло, сахар, чай, соль",2,24,2023; 2024; 2025,5.735842196521361,6.429584105850927,6.366628325497469,6.256816709869428
sarimax_exog,G05,"Бакалея, масло, сахар, чай, соль",2,24,2023; 2024; 2025,6.107733461856289,7.772372479640623,6.848119760482428,6.662486078635055
prophet_exog,G05,"Бакалея, масло, сахар, чай, соль",2,24,2023; 2024; 2025,8.361758658472512,11.13533613642719,9.126803914950955,9.121239655085994
seasonal_naive_exog,G05,"Бакалея, масло, сахар, чай, соль",2,24,2023; 2024; 2025,9.360909188993233,14.612899202697987,9.96772076680379,10.211140932151865
sarimax_exog,G02,Молочная продукция и яйца,3,36,2023; 2024; 2025,8.123454899257771,13.37772990449244,7.311893601281103,6.616352814554793
seasonal_naive_exog,G02,Молочная продукция и яйца,3,36,2023; 2024; 2025,9.113390469207776,12.827865045839564,8.103637417428162,7.422630817657273
lightgbm_exog,G02,Молочная продукция и яйца,3,36,2023; 2024; 2025,9.972380451669634,13.572232208938166,8.5931562638715,8.122256882997425
prophet_exog,G02,Молочная продукция и яйца,3,36,2023; 2024; 2025,15.901275314326028,21.35035933381635,13.495904998230657,12.95119490237638
sarimax_exog,G03,"Мясо, птица, рыба и колбасные изделия",2,24,2023; 2024; 2025,5.708781324398789,7.645227088177326,4.828919192743196,5.109093511782586
prophet_exog,G03,"Мясо, птица, рыба и колбасные изделия",2,24,2023; 2024; 2025,6.188941859302628,8.238104265781526,5.387246297173146,5.538814836543543
lightgbm_exog,G03,"Мясо, птица, рыба и колбасные изделия",2,24,2023; 2024; 2025,7.339371981534451,9.469584733867235,6.347688255664326,6.568396237416846
seasonal_naive_exog,G03,"Мясо, птица, рыба и колбасные изделия",2,24,2023; 2024; 2025,9.558957564840663,14.52045609306705,8.107769303601774,8.554822001187047
lightgbm_exog,G04,"Овощи, фрукты и картофель",3,36,2023; 2024; 2025,14.909404347645806,19.76937173054038,11.481491533864723,10.75947538934236
sarimax_exog,G04,"Овощи, фрукты и картофель",3,36,2023; 2024; 2025,15.892548592545117,24.70768935198883,11.439773479020102,11.468968274538536
prophet_exog,G04,"Овощи, фрукты и картофель",3,36,2023; 2024; 2025,22.595224960749672,27.540449270376904,15.983696460992263,16.30600131387728
seasonal_naive_exog,G04,"Овощи, фрукты и картофель",3,36,2023; 2024; 2025,27.897063160040343,35.4086775524979,19.986357226276503,20.13210974137798
prophet_exog,G07,"Товары для дома, гигиены и бытовая химия",1,12,2023; 2024; 2025,22.369703333864464,27.215308542544243,15.305158414109723,16.019427080017206
seasonal_naive_exog,G07,"Товары для дома, гигиены и бытовая химия",1,12,2023; 2024; 2025,22.824539409521805,28.893814174471544,16.709342230504568,16.345145004775006
lightgbm_exog,G07,"Товары для дома, гигиены и бытовая химия",1,12,2023; 2024; 2025,24.364942407257605,28.779473702466042,17.857701756596626,17.448260818506526
sarimax_exog,G07,"Товары для дома, гигиены и бытовая химия",1,12,2023; 2024; 2025,32.91828732199292,43.48755782867134,23.516338607415047,23.57349561070918
lightgbm_exog,G10,Топливо и транспортные товары,5,56,2020; 2021; 2022; 2023; 2024; 2025,22.253142588592898,30.383695328996595,19.321377973863303,17.669022295315436
sarimax_exog,G10,Топливо и транспортные товары,5,56,2020; 2021; 2022; 2023; 2024; 2025,23.48431115173391,35.40455883466262,17.41884382975187,18.646571632665253
prophet_exog,G10,Топливо и транспортные товары,5,56,2020; 2021; 2022; 2023; 2024; 2025,30.07421127674501,45.335489541839564,21.419501983812207,23.878960351210093
seasonal_naive_exog,G10,Топливо и транспортные товары,5,56,2020; 2021; 2022; 2023; 2024; 2025,31.405781217326307,45.85711137803504,23.415240335985963,24.93622850442649
lightgbm_exog,G01,"Хлеб, крупы, мука и макаронные изделия",2,24,2023; 2024; 2025,5.5914009121239445,6.771034551657489,5.200060513911599,5.142222217802597
seasonal_naive_exog,G01,"Хлеб, крупы, мука и макаронные изделия",2,24,2023; 2024; 2025,6.634632428466379,8.605249131203637,6.096150465161304,6.10164694265392
sarimax_exog,G01,"Хлеб, крупы, мука и макаронные изделия",2,24,2023; 2024; 2025,7.623113680913762,10.214977287607923,6.994089266323779,7.010719702433088
prophet_exog,G01,"Хлеб, крупы, мука и макаронные изделия",2,24,2023; 2024; 2025,11.054822239622522,13.485093621787062,10.075641932360268,10.166745942181347
