model,product_code,product_name,group_code,group_name,cv_years,observations_count,MAE,RMSE,MAPE_%,WAPE_%
sarimax_exog,S_автомобили_легковые,Автомобили легковые,G10,Топливо и транспортные товары,2023; 2024; 2025,12,30.67692477986553,47.77555562049345,16.162775313363376,18.128368252330514
lightgbm_exog,S_автомобили_легковые,Автомобили легковые,G10,Топливо и транспортные товары,2023; 2024; 2025,12,34.99542759004479,42.97731823507486,19.861212946885264,20.680364901389577
prophet_exog,S_автомобили_легковые,Автомобили легковые,G10,Топливо и транспортные товары,2023; 2024; 2025,12,58.48733209014665,77.81309412215708,32.81880065237842,34.56278299845849
seasonal_naive_exog,S_автомобили_легковые,Автомобили легковые,G10,Топливо и транспортные товары,2023; 2024; 2025,12,60.77686274700623,79.02576691983677,33.013800374453034,35.91576916543544
lightgbm_exog,S_бензины_автомобильные,Бензины автомобильные,G10,Топливо и транспортные товары,2020; 2021,8,7.985895888255792,11.586807452575533,8.279129524320316,7.584514371618292
seasonal_naive_exog,S_бензины_автомобильные,Бензины автомобильные,G10,Топливо и транспортные товары,2020; 2021,8,9.51654220421667,11.534663843530527,9.293139824570613,9.038228412436505
prophet_exog,S_бензины_автомобильные,Бензины автомобильные,G10,Топливо и транспортные товары,2020; 2021,8,13.462054627969486,16.407219715145438,13.238586415503464,12.785434248836117
sarimax_exog,S_бензины_автомобильные,Бензины автомобильные,G10,Топливо и транспортные товары,2020; 2021,8,18.757789967821687,21.025914141922936,18.354478098674594,17.814999040992266
lightgbm_exog,S_газовое_моторное_топливо,Газовое моторное топливо,G10,Топливо и транспортные товары,2020; 2021; 2022,12,35.84839493882361,43.62279135072154,24.440348351547467,22.23348957475741
sarimax_exog,S_газовое_моторное_топливо,Газовое моторное топливо,G10,Топливо и транспортные товары,2020; 2021; 2022,12,41.191289244119844,50.96590692139728,26.40635526964774,25.547199575959844
seasonal_naive_exog,S_газовое_моторное_топливо,Газовое моторное топливо,G10,Топливо и транспортные товары,2020; 2021; 2022,12,42.53163414721391,48.992222948865006,27.49921728314748,26.378493263735177
prophet_exog,S_газовое_моторное_топливо,Газовое моторное топливо,G10,Топливо и транспортные товары,2020; 2021; 2022,12,46.107950847809356,51.098349509446855,30.128516610073053,28.596556309916537
lightgbm_exog,S_дизельное_топливо,Дизельное топливо,G10,Топливо и транспортные товары,2020; 2021; 2022,12,12.961269904878987,14.842065151490527,10.00612476906101,9.787961861652535
sarimax_exog,S_дизельное_топливо,Дизельное топливо,G10,Топливо и транспортные товары,2020; 2021; 2022,12,17.58063550358667,23.29030227604048,14.22238832347666,13.276368062356731
prophet_exog,S_дизельное_топливо,Дизельное топливо,G10,Топливо и транспортные товары,2020; 2021; 2022,12,19.97585975839552,25.922541392685353,14.826636323087335,15.085169501430922
seasonal_naive_exog,S_дизельное_топливо,Дизельное топливо,G10,Топливо и транспортные товары,2020; 2021; 2022,12,22.831045340892697,27.1280842417398,16.918521439959115,17.24131992453898
sarimax_exog,S_консервы_молочные_молочные_составные_сухие_сублимированные,"Консервы молочные, молочные составные сухие, сублимированные",G02,Молочная продукция и яйца,2023; 2024; 2025,12,13.348381270343275,20.827181210526724,13.11579802274225,11.6209244412716
seasonal_naive_exog,S_консервы_молочные_молочные_составные_сухие_сублимированные,"Консервы молочные, молочные составные сухие, сублимированные",G02,Молочная продукция и яйца,2023; 2024; 2025,12,14.118249090267412,19.13077511344183,13.605585451895585,12.291161197617622
lightgbm_exog,S_консервы_молочные_молочные_составные_сухие_сублимированные,"Консервы молочные, молочные составные сухие, сублимированные",G02,Молочная продукция и яйца,2023; 2024; 2025,12,15.547877703524415,19.733803294704156,14.662819403576366,13.535776987147905
prophet_exog,S_консервы_молочные_молочные_составные_сухие_сублимированные,"Консервы молочные, молочные составные сухие, сублимированные",G02,Молочная продукция и яйца,2023; 2024; 2025,12,25.131184567049857,31.667368064294994,22.392326745439615,21.878877375355856
prophet_exog,S_лампы_накаливания_включая_галогенные_кроме_ламп_для_автотранспортных_средств,"Лампы накаливания (включая галогенные, кроме ламп для автотранспортных средств)",G10,Топливо и транспортные товары,2022; 2023; 2024,12,6.8004735098122,8.606346016885018,13.357998061915847,12.43943910611037
sarimax_exog,S_лампы_накаливания_включая_галогенные_кроме_ламп_для_автотранспортных_средств,"Лампы накаливания (включая галогенные, кроме ламп для автотранспортных средств)",G10,Топливо и транспортные товары,2022; 2023; 2024,12,7.639409201971734,11.506290845185521,12.260100233237903,13.974021873252019
seasonal_naive_exog,S_лампы_накаливания_включая_галогенные_кроме_ламп_для_автотранспортных_средств,"Лампы накаливания (включая галогенные, кроме ламп для автотранспортных средств)",G10,Топливо и транспортные товары,2022; 2023; 2024,12,14.07640864293216,18.53303582847738,25.64415592066115,25.74859351982328
lightgbm_exog,S_лампы_накаливания_включая_галогенные_кроме_ламп_для_автотранспортных_средств,"Лампы накаливания (включая галогенные, кроме ламп для автотранспортных средств)",G10,Топливо и транспортные товары,2022; 2023; 2024,12,14.718975720848933,15.758625726272486,30.33932479432147,26.923978443506
lightgbm_exog,S_макаронные_изделия,Макаронные изделия,G01,"Хлеб, крупы, мука и макаронные изделия",2023; 2024; 2025,12,4.838151697535775,6.588581113237321,4.210071833788128,4.2187365599333315
seasonal_naive_exog,S_макаронные_изделия,Макаронные изделия,G01,"Хлеб, крупы, мука и макаронные изделия",2023; 2024; 2025,12,6.852134099235317,9.408255224545496,6.121151014687798,5.9748743828626365
sarimax_exog,S_макаронные_изделия,Макаронные изделия,G01,"Хлеб, крупы, мука и макаронные изделия",2023; 2024; 2025,12,9.949993612038414,12.721072973677211,8.76565405823548,8.676123537752957
prophet_exog,S_макаронные_изделия,Макаронные изделия,G01,"Хлеб, крупы, мука и макаронные изделия",2023; 2024; 2025,12,12.252020386801227,15.159534690667352,10.768325993149475,10.683428211887863
lightgbm_exog,S_маргариновая_продукция,Маргариновая продукция,G05,"Бакалея, масло, сахар, чай, соль",2023; 2024; 2025,12,5.392478013971357,6.251580357280544,6.4133692000002505,6.449878855825768
sarimax_exog,S_маргариновая_продукция,Маргариновая продукция,G05,"Бакалея, масло, сахар, чай, соль",2023; 2024; 2025,12,6.066569267764521,8.32721278699458,7.188974712596659,7.256151392027656
seasonal_naive_exog,S_маргариновая_продукция,Маргариновая продукция,G05,"Бакалея, масло, сахар, чай, соль",2023; 2024; 2025,12,9.069086299706527,14.351114874041729,10.558933992764906,10.847426325074112
