other_product,dependent_variable,factor,cross_price_coef,pvalue,r2,nobs,corr_other_demand_potato_price,relation,interpretation
Молочные напитки,спрос другого товара,цена свежего картофеля,1.345927733026926,0.48738429928760996,0.3362772504698246,31,0.24062575634859557,возможный заменитель картофеля,"положительная связь, статистически неустойчива"
"Лампы накаливания (включая галогенные, кроме ламп для автотранспортных средств)",спрос другого товара,цена свежего картофеля,0.09581221589104377,0.6636804484810459,0.8526324659974786,31,-0.7184402317538416,возможный заменитель картофеля,"положительная связь, статистически неустойчива"
Газовое моторное топливо,спрос другого товара,цена свежего картофеля,0.07598577085663609,0.7817387205204587,0.709928904484567,24,-0.4336443904263916,возможный заменитель картофеля,"положительная связь, статистически неустойчива"
Бензины автомобильные,спрос другого товара,цена свежего картофеля,-0.007511759520174355,0.9664059680958124,0.7244697003296391,20,-0.27811494987566077,возможное дополнение / общий спад,"отрицательная связь, статистически неустойчива"
Чай,спрос другого товара,цена свежего картофеля,-0.014099844192979438,0.8772080169563355,0.9618095904126572,35,-0.3150145824547828,возможное дополнение / общий спад,"отрицательная связь, статистически неустойчива"
"Консервы молочные, молочные составные сухие, сублимированные",спрос другого товара,цена свежего картофеля,-0.030287708639129884,0.9224390364334745,0.5500531739015775,35,-0.6266948828855958,возможное дополнение / общий спад,"отрицательная связь, статистически неустойчива"
Мясо домашней птицы,спрос другого товара,цена свежего картофеля,-0.054020317537304685,0.6670615145070282,0.9614041785141103,35,-0.3454070732286448,возможное дополнение / общий спад,"отрицательная связь, статистически неустойчива"
Мясо животных,спрос другого товара,цена свежего картофеля,-0.06236851340107025,0.3081255903927279,0.9231242021759456,35,-0.533424199033305,возможное дополнение / общий спад,"отрицательная связь, статистически неустойчива"
Маргариновая продукция,спрос другого товара,цена свежего картофеля,-0.07337441683748087,0.7897436484048502,0.22359862549404907,35,-0.25493947286953905,возможное дополнение / общий спад,"отрицательная связь, статистически неустойчива"
Макаронные изделия,спрос другого товара,цена свежего картофеля,-0.09628471300828223,0.4139763140713879,0.8753088278330824,35,0.16313028630937415,возможное дополнение / общий спад,"отрицательная связь, статистически неустойчива"
Мука,спрос другого товара,цена свежего картофеля,-0.12789024115285125,0.18258123064748644,0.8675458113703601,35,-0.7845215358546895,возможное дополнение / общий спад,"отрицательная связь, статистически неустойчива"
Автомобили легковые,спрос другого товара,цена свежего картофеля,-0.13260889871568093,0.7697651277854296,0.4430024895028801,35,-0.3718382735466828,возможное дополнение / общий спад,"отрицательная связь, статистически неустойчива"
Дизельное топливо,спрос другого товара,цена свежего картофеля,-0.25192250486681206,0.2947979484958544,0.6237128811933694,24,-0.6015831148635279,возможное дополнение / общий спад,"отрицательная связь, статистически неустойчива"
Молоко питьевое,спрос другого товара,цена свежего картофеля,-0.32615891825212384,0.01743747652057771,0.578680583632196,35,-0.04156367663771292,возможное дополнение / общий спад,"отрицательная связь, статистически выражена"
сыры,спрос другого товара,цена свежего картофеля,-0.3470476805087133,0.012844519308026842,0.8749128781588049,35,-0.8483332723729018,возможное дополнение / общий спад,"отрицательная связь, статистически выражена"
Стиральные машины,спрос другого товара,цена свежего картофеля,-0.48308901230230644,0.04536046812089975,0.8101781419579688,35,-0.7625716677140787,возможное дополнение / общий спад,"отрицательная связь, статистически выражена"
Свежие фрукты,спрос другого товара,цена свежего картофеля,-0.5625809008257853,1.3056092441334066e-24,0.9457850523474411,35,-0.9329812355842967,возможное дополнение / общий спад,"отрицательная связь, статистически выражена"
Свежие овощи,спрос другого товара,цена свежего картофеля,-0.5899592477678038,1.767065188212572e-16,0.7428948477363011,35,-0.845143566946613,возможное дополнение / общий спад,"отрицательная связь, статистически выражена"
