other_product,dependent_variable,factor,cross_price_coef,pvalue,r2,nobs,corr_potato_demand_other_price,relation,interpretation
Мясо домашней птицы,спрос на свежий картофель,цена другого товара,0.9441163988588117,0.6257345278946818,0.8741800111263763,35,0.0025403516543084773,возможный заменитель картофеля,"положительная связь, статистически неустойчива"
Мясо животных,спрос на свежий картофель,цена другого товара,0.9441163988588117,0.6257345278946818,0.8741800111263763,35,0.0025403516543084773,возможный заменитель картофеля,"положительная связь, статистически неустойчива"
Автомобили легковые,спрос на свежий картофель,цена другого товара,0.5366822986992166,0.6761911050958234,0.8732383998148672,35,0.09180435006795436,возможный заменитель картофеля,"положительная связь, статистически неустойчива"
"Лампы накаливания (включая галогенные, кроме ламп для автотранспортных средств)",спрос на свежий картофель,цена другого товара,0.3338496103610285,0.8005125601065278,0.9017044509999419,31,0.14219852735087962,возможный заменитель картофеля,"положительная связь, статистически неустойчива"
Дизельное топливо,спрос на свежий картофель,цена другого товара,0.24048125773715856,0.8338551187745906,0.9114410114202425,24,-0.2814611315769514,возможный заменитель картофеля,"положительная связь, статистически неустойчива"
Газовое моторное топливо,спрос на свежий картофель,цена другого товара,0.24048125773715856,0.8338551187745906,0.9114410114202425,24,-0.2814611315769514,возможный заменитель картофеля,"положительная связь, статистически неустойчива"
Бензины автомобильные,спрос на свежий картофель,цена другого товара,0.21346353959157216,0.883443551323073,0.9319770685843595,20,-0.3101490008272236,возможный заменитель картофеля,"положительная связь, статистически неустойчива"
Чай,спрос на свежий картофель,цена другого товара,0.04445799966294461,0.981500806894341,0.8724125057222916,35,0.012900396731819426,возможный заменитель картофеля,"положительная связь, статистически неустойчива"
Маргариновая продукция,спрос на свежий картофель,цена другого товара,0.04445799966294461,0.981500806894341,0.8724125057222916,35,0.012900396731819426,возможный заменитель картофеля,"положительная связь, статистически неустойчива"
Макаронные изделия,спрос на свежий картофель,цена другого товара,-0.018444720730338274,0.9854596108611949,0.872393847829864,35,-0.04881851236462004,возможное дополнение / общий спад,"отрицательная связь, статистически неустойчива"
Мука,спрос на свежий картофель,цена другого товара,-0.018444720730338274,0.9854596108611949,0.872393847829864,35,-0.04881851236462004,возможное дополнение / общий спад,"отрицательная связь, статистически неустойчива"
сыры,спрос на свежий картофель,цена другого товара,-0.02133591583469758,0.9798139659868836,0.8723938398496565,35,-0.177239878033335,возможное дополнение / общий спад,"отрицательная связь, статистически неустойчива"
"Консервы молочные, молочные составные сухие, сублимированные",спрос на свежий картофель,цена другого товара,-0.02133591583469758,0.9798139659868836,0.8723938398496565,35,-0.177239878033335,возможное дополнение / общий спад,"отрицательная связь, статистически неустойчива"
Молоко питьевое,спрос на свежий картофель,цена другого товара,-0.02133591583469758,0.9798139659868836,0.8723938398496565,35,-0.177239878033335,возможное дополнение / общий спад,"отрицательная связь, статистически неустойчива"
Молочные напитки,спрос на свежий картофель,цена другого товара,-0.1613922875348341,0.8322875995130821,0.901528951069715,31,-0.16337469170980548,возможное дополнение / общий спад,"отрицательная связь, статистически неустойчива"
Стиральные машины,спрос на свежий картофель,цена другого товара,-0.3064115964956105,0.7643790242545941,0.8738453028020227,35,-0.0055363396503412925,возможное дополнение / общий спад,"отрицательная связь, статистически неустойчива"
Свежие овощи,спрос на свежий картофель,цена другого товара,-0.37821842555796203,0.00018967295825934367,0.8723913317071965,35,-0.6171241384069525,возможное дополнение / общий спад,"отрицательная связь, статистически выражена"
Свежие фрукты,спрос на свежий картофель,цена другого товара,-0.37821842555796203,0.00018967295825934367,0.8723913317071965,35,-0.6171241384069525,возможное дополнение / общий спад,"отрицательная связь, статистически выражена"
