other_product,cross_price_coef_potato_demand,pvalue_potato_demand,interpretation_potato_demand,cross_price_coef_other_demand,pvalue_other_demand,interpretation_other_demand,pair_relation_class
Мясо домашней птицы,0.9441163988588117,0.6257345278946818,"положительная связь, статистически неустойчива",-0.054020317537304685,0.6670615145070282,"отрицательная связь, статистически неустойчива",смешанная или неустойчивая связь
Мясо животных,0.9441163988588117,0.6257345278946818,"положительная связь, статистически неустойчива",-0.06236851340107025,0.3081255903927279,"отрицательная связь, статистически неустойчива",смешанная или неустойчивая связь
Автомобили легковые,0.5366822986992166,0.6761911050958234,"положительная связь, статистически неустойчива",-0.13260889871568093,0.7697651277854296,"отрицательная связь, статистически неустойчива",смешанная или неустойчивая связь
Дизельное топливо,0.24048125773715856,0.8338551187745906,"положительная связь, статистически неустойчива",-0.25192250486681206,0.2947979484958544,"отрицательная связь, статистически неустойчива",смешанная или неустойчивая связь
Бензины автомобильные,0.21346353959157216,0.883443551323073,"положительная связь, статистически неустойчива",-0.007511759520174355,0.9664059680958124,"отрицательная связь, статистически неустойчива",смешанная или неустойчивая связь
Маргариновая продукция,0.04445799966294461,0.981500806894341,"положительная связь, статистически неустойчива",-0.07337441683748087,0.7897436484048502,"отрицательная связь, статистически неустойчива",смешанная или неустойчивая связь
Чай,0.04445799966294461,0.981500806894341,"положительная связь, статистически неустойчива",-0.014099844192979438,0.8772080169563355,"отрицательная связь, статистически неустойчива",смешанная или неустойчивая связь
Молочные напитки,-0.1613922875348341,0.8322875995130821,"отрицательная связь, статистически неустойчива",1.345927733026926,0.48738429928760996,"положительная связь, статистически неустойчива",смешанная или неустойчивая связь
Макаронные изделия,-0.018444720730338274,0.9854596108611949,"отрицательная связь, статистически неустойчива",-0.09628471300828223,0.4139763140713879,"отрицательная связь, статистически неустойчива",устойчивые признаки дополнения / общего спада
Мука,-0.018444720730338274,0.9854596108611949,"отрицательная связь, статистически неустойчива",-0.12789024115285125,0.18258123064748644,"отрицательная связь, статистически неустойчива",устойчивые признаки дополнения / общего спада
"Консервы молочные, молочные составные сухие, сублимированные",-0.02133591583469758,0.9798139659868836,"отрицательная связь, статистически неустойчива",-0.030287708639129884,0.9224390364334745,"отрицательная связь, статистически неустойчива",устойчивые признаки дополнения / общего спада
Молоко питьевое,-0.02133591583469758,0.9798139659868836,"отрицательная связь, статистически неустойчива",-0.32615891825212384,0.01743747652057771,"отрицательная связь, статистически выражена",устойчивые признаки дополнения / общего спада
сыры,-0.02133591583469758,0.9798139659868836,"отрицательная связь, статистически неустойчива",-0.3470476805087133,0.012844519308026842,"отрицательная связь, статистически выражена",устойчивые признаки дополнения / общего спада
Стиральные машины,-0.3064115964956105,0.7643790242545941,"отрицательная связь, статистически неустойчива",-0.48308901230230644,0.04536046812089975,"отрицательная связь, статистически выражена",устойчивые признаки дополнения / общего спада
Свежие овощи,-0.37821842555796203,0.00018967295825934367,"отрицательная связь, статистически выражена",-0.5899592477678038,1.767065188212572e-16,"отрицательная связь, статистически выражена",устойчивые признаки дополнения / общего спада
Свежие фрукты,-0.37821842555796203,0.00018967295825934367,"отрицательная связь, статистически выражена",-0.5625809008257853,1.3056092441334066e-24,"отрицательная связь, статистически выражена",устойчивые признаки дополнения / общего спада
"Лампы накаливания (включая галогенные, кроме ламп для автотранспортных средств)",0.3338496103610285,0.8005125601065278,"положительная связь, статистически неустойчива",0.09581221589104377,0.6636804484810459,"положительная связь, статистически неустойчива",устойчивые признаки замещения
Газовое моторное топливо,0.24048125773715856,0.8338551187745906,"положительная связь, статистически неустойчива",0.07598577085663609,0.7817387205204587,"положительная связь, статистически неустойчива",устойчивые признаки замещения
