product_code,product_name,rows,ppi_rows,ppi_coverage_percent,ppi_sources_count
S_автомобили_легковые,Автомобили легковые,36,0,0.0,
S_бензины_автомобильные,Бензины автомобильные,21,0,0.0,
S_газовое_моторное_топливо,Газовое моторное топливо,25,0,0.0,
S_дизельное_топливо,Дизельное топливо,25,0,0.0,
S_консервы_молочные_молочные_составные_сухие_сублимированные,"Консервы молочные, молочные составные сухие, сублимированные",36,0,0.0,
S_лампы_накаливания_включая_галогенные_кроме_ламп_для_автотранспортных_средств,"Лампы накаливания (включая галогенные, кроме ламп для автотранспортных средств)",32,0,0.0,
S_макаронные_изделия,Макаронные изделия,36,0,0.0,
S_маргариновая_продукция,Маргариновая продукция,36,0,0.0,
S_молоко_питьевое,Молоко питьевое,36,0,0.0,
S_молочные_напитки,Молочные напитки,32,0,0.0,
S_мука,Мука,36,0,0.0,
S_мясо_домашней_птицы,Мясо домашней птицы,36,0,0.0,
S_мясо_животных,Мясо животных,36,0,0.0,
S_свежие_овощи,Свежие овощи,36,0,0.0,
S_свежие_фрукты,Свежие фрукты,36,0,0.0,
S_свежий_картофель,Свежий картофель,36,0,0.0,
S_стиральные_машины,Стиральные машины,36,0,0.0,
S_сыры,сыры,36,0,0.0,
S_чай,Чай,36,0,0.0,
