product_code,product_name,group_code,group_name,forecast_year,train_start,train_end,observations_used,model_key,order,seasonal_order,exog_cols,forecast_exog_mode,MAE,RMSE,MAPE_%,WAPE_%
S_автомобили_легковые,Автомобили легковые,G10,Топливо и транспортные товары,2025,2017Q1,2024Q4,32,agg_train_only,"(1, 1, 1)","(1, 0, 1, 4)",group_consumer_price_index_mean; group_income_index_mean; group_stock_days_mean_mean; group_stock_value_mean_thousand_rub_mean; market_consumer_price_index_mean; market_income_index_mean; market_stock_days_mean_mean; market_stock_value_mean_thousand_rub_mean,neutral,18.466604156210074,19.774189712505336,12.158580836568916,11.512861615565184
S_бензины_автомобильные,Бензины автомобильные,G10,Топливо и транспортные товары,2021,2017Q1,2020Q4,16,agg_train_only,"(1, 1, 1)","(1, 0, 1, 4)",group_consumer_price_index_mean; group_income_index_mean; group_stock_days_mean_mean; group_stock_value_mean_thousand_rub_mean; market_consumer_price_index_mean; market_income_index_mean; market_stock_days_mean_mean; market_stock_value_mean_thousand_rub_mean,neutral,12.167086531742903,14.120910164067807,12.225189362767175,11.56632182891242
S_газовое_моторное_топливо,Газовое моторное топливо,G10,Топливо и транспортные товары,2022,2017Q1,2021Q4,20,agg_train_only,"(1, 1, 1)","(1, 0, 1, 4)",group_consumer_price_index_mean; group_income_index_mean; group_stock_days_mean_mean; group_stock_value_mean_thousand_rub_mean; market_consumer_price_index_mean; market_income_index_mean; market_stock_days_mean_mean; market_stock_value_mean_thousand_rub_mean,neutral,26.281981541098077,27.458298177299685,19.898362813571666,19.49200492556389
S_дизельное_топливо,Дизельное топливо,G10,Топливо и транспортные товары,2022,2017Q1,2021Q4,20,agg_train_only,"(1, 1, 1)","(1, 0, 1, 4)",group_consumer_price_index_mean; group_income_index_mean; group_stock_days_mean_mean; group_stock_value_mean_thousand_rub_mean; market_consumer_price_index_mean; market_income_index_mean; market_stock_days_mean_mean; market_stock_value_mean_thousand_rub_mean,neutral,16.255198267287863,20.34138443930208,12.708929555582316,11.884720789593718
S_консервы_молочные_молочные_составные_сухие_сублимированные,"Консервы молочные, молочные составные сухие, сублимированные",G02,Молочная продукция и яйца,2025,2017Q1,2024Q4,32,final_selected,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,neutral,26.03034729774865,27.029392904730088,27.149556231656437,26.132651794985435
S_лампы_накаливания_включая_галогенные_кроме_ламп_для_автотранспортных_средств,"Лампы накаливания (включая галогенные, кроме ламп для автотранспортных средств)",G10,Топливо и транспортные товары,2024,2017Q1,2023Q4,28,agg_train_only,"(1, 1, 1)","(1, 0, 1, 4)",group_consumer_price_index_mean; group_income_index_mean; group_stock_days_mean_mean; group_stock_value_mean_thousand_rub_mean; market_consumer_price_index_mean; market_income_index_mean; market_stock_days_mean_mean; market_stock_value_mean_thousand_rub_mean,neutral,19.774697201171065,21.95779753270129,47.87611474421988,42.024090333161126
S_макаронные_изделия,Макаронные изделия,G01,"Хлеб, крупы, мука и макаронные изделия",2025,2017Q1,2024Q4,32,final_selected,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,neutral,3.4423513059132134,3.769379955518714,3.030845544373563,2.938464199584511
S_маргариновая_продукция,Маргариновая продукция,G05,"Бакалея, масло, сахар, чай, соль",2025,2017Q1,2024Q4,32,exog,"(1, 1, 1)","(1, 0, 1, 4)",consumer_price_index; income_index; stock_days_mean; stock_value_mean_thousand_rub; group_consumer_price_index_mean; group_income_index_mean; group_stock_days_mean_mean; group_stock_value_mean_thousand_rub_mean,actual,6.191552386902195,7.47084776771039,8.193608389164103,7.5849889883707995
S_молоко_питьевое,Молоко питьевое,G02,Молочная продукция и яйца,2025,2017Q1,2024Q4,32,final_selected,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,neutral,8.970674477750723,9.676703313888341,6.609247663858815,6.713247145301131
S_молочные_напитки,Молочные напитки,G02,Молочная продукция и яйца,2024,2017Q1,2023Q4,28,final_selected,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,neutral,5.299635515641379,5.9907318729686825,8.520897506133501,7.839830356358152
