model,product_code,product_name,group_code,group_name,cv_years,observations_count,selected_features,features_count,order,seasonal_order,base_WAPE_%,MAE,RMSE,MAPE_%,WAPE_%,improvement_vs_no_exog_pp
sarimax_aggressive_exog,S_автомобили_легковые,Автомобили легковые,G10,Топливо и транспортные товары,2023; 2024; 2025,12,income_index_lag8; income_index_lag4_minus_market,2,"(2, 1, 1)","(0, 0, 1, 4)",16.6093171947611,16.844801533112946,24.829670204522472,9.063529286752608,9.954347364378538,6.654969830382562
sarimax_aggressive_exog,S_бензины_автомобильные,Бензины автомобильные,G10,Топливо и транспортные товары,2020; 2021,8,consumer_price_index_lag4_minus_group; income_index_lag4_minus_group,2,"(2, 1, 1)","(0, 0, 0, 4)",6.614049694008557,6.158536003974589,11.550138891031608,6.58035604612697,5.8489999724346315,0.7650497215739254
sarimax_aggressive_exog,S_газовое_моторное_топливо,Газовое моторное топливо,G10,Топливо и транспортные товары,2020; 2021; 2022,12,income_index_lag4_vs_lag8; income_index_lag4; consumer_price_index_lag4_minus_market,3,"(2, 1, 1)","(1, 0, 1, 4)",21.783380146594585,17.350494252026447,22.882166298972287,12.44055003570984,10.76092901028437,11.022451136310215
sarimax_aggressive_exog,S_дизельное_топливо,Дизельное топливо,G10,Топливо и транспортные товары,2020; 2021; 2022,12,income_index_lag8,1,"(2, 1, 2)","(0, 0, 0, 4)",5.363316884968876,6.812254239646932,10.16238829110836,5.458971447312463,5.14440985944174,0.2189070255271366
sarimax_aggressive_exog,S_консервы_молочные_молочные_составные_сухие_сублимированные,"Консервы молочные, молочные составные сухие, сублимированные",G02,Молочная продукция и яйца,2023; 2024; 2025,12,consumer_price_index_lag8; stock_days_mean_lag4_vs_lag8_pct; income_index_lag4_vs_lag8_pct,3,"(1, 1, 0)","(1, 0, 0, 4)",11.378630273051733,8.807611722240106,11.439771963130843,8.429317217691699,7.667790442846567,3.710839830205167
sarimax_aggressive_exog,S_лампы_накаливания_включая_галогенные_кроме_ламп_для_автотранспортных_средств,"Лампы накаливания (включая галогенные, кроме ламп для автотранспортных средств)",G10,Топливо и транспортные товары,2022; 2023; 2024,12,consumer_price_index_lag4_vs_lag8_pct; income_index_lag4_minus_market; stock_days_mean_lag4,3,"(1, 1, 2)","(1, 0, 1, 4)",11.46516844084346,3.76730749727728,6.151202775035509,6.16137219305245,6.891166054651383,4.574002386192077
sarimax_aggressive_exog,S_макаронные_изделия,Макаронные изделия,G01,"Хлеб, крупы, мука и макаронные изделия",2023; 2024; 2025,12,stock_days_mean_lag4_vs_lag8_pct; income_index_lag4_minus_market,2,"(1, 1, 2)","(1, 0, 0, 4)",4.3087606983623035,3.500687784942263,4.570951903253416,3.0870351148807695,3.0525044410595914,1.256256257302712
sarimax_aggressive_exog,S_маргариновая_продукция,Маргариновая продукция,G05,"Бакалея, масло, сахар, чай, соль",2023; 2024; 2025,12,physical_volume_index_lag4; income_index_lag8,2,"(1, 1, 2)","(1, 0, 1, 4)",6.263972082685151,4.36027578386632,6.134244261735613,5.112015769547538,5.2152740374766555,1.0486980452084955
sarimax_aggressive_exog,S_молоко_питьевое,Молоко питьевое,G02,Молочная продукция и яйца,2023; 2024; 2025,12,consumer_price_index_lag4,1,"(1, 1, 0)","(1, 0, 0, 4)",4.894042733911149,3.53669780985919,4.490307167587664,2.84995649869495,2.8192598526842136,2.0747828812269358
sarimax_aggressive_exog,S_мука,Мука,G01,"Хлеб, крупы, мука и макаронные изделия",2023; 2024; 2025,12,income_index_lag4_vs_lag8_pct,1,"(1, 1, 2)","(1, 0, 0, 4)",4.903646662591671,4.645450851724401,6.454573810558068,4.183898401120645,4.519460165882531,0.3841864967091393
sarimax_aggressive_exog,S_мясо_домашней_птицы,Мясо домашней птицы,G03,"Мясо, птица, рыба и колбасные изделия",2023; 2024; 2025,12,physical_volume_index_lag4_minus_market; consumer_price_index_lag4_vs_lag8,2,"(1, 1, 2)","(1, 0, 1, 4)",3.298071257551044,2.7255112607586582,3.979035617742469,2.1182724171078338,2.265862781725345,1.0322084758256986
sarimax_aggressive_exog,S_мясо_животных,Мясо животных,G03,"Мясо, птица, рыба и колбасные изделия",2023; 2024; 2025,12,stock_value_mean_thousand_rub_lag8,1,"(1, 1, 0)","(1, 0, 1, 4)",2.4932222445283934,1.6293042937970472,2.3232287633281032,1.5907485402318091,1.5789437589222923,0.914278485606101
sarimax_aggressive_exog,S_свежие_овощи,Свежие овощи,G04,"Овощи, фрукты и картофель",2023; 2024; 2025,12,income_index_lag4_vs_lag8,1,"(1, 1, 0)","(0, 0, 0, 4)",4.280886400017916,5.649437158058917,8.306420336128442,4.220573475657764,4.01403996089186,0.26684643912605654
sarimax_aggressive_exog,S_свежие_фрукты,Свежие фрукты,G04,"Овощи, фрукты и картофель",2023; 2024; 2025,12,consumer_price_index_lag8,1,"(1, 1, 2)","(1, 0, 0, 4)",8.084395523545554,8.94339444187127,12.241153649315224,6.739901882143958,6.824713033680949,1.2596824898646055
sarimax_aggressive_exog,S_свежий_картофель,Свежий картофель,G04,"Овощи, фрукты и картофель",2023; 2024; 2025,12,income_index_lag8,1,"(2, 1, 2)","(0, 0, 1, 4)",15.707944111020936,16.404156373662406,22.29458476925883,10.740957746569942,11.397806757199671,4.310137353821265
sarimax_aggressive_exog,S_стиральные_машины,Стиральные машины,G07,"Товары для дома, гигиены и бытовая химия",2023; 2024; 2025,12,income_index_lag4_vs_lag8_pct; stock_days_mean_lag4; income_index_lag4_minus_market,3,"(1, 1, 1)","(1, 0, 0, 4)",15.447422531117748,14.641859506953102,20.82216771894146,10.363768445852145,10.485351423163983,4.962071107953765
sarimax_aggressive_exog,S_чай,Чай,G05,"Бакалея, масло, сахар, чай, соль",2023; 2024; 2025,12,consumer_price_index_lag4_minus_market,1,"(1, 1, 0)","(1, 0, 1, 4)",3.7709984492479642,3.264866484840239,3.8540585088982557,3.3749922825830705,3.273341230753485,0.4976572184944792
sarimax_aggressive_exog,S_сыры,сыры,G02,Молочная продукция и яйца,2023; 2024; 2025,12,income_index_lag4; stock_days_mean_lag4_vs_lag8; stock_days_mean_lag4_vs_lag8_pct,3,"(1, 1, 2)","(1, 0, 0, 4)",6.247476441178952,4.461077803044073,5.851564190836968,3.484353249839759,3.484603709346005,2.762872731832947
