product_code,product_name,group_code,group_name,feature
S_автомобили_легковые,Автомобили легковые,G10,Топливо и транспортные товары,income_index_lag8
S_автомобили_легковые,Автомобили легковые,G10,Топливо и транспортные товары,income_index_lag4_minus_market
S_бензины_автомобильные,Бензины автомобильные,G10,Топливо и транспортные товары,consumer_price_index_lag4_minus_group
S_бензины_автомобильные,Бензины автомобильные,G10,Топливо и транспортные товары,income_index_lag4_minus_group
S_газовое_моторное_топливо,Газовое моторное топливо,G10,Топливо и транспортные товары,income_index_lag4_vs_lag8
S_газовое_моторное_топливо,Газовое моторное топливо,G10,Топливо и транспортные товары,income_index_lag4
S_газовое_моторное_топливо,Газовое моторное топливо,G10,Топливо и транспортные товары,consumer_price_index_lag4_minus_market
S_дизельное_топливо,Дизельное топливо,G10,Топливо и транспортные товары,income_index_lag8
S_консервы_молочные_молочные_составные_сухие_сублимированные,"Консервы молочные, молочные составные сухие, сублимированные",G02,Молочная продукция и яйца,consumer_price_index_lag8
S_консервы_молочные_молочные_составные_сухие_сублимированные,"Консервы молочные, молочные составные сухие, сублимированные",G02,Молочная продукция и яйца,stock_days_mean_lag4_vs_lag8_pct
S_консервы_молочные_молочные_составные_сухие_сублимированные,"Консервы молочные, молочные составные сухие, сублимированные",G02,Молочная продукция и яйца,income_index_lag4_vs_lag8_pct
S_лампы_накаливания_включая_галогенные_кроме_ламп_для_автотранспортных_средств,"Лампы накаливания (включая галогенные, кроме ламп для автотранспортных средств)",G10,Топливо и транспортные товары,consumer_price_index_lag4_vs_lag8_pct
S_лампы_накаливания_включая_галогенные_кроме_ламп_для_автотранспортных_средств,"Лампы накаливания (включая галогенные, кроме ламп для автотранспортных средств)",G10,Топливо и транспортные товары,income_index_lag4_minus_market
S_лампы_накаливания_включая_галогенные_кроме_ламп_для_автотранспортных_средств,"Лампы накаливания (включая галогенные, кроме ламп для автотранспортных средств)",G10,Топливо и транспортные товары,stock_days_mean_lag4
S_макаронные_изделия,Макаронные изделия,G01,"Хлеб, крупы, мука и макаронные изделия",stock_days_mean_lag4_vs_lag8_pct
S_макаронные_изделия,Макаронные изделия,G01,"Хлеб, крупы, мука и макаронные изделия",income_index_lag4_minus_market
S_маргариновая_продукция,Маргариновая продукция,G05,"Бакалея, масло, сахар, чай, соль",physical_volume_index_lag4
S_маргариновая_продукция,Маргариновая продукция,G05,"Бакалея, масло, сахар, чай, соль",income_index_lag8
S_молоко_питьевое,Молоко питьевое,G02,Молочная продукция и яйца,consumer_price_index_lag4
S_мука,Мука,G01,"Хлеб, крупы, мука и макаронные изделия",income_index_lag4_vs_lag8_pct
S_мясо_домашней_птицы,Мясо домашней птицы,G03,"Мясо, птица, рыба и колбасные изделия",physical_volume_index_lag4_minus_market
S_мясо_домашней_птицы,Мясо домашней птицы,G03,"Мясо, птица, рыба и колбасные изделия",consumer_price_index_lag4_vs_lag8
S_мясо_животных,Мясо животных,G03,"Мясо, птица, рыба и колбасные изделия",stock_value_mean_thousand_rub_lag8
S_свежие_овощи,Свежие овощи,G04,"Овощи, фрукты и картофель",income_index_lag4_vs_lag8
S_свежие_фрукты,Свежие фрукты,G04,"Овощи, фрукты и картофель",consumer_price_index_lag8
S_свежий_картофель,Свежий картофель,G04,"Овощи, фрукты и картофель",income_index_lag8
S_стиральные_машины,Стиральные машины,G07,"Товары для дома, гигиены и бытовая химия",income_index_lag4_vs_lag8_pct
S_стиральные_машины,Стиральные машины,G07,"Товары для дома, гигиены и бытовая химия",stock_days_mean_lag4
S_стиральные_машины,Стиральные машины,G07,"Товары для дома, гигиены и бытовая химия",income_index_lag4_minus_market
S_чай,Чай,G05,"Бакалея, масло, сахар, чай, соль",consumer_price_index_lag4_minus_market
S_сыры,сыры,G02,Молочная продукция и яйца,income_index_lag4
S_сыры,сыры,G02,Молочная продукция и яйца,stock_days_mean_lag4_vs_lag8
S_сыры,сыры,G02,Молочная продукция и яйца,stock_days_mean_lag4_vs_lag8_pct
