product_name,period,period_end,first_train_period,last_train_period,actual_target_demand_index,forecast_target_demand_index,forecast_lower,forecast_upper,is_2025_forecast,model,order,seasonal_order,model_key,model_name_readable,product_code,group_code,group_name,best_group_WAPE_%,selected_features,future_exog_mode,exog_columns,train_exog_missing_before_fill,future_exog_missing_before_fill,agg_exog_columns
Макаронные изделия,2025Q1,2025-03-31,2017Q1,2024Q4,104.309186,109.6182773079158,91.89539758129068,127.34115703454094,True,SARIMAX_FINAL_SELECTED,"(0, 1, 1)","(1, 0, 0, 4)",final_selected,Итоговая модель с отбором признаков,S_макаронные_изделия,G01,"Хлеб, крупы, мука и макаронные изделия",3.33,stock_value_vs_group,neutral_zero_after_standardization,,,,
Макаронные изделия,2025Q2,2025-06-30,2017Q1,2024Q4,117.114583,118.60267751762773,100.10033391188148,137.10502112337394,True,SARIMAX_FINAL_SELECTED,"(0, 1, 1)","(1, 0, 0, 4)",final_selected,Итоговая модель с отбором признаков,S_макаронные_изделия,G01,"Хлеб, крупы, мука и макаронные изделия",3.33,stock_value_vs_group,neutral_zero_after_standardization,,,,
Макаронные изделия,2025Q3,2025-09-30,2017Q1,2024Q4,131.022371,128.5673053153788,109.3170333171504,147.81757731360722,True,SARIMAX_FINAL_SELECTED,"(0, 1, 1)","(1, 0, 0, 4)",final_selected,Итоговая модель с отбором признаков,S_макаронные_изделия,G01,"Хлеб, крупы, мука и макаронные изделия",3.33,stock_value_vs_group,neutral_zero_after_standardization,,,,
Макаронные изделия,2025Q4,2025-12-31,2017Q1,2024Q4,116.14576,111.62860628651184,91.65839784727778,131.5988147257459,True,SARIMAX_FINAL_SELECTED,"(0, 1, 1)","(1, 0, 0, 4)",final_selected,Итоговая модель с отбором признаков,S_макаронные_изделия,G01,"Хлеб, крупы, мука и макаронные изделия",3.33,stock_value_vs_group,neutral_zero_after_standardization,,,,
Мука,2025Q1,2025-03-31,2017Q1,2024Q4,98.544241,97.93700957330589,85.17601987320685,110.69799927340487,True,SARIMAX_FINAL_SELECTED,"(0, 1, 1)","(1, 0, 0, 4)",final_selected,Итоговая модель с отбором признаков,S_мука,G01,"Хлеб, крупы, мука и макаронные изделия",3.33,stock_value_vs_group,neutral_zero_after_standardization,,,,
Мука,2025Q2,2025-06-30,2017Q1,2024Q4,91.355099,93.55070485281313,80.77505618725796,106.3263535183683,True,SARIMAX_FINAL_SELECTED,"(0, 1, 1)","(1, 0, 0, 4)",final_selected,Итоговая модель с отбором признаков,S_мука,G01,"Хлеб, крупы, мука и макаронные изделия",3.33,stock_value_vs_group,neutral_zero_after_standardization,,,,
Мука,2025Q3,2025-09-30,2017Q1,2024Q4,102.051877,100.47293197427656,87.68264114390959,113.26322280464352,True,SARIMAX_FINAL_SELECTED,"(0, 1, 1)","(1, 0, 0, 4)",final_selected,Итоговая модель с отбором признаков,S_мука,G01,"Хлеб, крупы, мука и макаронные изделия",3.33,stock_value_vs_group,neutral_zero_after_standardization,,,,
Мука,2025Q4,2025-12-31,2017Q1,2024Q4,126.18717,114.81930984012163,102.01439358795358,127.62422609228967,True,SARIMAX_FINAL_SELECTED,"(0, 1, 1)","(1, 0, 0, 4)",final_selected,Итоговая модель с отбором признаков,S_мука,G01,"Хлеб, крупы, мука и макаронные изделия",3.33,stock_value_vs_group,neutral_zero_after_standardization,,,,
"Консервы молочные, молочные составные сухие, сублимированные",2025Q1,2025-03-31,2017Q1,2024Q4,107.860824,122.93048485132957,106.24092049997302,139.6200492026861,True,SARIMAX_FINAL_SELECTED,"(0, 1, 1)","(1, 0, 0, 4)",final_selected,Итоговая модель с отбором признаков,S_консервы_молочные_молочные_составные_сухие_сублимированные,G02,Молочная продукция и яйца,12.03,stock_value_vs_group,neutral_zero_after_standardization,,,,
"Консервы молочные, молочные составные сухие, сублимированные",2025Q2,2025-06-30,2017Q1,2024Q4,93.206196,121.53572242291747,104.5515226577487,138.51992218808624,True,SARIMAX_FINAL_SELECTED,"(0, 1, 1)","(1, 0, 0, 4)",final_selected,Итоговая модель с отбором признаков,S_консервы_молочные_молочные_составные_сухие_сублимированные,G02,Молочная продукция и яйца,12.03,stock_value_vs_group,neutral_zero_after_standardization,,,,
"Консервы молочные, молочные составные сухие, сублимированные",2025Q3,2025-09-30,2017Q1,2024Q4,84.744027,120.06005857661091,102.78624819533584,137.333868957886,True,SARIMAX_FINAL_SELECTED,"(0, 1, 1)","(1, 0, 0, 4)",final_selected,Итоговая модель с отбором признаков,S_консервы_молочные_молочные_составные_сухие_сублимированные,G02,Молочная продукция и яйца,12.03,stock_value_vs_group,neutral_zero_after_standardization,,,,
"Консервы молочные, молочные составные сухие, сублимированные",2025Q4,2025-12-31,2017Q1,2024Q4,112.623027,138.02919734013665,120.47055250309596,155.58784217717732,True,SARIMAX_FINAL_SELECTED,"(0, 1, 1)","(1, 0, 0, 4)",final_selected,Итоговая модель с отбором признаков,S_консервы_молочные_молочные_составные_сухие_сублимированные,G02,Молочная продукция и яйца,12.03,stock_value_vs_group,neutral_zero_after_standardization,,,,
Молоко питьевое,2025Q1,2025-03-31,2017Q1,2024Q4,128.948864,122.49209800183549,108.98991095441473,135.99428504925623,True,SARIMAX_FINAL_SELECTED,"(0, 1, 1)","(1, 0, 0, 4)",final_selected,Итоговая модель с отбором признаков,S_молоко_питьевое,G02,Молочная продукция и яйца,12.03,stock_value_vs_group,neutral_zero_after_standardization,,,,
Молоко питьевое,2025Q2,2025-06-30,2017Q1,2024Q4,128.003438,123.01002371322208,108.37968753804655,137.6403598883976,True,SARIMAX_FINAL_SELECTED,"(0, 1, 1)","(1, 0, 0, 4)",final_selected,Итоговая модель с отбором признаков,S_молоко_питьевое,G02,Молочная продукция и яйца,12.03,stock_value_vs_group,neutral_zero_after_standardization,,,,
