group_code,group_name,feature,feature_readable,products_count,mean_coef,mean_abs_contribution,mean_signed_contribution,max_abs_contribution,mean_share_of_product_exog_contribution_pct,category_total_abs_contribution,share_within_category_%
G01,"Хлеб, крупы, мука и макаронные изделия",consumer_price_index,Индекс потребительских цен,1,-19.59,17.48,0.0,30.73,46.41,37.66,46.415294742432295
G01,"Хлеб, крупы, мука и макаронные изделия",income_index,Индекс доходов населения,1,-4.96,3.99,0.0,14.19,10.61,37.66,10.59479553903346
G01,"Хлеб, крупы, мука и макаронные изделия",stock_days_mean,Товарные запасы в днях,1,-3.13,2.57,0.0,8.03,6.82,37.66,6.824216675517791
G01,"Хлеб, крупы, мука и макаронные изделия",stock_value_mean_thousand_rub,Товарные запасы в стоимостном выражении,1,15.45,13.62,0.0,26.03,36.16,37.66,36.16569304301647
G02,Молочная продукция и яйца,consumer_price_index,Индекс потребительских цен,1,-1.06,0.92,0.0,1.86,13.21,63.965,1.438286562964121
G02,Молочная продукция и яйца,income_index,Индекс доходов населения,1,-5.44,4.38,0.0,15.55,62.76,63.965,6.84749472367701
G02,Молочная продукция и яйца,physical_volume_index,Индекс физического объема продаж,1,26.46,19.93,0.0,80.61,29.64,63.965,31.15766434769014
G02,Молочная продукция и яйца,physical_volume_index_lag1,"Индекс физического объема продаж, лаг 1 квартал",2,-8.82,6.845,0.0,48.82,39.144999999999996,63.965,10.701164699445007
G02,Молочная продукция и яйца,physical_volume_index_lag4,"Индекс физического объема продаж, лаг 4 квартала",2,5.885,5.95,0.0,32.46,27.994999999999997,63.965,9.301962010474478
G02,Молочная продукция и яйца,physical_volume_index_qoq,Прирост физического объема продаж,1,-6.56,5.04,0.0,16.31,7.5,63.965,7.879308997107792
G02,Молочная продукция и яйца,physical_volume_index_yoy_diff,Отклонение физического индекса от прошлого года,1,9.92,8.04,0.0,25.46,11.96,63.965,12.569373876338622
G02,Молочная продукция и яйца,physical_volume_vs_group,Физический индекс относительно группы,1,-2.16,1.53,0.0,7.04,2.27,63.965,2.391933088407723
G02,Молочная продукция и яйца,physical_volume_vs_market,Физический индекс относительно рынка,1,-12.68,9.65,0.0,39.87,14.35,63.965,15.086375361525834
G02,Молочная продукция и яйца,stock_days_mean,Товарные запасы в днях,1,-2.04,1.68,0.0,5.24,24.02,63.965,2.626436332369264
G03,"Мясо, птица, рыба и колбасные изделия",physical_volume_index_lag1,"Индекс физического объема продаж, лаг 1 квартал",1,-2.15,1.64,0.0,5.09,93.82,1.75,93.71428571428571
G03,"Мясо, птица, рыба и колбасные изделия",physical_volume_index_lag4,"Индекс физического объема продаж, лаг 4 квартала",1,0.14,0.11,0.0,0.32,6.18,1.75,6.2857142857142865
G04,"Овощи, фрукты и картофель",physical_volume_index,Индекс физического объема продаж,1,-26.22,20.18,0.0,75.32,12.27,164.48,12.268968871595332
G04,"Овощи, фрукты и картофель",physical_volume_index_lag1,"Индекс физического объема продаж, лаг 1 квартал",1,50.07,38.0,0.0,143.85,23.1,164.48,23.103112840466927
G04,"Овощи, фрукты и картофель",physical_volume_index_lag4,"Индекс физического объема продаж, лаг 4 квартала",1,-29.57,21.69,0.0,89.6,13.19,164.48,13.187013618677042
G04,"Овощи, фрукты и картофель",physical_volume_index_qoq,Прирост физического объема продаж,1,53.08,43.37,0.0,111.07,26.37,164.48,26.36794747081712
G04,"Овощи, фрукты и картофель",physical_volume_index_yoy_diff,Отклонение физического индекса от прошлого года,1,-50.7,37.24,0.0,140.49,22.64,164.48,22.64105058365759
G04,"Овощи, фрукты и картофель",physical_volume_vs_group,Физический индекс относительно группы,1,-4.05,3.19,0.0,9.77,1.94,164.48,1.9394455252918288
G04,"Овощи, фрукты и картофель",physical_volume_vs_market,Физический индекс относительно рынка,1,1.05,0.81,0.0,2.88,0.49,164.48,0.4924610894941635
G05,"Бакалея, масло, сахар, чай, соль",physical_volume_index,Индекс физического объема продаж,1,17.92,13.64,0.0,45.44,13.96,78.58500000000001,17.357001972386588
G05,"Бакалея, масло, сахар, чай, соль",physical_volume_index_lag1,"Индекс физического объема продаж, лаг 1 квартал",2,-14.94,11.795,0.0,72.62,18.62,78.58500000000001,15.009225679200863
G05,"Бакалея, масло, сахар, чай, соль",physical_volume_index_lag4,"Индекс физического объема продаж, лаг 4 квартала",2,8.905,8.0,0.0,39.83,51.3,78.58500000000001,10.18005980785137
G05,"Бакалея, масло, сахар, чай, соль",physical_volume_index_qoq,Прирост физического объема продаж,1,-30.45,23.1,0.0,89.44,23.64,78.58500000000001,29.394922695170834
G05,"Бакалея, масло, сахар, чай, соль",physical_volume_index_yoy_diff,Отклонение физического индекса от прошлого года,1,27.52,20.67,0.0,68.76,21.15,78.58500000000001,26.302729528535977
G05,"Бакалея, масло, сахар, чай, соль",physical_volume_vs_group,Физический индекс относительно группы,1,0.33,0.26,0.0,0.79,0.27,78.58500000000001,0.3308519437551695
G05,"Бакалея, масло, сахар, чай, соль",physical_volume_vs_market,Физический индекс относительно рынка,1,-1.37,1.12,0.0,2.92,1.14,78.58500000000001,1.425208373099192
G07,"Товары для дома, гигиены и бытовая химия",physical_volume_index_lag1,"Индекс физического объема продаж, лаг 1 квартал",1,7.22,5.25,0.0,17.47,78.61,6.68,78.59281437125749
G07,"Товары для дома, гигиены и бытовая химия",physical_volume_index_lag4,"Индекс физического объема продаж, лаг 4 квартала",1,-2.02,1.43,0.0,6.27,21.39,6.68,21.407185628742514
G10,Топливо и транспортные товары,consumer_price_index,Индекс потребительских цен,1,-52.24,46.49,0.0,102.42,20.18,206.18666666666667,22.54752974650802
G10,Топливо и транспортные товары,income_index,Индекс доходов населения,1,25.05,21.27,0.0,43.08,9.23,206.18666666666667,10.315894981893429
G10,Топливо и транспортные товары,physical_volume_index,Индекс физического объема продаж,2,-1.9699999999999998,5.855,0.0,24.2,5.715,206.18666666666667,2.8396598551474392
G10,Топливо и транспортные товары,physical_volume_index_lag1,"Индекс физического объема продаж, лаг 1 квартал",3,8.166666666666666,7.6933333333333325,0.0,67.06,9.393333333333333,206.18666666666667,3.7312467666839106
G10,Топливо и транспортные товары,physical_volume_index_lag4,"Индекс физического объема продаж, лаг 4 квартала",3,4.87,8.473333333333334,0.0,64.21,40.526666666666664,206.18666666666667,4.109544749094672
G10,Топливо и транспортные товары,physical_volume_index_qoq,Прирост физического объема продаж,2,16.06,11.055,0.0,88.1,6.115,206.18666666666667,5.361646404552508
G10,Топливо и транспортные товары,physical_volume_index_yoy_diff,Отклонение физического индекса от прошлого года,2,4.715,20.765,0.0,66.13,27.599999999999998,206.18666666666667,10.07097128815313
G10,Топливо и транспортные товары,physical_volume_vs_group,Физический индекс относительно группы,2,-5.1049999999999995,6.035,0.0,19.39,3.925,206.18666666666667,2.926959389549922
G10,Топливо и транспортные товары,physical_volume_vs_market,Физический индекс относительно рынка,1,-6.06,5.46,0.0,9.24,2.37,206.18666666666667,2.6480858768753235
G10,Топливо и транспортные товары,stock_days_mean,Товарные запасы в днях,1,-21.58,17.59,0.0,52.78,7.64,206.18666666666667,8.531104500775996
