group_code,group_name,feature,feature_readable,products_count,mean_coef,mean_abs_contribution,mean_signed_contribution,max_abs_contribution,mean_share_of_product_exog_contribution_pct,category_total_abs_contribution,share_within_category_%
G01,"Хлеб, крупы, мука и макаронные изделия",consumer_price_index,Индекс потребительских цен,1,-19.59,17.48,-0.0,30.73,46.41,37.66,46.41
G01,"Хлеб, крупы, мука и макаронные изделия",stock_value_mean_thousand_rub,Товарные запасы в стоимостном выражении,1,15.45,13.62,-0.0,26.03,36.16,37.66,36.16
G01,"Хлеб, крупы, мука и макаронные изделия",income_index,Индекс доходов населения,1,-4.96,3.99,-0.0,14.19,10.61,37.66,10.61
G01,"Хлеб, крупы, мука и макаронные изделия",stock_days_mean,Товарные запасы в днях,1,-3.13,2.57,0.0,8.03,6.82,37.66,6.82
G02,Молочная продукция и яйца,physical_volume_index,Индекс физического объема продаж,1,26.46,19.93,-0.0,80.61,29.64,60.77,32.79
G02,Молочная продукция и яйца,physical_volume_vs_market,Физический индекс относительно рынка,1,-12.68,9.65,0.0,39.87,14.35,60.77,15.87
G02,Молочная продукция и яйца,physical_volume_index_yoy_diff,Отклонение физического индекса от прошлого года,1,9.92,8.04,0.0,25.46,11.96,60.77,13.23
G02,Молочная продукция и яйца,physical_volume_index_qoq,Прирост физического объема продаж,1,-6.56,5.04,-0.0,16.31,7.5,60.77,8.29
G02,Молочная продукция и яйца,physical_volume_index_lag1,"Индекс физического объема продаж, лаг 1 квартал",3,-6.51,5.04,-0.0,48.82,40.74,60.77,8.29
G02,Молочная продукция и яйца,physical_volume_index_lag4,"Индекс физического объема продаж, лаг 4 квартала",3,3.11,4.58,-0.0,32.46,37.35,60.77,7.53
G02,Молочная продукция и яйца,income_index,Индекс доходов населения,1,-5.44,4.38,-0.0,15.55,62.76,60.77,7.2
G02,Молочная продукция и яйца,stock_days_mean,Товарные запасы в днях,1,-2.04,1.68,0.0,5.24,24.02,60.77,2.76
G02,Молочная продукция и яйца,physical_volume_vs_group,Физический индекс относительно группы,1,-2.16,1.53,-0.0,7.04,2.27,60.77,2.51
G02,Молочная продукция и яйца,consumer_price_index,Индекс потребительских цен,1,-1.06,0.92,0.0,1.86,13.21,60.77,1.52
G03,"Мясо, птица, рыба и колбасные изделия",physical_volume_index_lag1,"Индекс физического объема продаж, лаг 1 квартал",1,-2.15,1.64,0.0,5.09,93.82,1.75,93.82
G03,"Мясо, птица, рыба и колбасные изделия",physical_volume_index_lag4,"Индекс физического объема продаж, лаг 4 квартала",1,0.14,0.11,-0.0,0.32,6.18,1.75,6.18
G04,"Овощи, фрукты и картофель",physical_volume_index_qoq,Прирост физического объема продаж,1,53.08,43.37,0.0,111.07,26.37,164.47,26.37
G04,"Овощи, фрукты и картофель",physical_volume_index_lag1,"Индекс физического объема продаж, лаг 1 квартал",1,50.07,38.0,-0.0,143.85,23.1,164.47,23.1
G04,"Овощи, фрукты и картофель",physical_volume_index_yoy_diff,Отклонение физического индекса от прошлого года,1,-50.7,37.24,-0.0,140.49,22.64,164.47,22.64
G04,"Овощи, фрукты и картофель",physical_volume_index_lag4,"Индекс физического объема продаж, лаг 4 квартала",1,-29.57,21.69,0.0,89.6,13.19,164.47,13.19
G04,"Овощи, фрукты и картофель",physical_volume_index,Индекс физического объема продаж,1,-26.22,20.18,-0.0,75.32,12.27,164.47,12.27
G04,"Овощи, фрукты и картофель",physical_volume_vs_group,Физический индекс относительно группы,1,-4.05,3.19,-0.0,9.77,1.94,164.47,1.94
G04,"Овощи, фрукты и картофель",physical_volume_vs_market,Физический индекс относительно рынка,1,1.05,0.81,-0.0,2.88,0.49,164.47,0.49
G05,"Бакалея, масло, сахар, чай, соль",physical_volume_index_qoq,Прирост физического объема продаж,1,-30.45,23.1,0.0,89.44,23.64,78.59,29.4
G05,"Бакалея, масло, сахар, чай, соль",physical_volume_index_yoy_diff,Отклонение физического индекса от прошлого года,1,27.52,20.67,-0.0,68.76,21.15,78.59,26.3
G05,"Бакалея, масло, сахар, чай, соль",physical_volume_index,Индекс физического объема продаж,1,17.92,13.64,-0.0,45.44,13.96,78.59,17.36
G05,"Бакалея, масло, сахар, чай, соль",physical_volume_index_lag1,"Индекс физического объема продаж, лаг 1 квартал",2,-14.94,11.79,0.0,72.62,18.62,78.59,15.01
G05,"Бакалея, масло, сахар, чай, соль",physical_volume_index_lag4,"Индекс физического объема продаж, лаг 4 квартала",2,8.91,8.0,-0.0,39.83,51.3,78.59,10.18
G05,"Бакалея, масло, сахар, чай, соль",physical_volume_vs_market,Физический индекс относительно рынка,1,-1.37,1.12,-0.0,2.92,1.14,78.59,1.42
G05,"Бакалея, масло, сахар, чай, соль",physical_volume_vs_group,Физический индекс относительно группы,1,0.33,0.26,0.0,0.79,0.27,78.59,0.34
G07,"Товары для дома, гигиены и бытовая химия",physical_volume_index_lag1,"Индекс физического объема продаж, лаг 1 квартал",1,7.22,5.25,-0.0,17.47,78.61,6.68,78.61
G07,"Товары для дома, гигиены и бытовая химия",physical_volume_index_lag4,"Индекс физического объема продаж, лаг 4 квартала",1,-2.02,1.43,0.0,6.27,21.39,6.68,21.39
G10,Топливо и транспортные товары,stock_value_mean_thousand_rub,Товарные запасы в стоимостном выражении,1,61.79,55.5,0.0,100.75,24.09,206.19,26.92
G10,Топливо и транспортные товары,consumer_price_index,Индекс потребительских цен,1,-52.24,46.49,-0.0,102.42,20.18,206.19,22.55
G10,Топливо и транспортные товары,income_index,Индекс доходов населения,1,25.05,21.27,-0.0,43.08,9.23,206.19,10.31
G10,Топливо и транспортные товары,physical_volume_index_yoy_diff,Отклонение физического индекса от прошлого года,2,4.72,20.77,0.0,66.13,27.6,206.19,10.07
G10,Топливо и транспортные товары,stock_days_mean,Товарные запасы в днях,1,-21.58,17.59,-0.0,52.78,7.64,206.19,8.53
