feature,feature_readable,products_count,mean_coef,mean_abs_contribution,mean_signed_contribution,max_abs_contribution,share_of_total_contribution_%
stock_value_mean_thousand_rub,Товарные запасы в стоимостном выражении,2,38.62,34.56,0.0,100.75,22.86
consumer_price_index,Индекс потребительских цен,3,-24.3,21.63,-0.0,102.42,14.31
physical_volume_index_yoy_diff,Отклонение физического индекса от прошлого года,5,-0.76,21.5,-0.0,140.49,14.22
physical_volume_index_qoq,Прирост физического объема продаж,5,9.64,18.72,0.0,111.07,12.39
physical_volume_index,Индекс физического объема продаж,5,2.84,13.09,-0.0,80.61,8.66
income_index,Индекс доходов населения,3,4.88,9.88,-0.0,43.08,6.54
physical_volume_index_lag1,"Индекс физического объема продаж, лаг 1 квартал",11,2.75,9.7,-0.0,143.85,6.42
stock_days_mean,Товарные запасы в днях,3,-8.92,7.28,-0.0,52.78,4.82
physical_volume_index_lag4,"Индекс физического объема продаж, лаг 4 квартала",11,0.94,7.12,-0.0,89.6,4.71
physical_volume_vs_market,Физический индекс относительно рынка,4,-4.77,4.26,0.0,39.87,2.82
physical_volume_vs_group,Физический индекс относительно группы,5,-3.22,3.41,0.0,19.39,2.26
