product_code,product_name,group_code,group_name,feature,feature_readable,coef,mean_abs_contribution,mean_signed_contribution,max_abs_contribution,share_of_product_exog_contribution_%,aic,bic
S_автомобили_легковые,Автомобили легковые,G10,Топливо и транспортные товары,physical_volume_index,Индекс физического объема продаж,5.26,4.01,-0.0,12.71,8.09,262.77,279.18
S_автомобили_легковые,Автомобили легковые,G10,Топливо и транспортные товары,physical_volume_index_qoq,Прирост физического объема продаж,2.39,1.66,0.0,7.03,3.35,262.77,279.18
S_автомобили_легковые,Автомобили легковые,G10,Топливо и транспортные товары,physical_volume_index_yoy_diff,Отклонение физического индекса от прошлого года,31.22,23.5,0.0,66.13,47.37,262.77,279.18
S_автомобили_легковые,Автомобили легковые,G10,Топливо и транспортные товары,physical_volume_vs_group,Физический индекс относительно группы,2.22,1.65,-0.0,6.16,3.32,262.77,279.18
S_автомобили_легковые,Автомобили легковые,G10,Топливо и транспортные товары,physical_volume_index_lag1,"Индекс физического объема продаж, лаг 1 квартал",-1.76,1.33,0.0,4.31,2.68,262.77,279.18
S_автомобили_легковые,Автомобили легковые,G10,Топливо и транспортные товары,physical_volume_index_lag4,"Индекс физического объема продаж, лаг 4 квартала",24.53,17.46,-0.0,64.21,35.18,262.77,279.18
S_газовое_моторное_топливо,Газовое моторное топливо,G10,Топливо и транспортные товары,consumer_price_index,Индекс потребительских цен,-52.24,46.49,-0.0,102.42,20.18,176.55,193.58
S_газовое_моторное_топливо,Газовое моторное топливо,G10,Топливо и транспортные товары,income_index,Индекс доходов населения,25.05,21.27,-0.0,43.08,9.23,176.55,193.58
S_газовое_моторное_топливо,Газовое моторное топливо,G10,Топливо и транспортные товары,stock_value_mean_thousand_rub,Товарные запасы в стоимостном выражении,61.79,55.5,0.0,100.75,24.09,176.55,193.58
S_газовое_моторное_топливо,Газовое моторное топливо,G10,Топливо и транспортные товары,stock_days_mean,Товарные запасы в днях,-21.58,17.59,-0.0,52.78,7.64,176.55,193.58
S_газовое_моторное_топливо,Газовое моторное топливо,G10,Топливо и транспортные товары,physical_volume_index,Индекс физического объема продаж,-9.2,7.7,0.0,24.2,3.34,176.55,193.58
S_газовое_моторное_топливо,Газовое моторное топливо,G10,Топливо и транспортные товары,physical_volume_index_qoq,Прирост физического объема продаж,29.73,20.45,0.0,88.1,8.88,176.55,193.58
S_газовое_моторное_топливо,Газовое моторное топливо,G10,Топливо и транспортные товары,physical_volume_index_yoy_diff,Отклонение физического индекса от прошлого года,-21.79,18.03,0.0,56.25,7.83,176.55,193.58
S_газовое_моторное_топливо,Газовое моторное топливо,G10,Топливо и транспортные товары,physical_volume_vs_group,Физический индекс относительно группы,-12.43,10.42,0.0,19.39,4.53,176.55,193.58
S_газовое_моторное_топливо,Газовое моторное топливо,G10,Топливо и транспортные товары,physical_volume_vs_market,Физический индекс относительно рынка,-6.06,5.46,0.0,9.24,2.37,176.55,193.58
