order,seasonal_order,validation_wape,features
"(0, 1, 1)","(1, 0, 0, 4)",6.69374866816245,stock_value_vs_group
"(0, 1, 1)","(1, 0, 1, 4)",7.842071458886733,stock_value_vs_group
"(1, 1, 2)","(1, 0, 0, 4)",7.877021670835123,stock_value_vs_group
"(1, 1, 1)","(1, 0, 1, 4)",8.036314947337607,stock_value_vs_group
"(1, 1, 1)","(1, 0, 0, 4)",8.103709275526251,stock_value_vs_group
"(1, 1, 0)","(1, 0, 1, 4)",8.570099273881143,stock_value_vs_group
"(0, 1, 1)","(0, 0, 1, 4)",8.941413042284537,stock_value_vs_group
"(2, 1, 1)","(1, 0, 0, 4)",8.96281209626955,stock_value_vs_group
"(2, 1, 1)","(1, 0, 1, 4)",9.062289978192862,stock_value_vs_group
"(1, 1, 2)","(1, 0, 1, 4)",9.394672325633064,stock_value_vs_group
"(1, 1, 1)","(0, 0, 1, 4)",9.99605611771127,stock_value_vs_group
"(1, 1, 0)","(1, 0, 0, 4)",10.508788549971074,stock_value_vs_group
"(1, 1, 2)","(0, 0, 1, 4)",10.534512357590732,stock_value_vs_group
"(2, 1, 1)","(0, 0, 1, 4)",10.817489054288593,stock_value_vs_group
"(2, 1, 1)","(0, 0, 0, 4)",10.921132251834111,stock_value_vs_group
"(0, 1, 1)","(0, 0, 0, 4)",11.992209705932856,stock_value_vs_group
"(1, 1, 0)","(0, 0, 1, 4)",12.525312513334171,stock_value_vs_group
"(1, 1, 2)","(0, 0, 0, 4)",12.599997099539785,stock_value_vs_group
"(1, 1, 1)","(0, 0, 0, 4)",12.613629560907244,stock_value_vs_group
"(1, 1, 0)","(0, 0, 0, 4)",13.845138667210142,stock_value_vs_group
