product_name,period,period_end,first_train_period,last_train_period,actual_target_demand_index,forecast_target_demand_index,forecast_lower,forecast_upper,is_2025_forecast,model,order,seasonal_order,selected_features,future_exog_mode
Автомобили легковые,2025Q1,2025-03-31,2017Q1,2024Q4,133.521054,174.83710775914435,117.21557356978632,232.45864194850236,True,SARIMAX_FINAL_SELECTED,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,neutral_zero_after_standardization
Автомобили легковые,2025Q2,2025-06-30,2017Q1,2024Q4,144.210737,184.882784247536,104.38101217738652,265.38455631768545,True,SARIMAX_FINAL_SELECTED,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,neutral_zero_after_standardization
Автомобили легковые,2025Q3,2025-09-30,2017Q1,2024Q4,182.71084,197.17249431646528,98.98476896073034,295.36021967220023,True,SARIMAX_FINAL_SELECTED,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,neutral_zero_after_standardization
Автомобили легковые,2025Q4,2025-12-31,2017Q1,2024Q4,181.15647,176.66947572306236,63.527425562071485,289.81152588405325,True,SARIMAX_FINAL_SELECTED,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,neutral_zero_after_standardization
Бензины автомобильные,2024Q2,2024-06-30,2017Q1,2024Q1,,99.2851755602151,75.56499723994521,123.00535388048498,False,SARIMAX_FINAL_SELECTED,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,neutral_zero_after_standardization
Бензины автомобильные,2024Q3,2024-09-30,2017Q1,2024Q1,,105.27343425192288,81.240263519537,129.30660498430876,False,SARIMAX_FINAL_SELECTED,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,neutral_zero_after_standardization
Бензины автомобильные,2024Q4,2024-12-31,2017Q1,2024Q1,,100.89268301259344,76.55313582550619,125.23223019968069,False,SARIMAX_FINAL_SELECTED,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,neutral_zero_after_standardization
Бензины автомобильные,2025Q1,2025-03-31,2017Q1,2024Q1,,93.29155545332266,76.2470749270721,110.33603597957321,True,SARIMAX_FINAL_SELECTED,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,neutral_zero_after_standardization
Бензины автомобильные,2025Q2,2025-06-30,2017Q1,2024Q1,,98.73228405493244,72.41677410758183,125.04779400228304,True,SARIMAX_FINAL_SELECTED,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,neutral_zero_after_standardization
Бензины автомобильные,2025Q3,2025-09-30,2017Q1,2024Q1,,102.96097312497129,76.22263795697543,129.69930829296715,True,SARIMAX_FINAL_SELECTED,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,neutral_zero_after_standardization
Бензины автомобильные,2025Q4,2025-12-31,2017Q1,2024Q1,,99.86744697020383,72.714028170662,127.02086576974565,True,SARIMAX_FINAL_SELECTED,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,neutral_zero_after_standardization
Газовое моторное топливо,2024Q2,2024-06-30,2017Q1,2024Q1,,133.9188720987163,67.09957990877716,200.7381642886554,False,SARIMAX_FINAL_SELECTED,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,neutral_zero_after_standardization
Газовое моторное топливо,2024Q3,2024-09-30,2017Q1,2024Q1,,149.47793368494533,64.00379391577965,234.952073454111,False,SARIMAX_FINAL_SELECTED,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,neutral_zero_after_standardization
Газовое моторное топливо,2024Q4,2024-12-31,2017Q1,2024Q1,,162.03148502183453,62.6501393901591,261.41283065350996,False,SARIMAX_FINAL_SELECTED,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,neutral_zero_after_standardization
Газовое моторное топливо,2025Q1,2025-03-31,2017Q1,2024Q1,,155.56296744120374,56.55012008689508,254.5758147955124,True,SARIMAX_FINAL_SELECTED,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,neutral_zero_after_standardization
Газовое моторное топливо,2025Q2,2025-06-30,2017Q1,2024Q1,,152.60420928272228,17.108818482218226,288.09960008322633,True,SARIMAX_FINAL_SELECTED,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,neutral_zero_after_standardization
Газовое моторное топливо,2025Q3,2025-09-30,2017Q1,2024Q1,,163.74983676762943,4.635449824247047,322.86422371101185,True,SARIMAX_FINAL_SELECTED,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,neutral_zero_after_standardization
Газовое моторное топливо,2025Q4,2025-12-31,2017Q1,2024Q1,,172.74248751576084,-6.5258289876609865,352.0108040191827,True,SARIMAX_FINAL_SELECTED,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,neutral_zero_after_standardization
Дизельное топливо,2024Q2,2024-06-30,2017Q1,2024Q1,,132.12784617994936,105.2481698295336,159.00752253036512,False,SARIMAX_FINAL_SELECTED,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,neutral_zero_after_standardization
Дизельное топливо,2024Q3,2024-09-30,2017Q1,2024Q1,,160.5224809102652,131.0134697412619,190.03149207926847,False,SARIMAX_FINAL_SELECTED,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,neutral_zero_after_standardization
Дизельное топливо,2024Q4,2024-12-31,2017Q1,2024Q1,,152.0678320348479,120.2436971081248,183.89196696157097,False,SARIMAX_FINAL_SELECTED,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,neutral_zero_after_standardization
Дизельное топливо,2025Q1,2025-03-31,2017Q1,2024Q1,,154.47147004658515,128.9599847455274,179.9829553476429,True,SARIMAX_FINAL_SELECTED,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,neutral_zero_after_standardization
Дизельное топливо,2025Q2,2025-06-30,2017Q1,2024Q1,,139.74428861355224,99.05929000356068,180.4292872235438,True,SARIMAX_FINAL_SELECTED,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,neutral_zero_after_standardization
Дизельное топливо,2025Q3,2025-09-30,2017Q1,2024Q1,,163.01961650560634,118.3155205909182,207.72371242029448,True,SARIMAX_FINAL_SELECTED,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,neutral_zero_after_standardization
Дизельное топливо,2025Q4,2025-12-31,2017Q1,2024Q1,,156.08926763313346,107.74229561682557,204.43623964944135,True,SARIMAX_FINAL_SELECTED,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,neutral_zero_after_standardization
"Консервы молочные, молочные составные сухие, сублимированные",2025Q1,2025-03-31,2017Q1,2024Q4,107.860824,122.93048485132955,106.24092049997302,139.6200492026861,True,SARIMAX_FINAL_SELECTED,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,neutral_zero_after_standardization
"Консервы молочные, молочные составные сухие, сублимированные",2025Q2,2025-06-30,2017Q1,2024Q4,93.206196,121.53572242291747,104.5515226577487,138.51992218808624,True,SARIMAX_FINAL_SELECTED,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,neutral_zero_after_standardization
