product_name,period,period_end,last_train_period,forecast_target_demand_index,forecast_lower,forecast_upper,model,order,seasonal_order
Автомобили легковые,2025Q1,2025-03-31,2025Q4,170.2478563427429,122.15654240966981,218.33917027581597,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)"
Автомобили легковые,2025Q2,2025-06-30,2025Q4,170.35937447565692,113.04222947697866,227.67651947433518,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)"
Автомобили легковые,2025Q3,2025-09-30,2025Q4,174.96737797355058,113.98204350373757,235.9527124433636,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)"
Автомобили легковые,2025Q4,2025-12-31,2025Q4,171.24388889162114,108.58871496940756,233.89906281383472,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)"
Бензины автомобильные,2024Q2,2024-06-30,2024Q1,93.10607509853779,79.89774255605026,106.31440764102531,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)"
Бензины автомобильные,2024Q3,2024-09-30,2024Q1,114.16273055883062,100.96561304754641,127.35984807011482,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)"
Бензины автомобильные,2024Q4,2024-12-31,2024Q1,104.41323207214123,89.03773813970832,119.78872600457413,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)"
Бензины автомобильные,2025Q1,2025-03-31,2024Q1,87.73654626922502,71.6502063064961,103.82288623195393,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)"
Бензины автомобильные,2025Q2,2025-06-30,2024Q1,89.78361395599521,71.22562585946574,108.34160205252468,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)"
Бензины автомобильные,2025Q3,2025-09-30,2024Q1,110.87490487376084,91.64722422089577,130.10258552662592,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)"
Бензины автомобильные,2025Q4,2025-12-31,2024Q1,101.11733245072807,80.46234818326809,121.77231671818805,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)"
Газовое моторное топливо,2024Q2,2024-06-30,2024Q1,160.2841117018096,116.25957939168181,204.30864401193736,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)"
Газовое моторное топливо,2024Q3,2024-09-30,2024Q1,174.5029909665958,98.85411812343413,250.15186380975746,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)"
Газовое моторное топливо,2024Q4,2024-12-31,2024Q1,192.18016525328446,99.57146684303135,284.78886366353754,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)"
Газовое моторное топливо,2025Q1,2025-03-31,2024Q1,152.81348671505168,43.9619911381529,261.6649822919505,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)"
Газовое моторное топливо,2025Q2,2025-06-30,2024Q1,161.4724419352254,37.73609007453136,285.2087937959194,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)"
Газовое моторное топливо,2025Q3,2025-09-30,2024Q1,180.19705252003706,42.78845454491068,317.60565049516345,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)"
Газовое моторное топливо,2025Q4,2025-12-31,2024Q1,194.0502758667093,44.366913218083596,343.73363851533503,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)"
Дизельное топливо,2024Q2,2024-06-30,2024Q1,120.93047937004789,106.03324220677167,135.8277165333241,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)"
Дизельное топливо,2024Q3,2024-09-30,2024Q1,170.87321283754088,151.69421274549015,190.0522129295916,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)"
Дизельное топливо,2024Q4,2024-12-31,2024Q1,145.569955298116,121.20601482846479,169.93389576776724,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)"
Дизельное топливо,2025Q1,2025-03-31,2024Q1,160.9971721265061,133.87090089677213,188.12344335624005,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)"
Дизельное топливо,2025Q2,2025-06-30,2024Q1,120.64490592646757,88.33156587935665,152.9582459735785,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)"
Дизельное топливо,2025Q3,2025-09-30,2024Q1,182.43748158415767,147.6112458417143,217.26371732660104,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)"
Дизельное топливо,2025Q4,2025-12-31,2024Q1,144.82762232509532,105.73421873833985,183.9210259118508,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)"
"Консервы молочные, молочные составные сухие, сублимированные",2025Q1,2025-03-31,2025Q4,84.44690155518428,65.04311273290705,103.85069037746152,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)"
"Консервы молочные, молочные составные сухие, сублимированные",2025Q2,2025-06-30,2025Q4,75.60703599338504,54.4217411625572,96.79233082421288,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)"
"Консервы молочные, молочные составные сухие, сублимированные",2025Q3,2025-09-30,2025Q4,68.82265375694482,43.84285547869884,93.8024520351908,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)"
