product_name,period,period_end,first_train_period,last_train_period,actual_target_demand_index,forecast_target_demand_index,forecast_lower,forecast_upper,is_2025_forecast,model,order,seasonal_order,agg_exog_columns,future_exog_mode
Автомобили легковые,2025Q1,2025-03-31,2017Q1,2024Q4,133.521054,157.86113524892224,124.86773845737412,190.85453204047036,True,SARIMAX_AGG_TRAIN_ONLY,"(1, 1, 1)","(1, 0, 1, 4)",group_consumer_price_index_mean; group_income_index_mean; group_stock_days_mean_mean; group_stock_value_mean_thousand_rub_mean; market_consumer_price_index_mean; market_income_index_mean; market_stock_days_mean_mean; market_stock_value_mean_thousand_rub_mean,neutral_zero_after_standardization
Автомобили легковые,2025Q2,2025-06-30,2017Q1,2024Q4,144.210737,166.10229373414734,127.45316379460128,204.7514236736934,True,SARIMAX_AGG_TRAIN_ONLY,"(1, 1, 1)","(1, 0, 1, 4)",group_consumer_price_index_mean; group_income_index_mean; group_stock_days_mean_mean; group_stock_value_mean_thousand_rub_mean; market_consumer_price_index_mean; market_income_index_mean; market_stock_days_mean_mean; market_stock_value_mean_thousand_rub_mean,neutral_zero_after_standardization
Автомобили легковые,2025Q3,2025-09-30,2017Q1,2024Q4,182.71084,189.0933786698552,148.42578183583402,229.7609755038764,True,SARIMAX_AGG_TRAIN_ONLY,"(1, 1, 1)","(1, 0, 1, 4)",group_consumer_price_index_mean; group_income_index_mean; group_stock_days_mean_mean; group_stock_value_mean_thousand_rub_mean; market_consumer_price_index_mean; market_income_index_mean; market_stock_days_mean_mean; market_stock_value_mean_thousand_rub_mean,neutral_zero_after_standardization
Автомобили легковые,2025Q4,2025-12-31,2017Q1,2024Q4,181.15647,159.90423002808453,118.40734625377993,201.40111380238912,True,SARIMAX_AGG_TRAIN_ONLY,"(1, 1, 1)","(1, 0, 1, 4)",group_consumer_price_index_mean; group_income_index_mean; group_stock_days_mean_mean; group_stock_value_mean_thousand_rub_mean; market_consumer_price_index_mean; market_income_index_mean; market_stock_days_mean_mean; market_stock_value_mean_thousand_rub_mean,neutral_zero_after_standardization
Бензины автомобильные,2024Q2,2024-06-30,2017Q1,2024Q1,,128.9146287753976,115.3640471021643,142.4652104486309,False,SARIMAX_AGG_TRAIN_ONLY,"(1, 1, 1)","(1, 0, 1, 4)",group_consumer_price_index_mean; group_income_index_mean; group_stock_days_mean_mean; group_stock_value_mean_thousand_rub_mean; market_consumer_price_index_mean; market_income_index_mean; market_stock_days_mean_mean; market_stock_value_mean_thousand_rub_mean,neutral_zero_after_standardization
Бензины автомобильные,2024Q3,2024-09-30,2017Q1,2024Q1,,131.21258379447772,106.24033601318229,156.18483157577316,False,SARIMAX_AGG_TRAIN_ONLY,"(1, 1, 1)","(1, 0, 1, 4)",group_consumer_price_index_mean; group_income_index_mean; group_stock_days_mean_mean; group_stock_value_mean_thousand_rub_mean; market_consumer_price_index_mean; market_income_index_mean; market_stock_days_mean_mean; market_stock_value_mean_thousand_rub_mean,neutral_zero_after_standardization
Бензины автомобильные,2024Q4,2024-12-31,2017Q1,2024Q1,,131.80454033558263,98.38045116303135,165.2286295081339,False,SARIMAX_AGG_TRAIN_ONLY,"(1, 1, 1)","(1, 0, 1, 4)",group_consumer_price_index_mean; group_income_index_mean; group_stock_days_mean_mean; group_stock_value_mean_thousand_rub_mean; market_consumer_price_index_mean; market_income_index_mean; market_stock_days_mean_mean; market_stock_value_mean_thousand_rub_mean,neutral_zero_after_standardization
Бензины автомобильные,2025Q1,2025-03-31,2017Q1,2024Q1,,130.92232205740993,92.295989229064,169.54865488575587,True,SARIMAX_AGG_TRAIN_ONLY,"(1, 1, 1)","(1, 0, 1, 4)",group_consumer_price_index_mean; group_income_index_mean; group_stock_days_mean_mean; group_stock_value_mean_thousand_rub_mean; market_consumer_price_index_mean; market_income_index_mean; market_stock_days_mean_mean; market_stock_value_mean_thousand_rub_mean,neutral_zero_after_standardization
Бензины автомобильные,2025Q2,2025-06-30,2017Q1,2024Q1,,130.07322592091458,89.13653759881171,171.00991424301745,True,SARIMAX_AGG_TRAIN_ONLY,"(1, 1, 1)","(1, 0, 1, 4)",group_consumer_price_index_mean; group_income_index_mean; group_stock_days_mean_mean; group_stock_value_mean_thousand_rub_mean; market_consumer_price_index_mean; market_income_index_mean; market_stock_days_mean_mean; market_stock_value_mean_thousand_rub_mean,neutral_zero_after_standardization
Бензины автомобильные,2025Q3,2025-09-30,2017Q1,2024Q1,,130.04055720892703,88.58796497060874,171.49314944724532,True,SARIMAX_AGG_TRAIN_ONLY,"(1, 1, 1)","(1, 0, 1, 4)",group_consumer_price_index_mean; group_income_index_mean; group_stock_days_mean_mean; group_stock_value_mean_thousand_rub_mean; market_consumer_price_index_mean; market_income_index_mean; market_stock_days_mean_mean; market_stock_value_mean_thousand_rub_mean,neutral_zero_after_standardization
