product_name,period,period_end,first_train_period,last_train_period,actual_target_demand_index,forecast_target_demand_index,forecast_lower,forecast_upper,is_2025_forecast,model,order,seasonal_order
Автомобили легковые,2025Q1,2025-03-31,2017Q1,2024Q4,133.521054,167.33032213145754,118.5570693971004,216.10357486581466,True,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)"
Автомобили легковые,2025Q2,2025-06-30,2017Q1,2024Q4,144.210737,166.88128256140837,108.21465996016448,225.54790516265226,True,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)"
Автомобили легковые,2025Q3,2025-09-30,2017Q1,2024Q4,182.71084,166.87160471152097,104.03784155465112,229.70536786839082,True,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)"
Автомобили легковые,2025Q4,2025-12-31,2017Q1,2024Q4,181.15647,168.43546655640972,103.59527517494882,233.27565793787062,True,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)"
Бензины автомобильные,2024Q2,2024-06-30,2017Q1,2024Q1,,91.87858812177393,74.3907440242555,109.36643221929236,False,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)"
Бензины автомобильные,2024Q3,2024-09-30,2017Q1,2024Q1,,110.47162586422401,96.16360905048191,124.77964267796611,False,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)"
Бензины автомобильные,2024Q4,2024-12-31,2017Q1,2024Q1,,102.02818707694429,84.42238992491106,119.63398422897752,False,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)"
Бензины автомобильные,2025Q1,2025-03-31,2017Q1,2024Q1,,88.45656044826859,71.92405083522326,104.98907006131392,True,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)"
Бензины автомобильные,2025Q2,2025-06-30,2017Q1,2024Q1,,89.87334879376772,70.56117647368762,109.18552111384781,True,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)"
Бензины автомобильные,2025Q3,2025-09-30,2017Q1,2024Q1,,107.60114686356957,88.5462412603282,126.65605246681093,True,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)"
Бензины автомобильные,2025Q4,2025-12-31,2017Q1,2024Q1,,99.55960101535679,78.84598467815677,120.27321735255681,True,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)"
Газовое моторное топливо,2024Q2,2024-06-30,2017Q1,2024Q1,,150.18509518522927,108.07937160798957,192.29081876246897,False,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)"
Газовое моторное топливо,2024Q3,2024-09-30,2017Q1,2024Q1,,181.26915829607427,114.01322421807306,248.52509237407548,False,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)"
Газовое моторное топливо,2024Q4,2024-12-31,2017Q1,2024Q1,,203.178812380985,121.31674399464313,285.0408807673268,False,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)"
Газовое моторное топливо,2025Q1,2025-03-31,2017Q1,2024Q1,,144.1299445134922,48.17082682005862,240.0890622069258,True,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)"
Газовое моторное топливо,2025Q2,2025-06-30,2017Q1,2024Q1,,154.82435248960067,44.46477531787791,265.1839296613234,True,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)"
Газовое моторное топливо,2025Q3,2025-09-30,2017Q1,2024Q1,,186.86291959405642,63.11932973075373,310.6065094573591,True,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)"
Газовое моторное топливо,2025Q4,2025-12-31,2017Q1,2024Q1,,208.672320922122,73.52225447284269,343.8223873714013,True,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)"
