product_name,observations,first_period,last_period,forecast_start,forecast_end,mae,rmse,mape,wape
Автомобили легковые,36,2017Q1,2025Q4,2025Q1,2025Q4,,,,
Бензины автомобильные,21,2017Q1,2024Q1,2024Q2,2025Q4,,,,
Газовое моторное топливо,25,2017Q1,2024Q1,2024Q2,2025Q4,,,,
Дизельное топливо,25,2017Q1,2024Q1,2024Q2,2025Q4,,,,
"Консервы молочные, молочные составные сухие, сублимированные",36,2017Q1,2025Q4,2025Q1,2025Q4,,,,
"Лампы накаливания (включая галогенные, кроме ламп для автотранспортных средств)",32,2017Q1,2024Q4,2025Q1,2025Q4,,,,
Макаронные изделия,36,2017Q1,2025Q4,2025Q1,2025Q4,,,,
Маргариновая продукция,36,2017Q1,2025Q4,2025Q1,2025Q4,,,,
Молоко питьевое,36,2017Q1,2025Q4,2025Q1,2025Q4,,,,
Молочные напитки,32,2017Q1,2024Q4,2025Q1,2025Q4,,,,
Мука,36,2017Q1,2025Q4,2025Q1,2025Q4,,,,
Мясо домашней птицы,36,2017Q1,2025Q4,2025Q1,2025Q4,,,,
Мясо животных,36,2017Q1,2025Q4,2025Q1,2025Q4,,,,
Свежие овощи,36,2017Q1,2025Q4,2025Q1,2025Q4,,,,
Свежие фрукты,36,2017Q1,2025Q4,2025Q1,2025Q4,,,,
Свежий картофель,36,2017Q1,2025Q4,2025Q1,2025Q4,,,,
Стиральные машины,36,2017Q1,2025Q4,2025Q1,2025Q4,,,,
Чай,36,2017Q1,2025Q4,2025Q1,2025Q4,,,,
сыры,36,2017Q1,2025Q4,2025Q1,2025Q4,,,,
