product_name,observations_used,first_train_period,last_train_period,forecast_start,forecast_end,backtest_mae,backtest_rmse,backtest_mape,backtest_wape,future_exog_mode,test_period,test_mae_2025,test_rmse_2025,test_mape_2025,test_wape_2025
Автомобили легковые,32,2017Q1,2024Q4,2025Q1,2025Q4,27.779508245347643,37.640578372680174,13.184884361069066,14.556073316926366,neutral_zero_after_standardization,2025Q1-2025Q4,18.466604156210074,19.774189712505336,12.158580836568916,11.512861615565184
Бензины автомобильные,21,2017Q1,2024Q1,2024Q2,2025Q4,10.778403957098575,12.213475459405416,10.862262984483873,10.307625503982457,neutral_zero_after_standardization,,,,,
Газовое моторное топливо,25,2017Q1,2024Q1,2024Q2,2025Q4,57.769135396137095,58.3124529782071,43.380985455802005,42.893804835228515,neutral_zero_after_standardization,,,,,
Дизельное топливо,25,2017Q1,2024Q1,2024Q2,2025Q4,36.361590012174204,37.25227543726446,25.64722225536023,25.98262676258718,neutral_zero_after_standardization,,,,,
"Консервы молочные, молочные составные сухие, сублимированные",32,2017Q1,2024Q4,2025Q1,2025Q4,40.008639083001,41.50915616723079,32.12712347675027,32.55956044465519,neutral_zero_after_standardization,2025Q1-2025Q4,19.02378405223921,21.786265621078073,18.168564380141472,19.0985513475328
"Лампы накаливания (включая галогенные, кроме ламп для автотранспортных средств)",32,2017Q1,2024Q4,2025Q1,2025Q4,19.774697201171065,21.95779753270129,47.87611474421988,42.024090333161126,neutral_zero_after_standardization,,,,,
Макаронные изделия,32,2017Q1,2024Q4,2025Q1,2025Q4,15.202193863538746,15.23211234498326,13.445278476242176,13.282740063740784,neutral_zero_after_standardization,2025Q1-2025Q4,15.762599020224506,19.988493802949744,13.255508908468602,13.455289363921574
Маргариновая продукция,32,2017Q1,2024Q4,2025Q1,2025Q4,12.640364100502769,13.959315429660457,15.973262203588332,15.076454476794407,neutral_zero_after_standardization,2025Q1-2025Q4,14.407559699084764,15.143287752207033,18.613090348574325,17.65004555207022
Молоко питьевое,32,2017Q1,2024Q4,2025Q1,2025Q4,30.2250590558621,30.943367614249873,24.794705813973415,24.779321252767975,neutral_zero_after_standardization,2025Q1-2025Q4,3.8254731530212815,4.997794581554453,2.7645881189892334,2.8628111283763236
Молочные напитки,32,2017Q1,2024Q4,2025Q1,2025Q4,30.837245731189665,36.227711156600535,45.037197404225175,45.618000422166425,neutral_zero_after_standardization,,,,,
Мука,32,2017Q1,2024Q4,2025Q1,2025Q4,11.123344727261642,12.785928025879613,10.678286212589589,10.861395642386631,neutral_zero_after_standardization,2025Q1-2025Q4,8.919378487106705,15.500888741833817,7.35673170580558,8.532465580211564
Мясо домашней птицы,32,2017Q1,2024Q4,2025Q1,2025Q4,11.687380729381822,14.386050471645644,9.127543300748572,9.625851188996405,neutral_zero_after_standardization,2025Q1-2025Q4,9.90845824125298,13.059127950448346,7.753355920648432,8.3737354740461
Мясо животных,32,2017Q1,2024Q4,2025Q1,2025Q4,2.9874533786257054,4.5930511156775236,2.753589455228616,2.88872008214469,neutral_zero_after_standardization,2025Q1-2025Q4,4.6623135871727435,6.366345086632367,4.372782298732498,4.552834545579729
Свежие овощи,32,2017Q1,2024Q4,2025Q1,2025Q4,14.325009321511107,15.623605572174299,9.929175789146893,9.932296636947076,neutral_zero_after_standardization,2025Q1-2025Q4,13.772953464449568,18.473658402103197,9.433116550768366,9.873563186951987
Свежие фрукты,32,2017Q1,2024Q4,2025Q1,2025Q4,14.57534459263644,17.18803684883766,10.46565773286138,10.833968506124195,neutral_zero_after_standardization,2025Q1-2025Q4,14.05104728511288,16.71738608280755,10.637708568736901,11.09532481778867
Свежий картофель,32,2017Q1,2024Q4,2025Q1,2025Q4,18.235041832150635,20.44825672933113,15.685311611866357,13.297349675949317,neutral_zero_after_standardization,2025Q1-2025Q4,72.40074914590143,72.45053353633638,44.593351231050875,43.831156537862
Стиральные машины,32,2017Q1,2024Q4,2025Q1,2025Q4,22.340845628378872,32.805233018789394,12.851555125820447,14.8000068289303,neutral_zero_after_standardization,2025Q1-2025Q4,14.322944318103449,16.143351139104954,11.732671406461629,11.491436380998815
Чай,32,2017Q1,2024Q4,2025Q1,2025Q4,46.8090830390917,48.220662349650176,46.10092903013331,46.27249206684343,neutral_zero_after_standardization,2025Q1-2025Q4,20.218173635309316,21.107621561893126,20.822582200760266,20.98398963551481
сыры,32,2017Q1,2024Q4,2025Q1,2025Q4,21.610890442953494,23.673321533757793,16.832921244771306,17.396867146488205,neutral_zero_after_standardization,2025Q1-2025Q4,45.04265756824351,49.01972836620499,31.72192102443734,32.768321374773116
