product_name,observations_used,first_train_period,last_train_period,forecast_start,forecast_end,backtest_mae,backtest_rmse,backtest_mape,backtest_wape,train_exog_missing_before_fill,future_exog_missing_before_fill,test_period,test_mae_2025,test_rmse_2025,test_mape_2025,test_wape_2025
Автомобили легковые,32,2017Q1,2024Q4,2025Q1,2025Q4,43.860066451895364,49.26958373199341,22.034413194423443,22.982060636943498,0,0,2025Q1-2025Q4,23.187289386195353,28.94722254911166,14.232833555510895,14.45593633161612
Бензины автомобильные,21,2017Q1,2024Q1,2024Q2,2025Q4,7.077561383757324,9.014007541333113,6.583825941866839,6.768428100820266,56,49,,,,,
Газовое моторное топливо,25,2017Q1,2024Q1,2024Q2,2025Q4,48.71368089082046,53.68289460389832,35.4617172130422,36.170095096769884,28,49,,,,,
Дизельное топливо,25,2017Q1,2024Q1,2024Q2,2025Q4,10.85796597635867,12.985978942862733,7.708168930427648,7.758694745475703,28,49,,,,,
"Консервы молочные, молочные составные сухие, сублимированные",32,2017Q1,2024Q4,2025Q1,2025Q4,8.485577011324779,9.913492826224259,6.894707129748857,6.905674972718461,0,0,2025Q1-2025Q4,26.93417751501918,27.526263026847687,27.842957425031006,27.040034246688627
"Лампы накаливания (включая галогенные, кроме ламп для автотранспортных средств)",32,2017Q1,2024Q4,2025Q1,2025Q4,16.146677070812377,16.550416336372553,37.40812999376311,34.314023061957016,0,28,,,,,
Макаронные изделия,32,2017Q1,2024Q4,2025Q1,2025Q4,4.326567880909753,4.554851206023484,3.7725954762982408,3.780288361411315,0,0,2025Q1-2025Q4,3.842647998098684,4.887570645925139,3.439473715107581,3.2801659594190036
Маргариновая продукция,32,2017Q1,2024Q4,2025Q1,2025Q4,7.293724030095127,8.247067187050362,8.350156252813088,8.699393263652654,0,0,2025Q1-2025Q4,6.273073752300466,7.605624777421513,8.299590046300615,7.684857102249781
Молоко питьевое,32,2017Q1,2024Q4,2025Q1,2025Q4,13.741452277167237,14.91495724845829,11.356365346787022,11.265614397185663,0,0,2025Q1-2025Q4,8.907967198277312,9.472773923577313,6.584044716501755,6.666319852826237
Молочные напитки,32,2017Q1,2024Q4,2025Q1,2025Q4,21.141563015977404,23.357052444130566,31.394159629000164,31.275031466661023,0,28,,,,,
Мука,32,2017Q1,2024Q4,2025Q1,2025Q4,5.644614957387834,7.1723748538254615,5.935400176684482,5.511687159246712,0,0,2025Q1-2025Q4,7.064288602176163,8.179954718084275,6.790132202784509,6.757847470412864
Мясо домашней птицы,32,2017Q1,2024Q4,2025Q1,2025Q4,3.249432763460547,3.415760495830004,2.656854641524708,2.676267416452599,0,0,2025Q1-2025Q4,17.192669326812698,18.883895678770838,15.289892663182192,14.529693876700476
Мясо животных,32,2017Q1,2024Q4,2025Q1,2025Q4,2.574538951089746,2.7061691215175094,2.46458643055492,2.4894521947980706,0,0,2025Q1-2025Q4,6.106908436629414,7.603171249411801,5.684888237393834,5.96350785444251
Свежие овощи,32,2017Q1,2024Q4,2025Q1,2025Q4,5.547006890830843,6.640184714514739,3.8486946897503165,3.846037140386982,0,0,2025Q1-2025Q4,6.529855060967368,6.828919579719513,4.780718090499273,4.681126434683424
Свежие фрукты,32,2017Q1,2024Q4,2025Q1,2025Q4,9.763310590090882,12.405684131332903,6.931422197175416,7.257145707689948,0,0,2025Q1-2025Q4,11.205252495856111,13.74270326351979,8.340327427370708,8.84816011106762
Свежий картофель,32,2017Q1,2024Q4,2025Q1,2025Q4,32.739596553460444,40.81072705231384,21.055129628531905,23.874355081176336,0,0,2025Q1-2025Q4,29.09697892386333,32.647008034157274,18.745700091831914,17.61520775732087
Стиральные машины,32,2017Q1,2024Q4,2025Q1,2025Q4,51.821137048562456,53.886195489935844,34.57648490550864,34.32963975309068,0,0,2025Q1-2025Q4,24.243211042564216,25.42530172539696,19.437572438423622,19.45056206178449
Чай,32,2017Q1,2024Q4,2025Q1,2025Q4,5.903657604546645,6.969601016108505,6.221463944229043,5.835981650048689,0,0,2025Q1-2025Q4,5.86590633340878,6.876095254431985,6.2697659804324015,6.088092818046836
сыры,32,2017Q1,2024Q4,2025Q1,2025Q4,7.082364795943118,8.830650515958885,6.04818653439189,5.701336544332997,0,0,2025Q1-2025Q4,15.847075292135536,17.50817042362378,11.071069369215824,11.528672686245624
