feature,coverage,nunique,dropped_low_coverage,dropped_low_variance,dropped_high_corr,kept_final
consumer_price_index,1.0,196,False,False,False,True
income_index,1.0,28,False,False,False,True
stock_value_mean_thousand_rub,1.0,28,False,False,False,True
stock_days_mean,1.0,28,False,False,False,True
ppi_quarterly_index,0.0,0,True,False,False,False
ppi_quarterly_index_qoq,0.0,0,True,False,False,False
ppi_product_index_quarter_mean,0.0,0,True,False,False,False
ppi_product_index_quarter_mean_qoq,0.0,0,True,False,False,False
consumer_price_index_qoq,0.9631782945736435,189,False,False,False,True
income_index_qoq,0.9631782945736435,27,False,False,False,True
stock_value_mean_thousand_rub_qoq,0.9631782945736435,27,False,False,False,True
stock_days_mean_qoq,0.9631782945736435,27,False,False,False,True
price_vs_group,1.0,3,False,False,False,True
price_vs_market,1.0,196,False,False,False,True
stock_value_vs_group,1.0,4,False,False,False,True
stock_value_vs_market,1.0,1,False,True,False,False
stock_days_vs_group,1.0,1,False,True,False,False
stock_days_vs_market,1.0,1,False,True,False,False
ppi_vs_group,0.0,0,True,False,False,False
ppi_vs_market,0.0,0,True,False,False,False
ppi_product_index_vs_group,0.0,0,True,False,False,False
ppi_product_index_vs_market,0.0,0,True,False,False,False
market_consumer_price_index_mean,1.0,28,False,False,False,True
market_income_index_mean,1.0,28,False,False,True,False
market_stock_value_mean_thousand_rub_mean,1.0,28,False,False,True,False
market_ppi_quarterly_index_mean,0.0,0,True,False,False,False
market_ppi_product_index_quarter_mean_mean,0.0,0,True,False,False,False
group_consumer_price_index_mean,1.0,196,False,False,True,False
group_income_index_mean,1.0,39,False,False,True,False
group_stock_value_mean_thousand_rub_mean,1.0,33,False,False,True,False
group_ppi_quarterly_index_mean,0.0,0,True,False,False,False
group_ppi_product_index_quarter_mean_mean,0.0,0,True,False,False,False
