product_code,product_name,group_code,group_name,forecast_year,period,period_end,train_start,train_end,actual_target_demand_index,forecast_target_demand_index,forecast_lower,forecast_upper,model,order,seasonal_order,selected_features,forecast_exog_mode
S_автомобили_легковые,Автомобили легковые,G10,Топливо и транспортные товары,2025,2025Q1,2025-03-31,2017Q1,2024Q4,133.521054,174.83710775914435,117.21557356978632,232.45864194850236,SARIMAX_PPI_SELECTED,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,neutral_zero_after_standardization
S_автомобили_легковые,Автомобили легковые,G10,Топливо и транспортные товары,2025,2025Q2,2025-06-30,2017Q1,2024Q4,144.210737,184.882784247536,104.38101217738652,265.38455631768545,SARIMAX_PPI_SELECTED,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,neutral_zero_after_standardization
S_автомобили_легковые,Автомобили легковые,G10,Топливо и транспортные товары,2025,2025Q3,2025-09-30,2017Q1,2024Q4,182.71084,197.17249431646528,98.98476896073034,295.36021967220023,SARIMAX_PPI_SELECTED,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,neutral_zero_after_standardization
S_автомобили_легковые,Автомобили легковые,G10,Топливо и транспортные товары,2025,2025Q4,2025-12-31,2017Q1,2024Q4,181.15647,176.66947572306236,63.527425562071485,289.81152588405325,SARIMAX_PPI_SELECTED,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,neutral_zero_after_standardization
S_бензины_автомобильные,Бензины автомобильные,G10,Топливо и транспортные товары,2021,2021Q1,2021-03-31,2017Q1,2020Q4,93.861817,98.53653171596665,81.67251548992874,115.40054794200455,SARIMAX_PPI_SELECTED,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,neutral_zero_after_standardization
S_бензины_автомобильные,Бензины автомобильные,G10,Топливо и транспортные товары,2021,2021Q2,2021-06-30,2017Q1,2020Q4,101.556,86.50313871293453,68.66769648906094,104.33858093680811,SARIMAX_PPI_SELECTED,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,neutral_zero_after_standardization
S_бензины_автомобильные,Бензины автомобильные,G10,Топливо и транспортные товары,2021,2021Q3,2021-09-30,2017Q1,2020Q4,118.786738,109.37000117167048,90.61337686530351,128.12662547803745,SARIMAX_PPI_SELECTED,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,neutral_zero_after_standardization
S_бензины_автомобильные,Бензины автомобильные,G10,Топливо и транспортные товары,2021,2021Q4,2021-12-31,2017Q1,2020Q4,106.571789,105.21669204602101,85.58205654089232,124.8513275511497,SARIMAX_PPI_SELECTED,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,neutral_zero_after_standardization
S_газовое_моторное_топливо,Газовое моторное топливо,G10,Топливо и транспортные товары,2022,2022Q1,2022-03-31,2017Q1,2021Q4,138.851468,161.43253139188812,124.57141862872561,198.29364415505063,SARIMAX_PPI_SELECTED,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,neutral_zero_after_standardization
S_газовое_моторное_топливо,Газовое моторное топливо,G10,Топливо и транспортные товары,2022,2022Q2,2022-06-30,2017Q1,2021Q4,121.889554,189.76524031621182,152.90412755001648,226.62635308240715,SARIMAX_PPI_SELECTED,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,neutral_zero_after_standardization
S_газовое_моторное_топливо,Газовое моторное топливо,G10,Топливо и транспортные товары,2022,2022Q3,2022-09-30,2017Q1,2021Q4,135.448081,218.42309077612052,181.5619780068924,255.28420354534865,SARIMAX_PPI_SELECTED,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,neutral_zero_after_standardization
