product_code,product_name,group_code,group_name,forecast_year,train_start,train_end,observations_used,order,seasonal_order,selected_features,forecast_exog_mode,MAE,RMSE,MAPE_%,WAPE_%
S_автомобили_легковые,Автомобили легковые,G10,Топливо и транспортные товары,2025,2017Q1,2024Q4,32,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,neutral_zero_after_standardization,25.234187400020822,29.96040841153754,17.384647312267433,15.732059075949872
S_бензины_автомобильные,Бензины автомобильные,G10,Топливо и транспортные товары,2021,2017Q1,2020Q4,16,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,neutral_zero_after_standardization,7.624852446335154,9.205335556784581,7.250403770128684,7.248366078616962
S_газовое_моторное_топливо,Газовое моторное топливо,G10,Топливо и транспортные товары,2022,2017Q1,2021Q4,20,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,neutral_zero_after_standardization,65.64333084514936,70.61884287859085,48.87005589575855,48.68430967289281
S_дизельное_топливо,Дизельное топливо,G10,Топливо и транспортные товары,2022,2017Q1,2021Q4,20,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,neutral_zero_after_standardization,8.188288624850959,9.060132343656331,6.245908138777551,5.986732517855458
S_консервы_молочные_молочные_составные_сухие_сублимированные,"Консервы молочные, молочные составные сухие, сублимированные",G02,Молочная продукция и яйца,2025,2017Q1,2024Q4,32,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,neutral_zero_after_standardization,26.03034729774865,27.029392904730088,27.149556231656437,26.132651794985435
S_лампы_накаливания_включая_галогенные_кроме_ламп_для_автотранспортных_средств,"Лампы накаливания (включая галогенные, кроме ламп для автотранспортных средств)",G10,Топливо и транспортные товары,2024,2017Q1,2023Q4,28,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,neutral_zero_after_standardization,9.484136158595478,9.654039003375035,21.751727195128183,20.155160435893453
S_макаронные_изделия,Макаронные изделия,G01,"Хлеб, крупы, мука и макаронные изделия",2025,2017Q1,2024Q4,32,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,neutral_zero_after_standardization,3.4423513059132134,3.769379955518714,3.030845544373563,2.938464199584511
S_маргариновая_продукция,Маргариновая продукция,G05,"Бакалея, масло, сахар, чай, соль",2025,2017Q1,2024Q4,32,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,neutral_zero_after_standardization,8.555771996415245,8.603465022576666,10.595747277860735,10.481286812189902
S_молоко_питьевое,Молоко питьевое,G02,Молочная продукция и яйца,2025,2017Q1,2024Q4,32,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,neutral_zero_after_standardization,8.970674477750723,9.676703313888341,6.609247663858815,6.713247145301131
S_молочные_напитки,Молочные напитки,G02,Молочная продукция и яйца,2024,2017Q1,2023Q4,28,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,neutral_zero_after_standardization,5.299635515641379,5.9907318729686825,8.520897506133501,7.839830356358152
S_мука,Мука,G01,"Хлеб, крупы, мука и макаронные изделия",2025,2017Q1,2024Q4,32,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,neutral_zero_after_standardization,3.9374106162772655,5.85044286946037,3.3938761271068483,3.766610039826136
S_мясо_домашней_птицы,Мясо домашней птицы,G03,"Мясо, птица, рыба и колбасные изделия",2025,2017Q1,2024Q4,32,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,neutral_zero_after_standardization,4.379519203819889,4.969245864880338,3.8681180791663836,3.7011747361065974
S_мясо_животных,Мясо животных,G03,"Мясо, птица, рыба и колбасные изделия",2025,2017Q1,2024Q4,32,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,neutral_zero_after_standardization,3.3214840135275097,3.7241345245678756,3.2412569628336594,3.2434899276153213
S_свежие_овощи,Свежие овощи,G04,"Овощи, фрукты и картофель",2025,2017Q1,2024Q4,32,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,neutral_zero_after_standardization,11.742047041176878,14.363244502615755,8.951657557589263,8.417645765265485
S_свежие_фрукты,Свежие фрукты,G04,"Овощи, фрукты и картофель",2025,2017Q1,2024Q4,32,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,neutral_zero_after_standardization,12.812274737142403,16.228117833112965,11.216487613185931,10.117135540064542
S_свежий_картофель,Свежий картофель,G04,"Овощи, фрукты и картофель",2025,2017Q1,2024Q4,32,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,neutral_zero_after_standardization,31.981932144632715,33.03151777418714,19.997699944613498,19.361748196690208
S_стиральные_машины,Стиральные машины,G07,"Товары для дома, гигиены и бытовая химия",2025,2017Q1,2024Q4,32,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,neutral_zero_after_standardization,25.428298682968812,25.785777175153196,20.560594911919395,20.401369306661124
S_чай,Чай,G05,"Бакалея, масло, сахар, чай, соль",2025,2017Q1,2024Q4,32,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,neutral_zero_after_standardization,4.5041281163915095,4.644167381119215,4.745195204412525,4.674733703262328
S_сыры,сыры,G02,Молочная продукция и яйца,2025,2017Q1,2024Q4,32,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,neutral_zero_after_standardization,9.588322744843026,13.351372484069664,6.287872042532294,6.975459666695577
