product_code,product_name,group_code,group_name,cv_years,feature_set,candidate_features,used_features,order,seasonal_order,cv_wape,rank
S_автомобили_легковые,Автомобили легковые,G10,Топливо и транспортные товары,2023; 2024; 2025,physical_current_and_lags,physical_volume_index; physical_volume_index_qoq; physical_volume_index_yoy_diff; physical_volume_vs_group; physical_volume_vs_market; physical_volume_index_lag1; physical_volume_index_lag4,physical_volume_index; physical_volume_index_lag1; physical_volume_index_lag4; physical_volume_index_qoq; physical_volume_index_yoy_diff; physical_volume_vs_group,"(2, 1, 1)","(1, 0, 1, 4)",11.498397123621967,1
S_бензины_автомобильные,Бензины автомобильные,G10,Топливо и транспортные товары,2020; 2021,no_exog,,,"(2, 1, 1)","(0, 0, 0, 4)",6.614049694008557,1
S_газовое_моторное_топливо,Газовое моторное топливо,G10,Топливо и транспортные товары,2020; 2021; 2022,core_physical_current,consumer_price_index; income_index; stock_value_mean_thousand_rub; stock_days_mean; physical_volume_index; physical_volume_index_qoq; physical_volume_index_yoy_diff; physical_volume_vs_group; physical_volume_vs_market; physical_volume_index_lag1; physical_volume_index_lag4,consumer_price_index; income_index; physical_volume_index; physical_volume_index_lag1; physical_volume_index_lag4; physical_volume_index_qoq; physical_volume_index_yoy_diff; physical_volume_vs_group; physical_volume_vs_market; stock_days_mean; stock_value_mean_thousand_rub,"(1, 1, 0)","(1, 0, 1, 4)",17.54738868075488,1
S_дизельное_топливо,Дизельное топливо,G10,Топливо и транспортные товары,2020; 2021; 2022,no_exog,,,"(1, 1, 2)","(1, 0, 1, 4)",5.363316884968876,1
S_консервы_молочные_молочные_составные_сухие_сублимированные,"Консервы молочные, молочные составные сухие, сублимированные",G02,Молочная продукция и яйца,2023; 2024; 2025,physical_current_and_lags,physical_volume_index; physical_volume_index_qoq; physical_volume_index_yoy_diff; physical_volume_vs_group; physical_volume_vs_market; physical_volume_index_lag1; physical_volume_index_lag4,physical_volume_index; physical_volume_index_lag1; physical_volume_index_lag4; physical_volume_index_qoq; physical_volume_index_yoy_diff; physical_volume_vs_group; physical_volume_vs_market,"(1, 1, 2)","(0, 0, 0, 4)",10.418132071019697,1
S_лампы_накаливания_включая_галогенные_кроме_ламп_для_автотранспортных_средств,"Лампы накаливания (включая галогенные, кроме ламп для автотранспортных средств)",G10,Топливо и транспортные товары,2022; 2023; 2024,physical_lags,physical_volume_index_lag1; physical_volume_index_lag4,physical_volume_index_lag1; physical_volume_index_lag4,"(0, 1, 1)","(1, 0, 0, 4)",10.057952438131295,1
S_макаронные_изделия,Макаронные изделия,G01,"Хлеб, крупы, мука и макаронные изделия",2023; 2024; 2025,core,consumer_price_index; income_index; stock_value_mean_thousand_rub; stock_days_mean,consumer_price_index; income_index; stock_days_mean; stock_value_mean_thousand_rub,"(1, 1, 0)","(1, 0, 0, 4)",3.566201399066894,1
S_маргариновая_продукция,Маргариновая продукция,G05,"Бакалея, масло, сахар, чай, соль",2023; 2024; 2025,physical_lags,physical_volume_index_lag1; physical_volume_index_lag4,physical_volume_index_lag1; physical_volume_index_lag4,"(1, 1, 2)","(1, 0, 1, 4)",5.632262819970743,1
S_молоко_питьевое,Молоко питьевое,G02,Молочная продукция и яйца,2023; 2024; 2025,core,consumer_price_index; income_index; stock_value_mean_thousand_rub; stock_days_mean,consumer_price_index; income_index; stock_days_mean; stock_value_mean_thousand_rub,"(1, 1, 0)","(0, 0, 1, 4)",3.6478376207913157,1
S_молочные_напитки,Молочные напитки,G02,Молочная продукция и яйца,2022; 2023; 2024,physical_lags,physical_volume_index_lag1; physical_volume_index_lag4,physical_volume_index_lag1; physical_volume_index_lag4,"(0, 1, 1)","(0, 0, 1, 4)",30.02480598106044,1
S_мука,Мука,G01,"Хлеб, крупы, мука и макаронные изделия",2023; 2024; 2025,no_exog,,,"(1, 1, 2)","(1, 0, 1, 4)",4.903646662591671,1
S_мясо_домашней_птицы,Мясо домашней птицы,G03,"Мясо, птица, рыба и колбасные изделия",2023; 2024; 2025,physical_lags,physical_volume_index_lag1; physical_volume_index_lag4,physical_volume_index_lag1; physical_volume_index_lag4,"(0, 1, 1)","(1, 0, 1, 4)",2.4505881721178935,1
S_мясо_животных,Мясо животных,G03,"Мясо, птица, рыба и колбасные изделия",2023; 2024; 2025,no_exog,,,"(2, 1, 1)","(1, 0, 1, 4)",2.4932222445283934,1
S_свежие_овощи,Свежие овощи,G04,"Овощи, фрукты и картофель",2023; 2024; 2025,no_exog,,,"(1, 1, 0)","(0, 0, 0, 4)",4.280886400017916,1
S_свежие_фрукты,Свежие фрукты,G04,"Овощи, фрукты и картофель",2023; 2024; 2025,no_exog,,,"(1, 1, 2)","(1, 0, 0, 4)",8.084395523545554,1
S_свежий_картофель,Свежий картофель,G04,"Овощи, фрукты и картофель",2023; 2024; 2025,physical_current_and_lags,physical_volume_index; physical_volume_index_qoq; physical_volume_index_yoy_diff; physical_volume_vs_group; physical_volume_vs_market; physical_volume_index_lag1; physical_volume_index_lag4,physical_volume_index; physical_volume_index_lag1; physical_volume_index_lag4; physical_volume_index_qoq; physical_volume_index_yoy_diff; physical_volume_vs_group; physical_volume_vs_market,"(2, 1, 1)","(0, 0, 1, 4)",10.135316564260526,1
S_стиральные_машины,Стиральные машины,G07,"Товары для дома, гигиены и бытовая химия",2023; 2024; 2025,physical_lags,physical_volume_index_lag1; physical_volume_index_lag4,physical_volume_index_lag1; physical_volume_index_lag4,"(2, 1, 1)","(0, 0, 0, 4)",13.126134982848106,1
S_чай,Чай,G05,"Бакалея, масло, сахар, чай, соль",2023; 2024; 2025,physical_current_and_lags,physical_volume_index; physical_volume_index_qoq; physical_volume_index_yoy_diff; physical_volume_vs_group; physical_volume_vs_market; physical_volume_index_lag1; physical_volume_index_lag4,physical_volume_index; physical_volume_index_lag1; physical_volume_index_lag4; physical_volume_index_qoq; physical_volume_index_yoy_diff; physical_volume_vs_group; physical_volume_vs_market,"(0, 1, 1)","(1, 0, 0, 4)",2.7262039093734427,1
S_сыры,сыры,G02,Молочная продукция и яйца,2023; 2024; 2025,physical_lags,physical_volume_index_lag1; physical_volume_index_lag4,physical_volume_index_lag1; physical_volume_index_lag4,"(1, 1, 0)","(1, 0, 1, 4)",5.658365227962915,1
